path,from,to,target_head_pa,candidate_head_pa,head_residual_pa
main-circulation-pump,suction,pressure,499999.9999997206,500000.1123018125,0.11230209190398455
channel,pressure,outlet,249999.99954813905,249999.9994642306,-8.390843868255615E-05
return,outlet,drum,250000.00147839263,250000.00053603016,-0.0009423624724149704
main-steam-line,steam,header,151244.96049340628,151244.9622162236,0.0017228173092007637
stop-valve,header,stop-out,177935.246012914,177935.24477402493,-0.0012388890609145164
control-valve,stop-out,control-out,2075297.6646420304,2075297.6646397877,-2.2426247596740723E-06
admission-valve,control-out,turbine-inlet,177935.2472886364,177935.2477265778,0.00043794140219688416
turbine-expansion,turbine-inlet,exhaust,3807814.293423039,3807814.2932717507,-0.0001512882299721241
