candidate_id,boundary_index,boundary_temperature_c,probe_side,reference_region,reference_phase,reference_temperature_c,reference_pressure_mpa,reference_quality,candidate_resolved,candidate_region,candidate_phase,candidate_temperature_c,candidate_pressure_mpa,candidate_quality,phase_matches,candidate_minus_reference_temperature_c,candidate_minus_reference_pressure_mpa
C2-EXTENDED-TABULATED-SURROGATE,0,47.25379668027165,R1-SIDE,REGION-1,SubcooledLiquid,47.25379668027165,0.01076344579292377,,true,REGION-1-NEAR-BOUNDARY-C2,SubcooledLiquid,47.25379559874807,0.01127780014141532,,true,-1.0815235782501986E-06,0.0005143543484915497
C2-EXTENDED-TABULATED-SURROGATE,0,47.25379668027165,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,47.25379668027165,0.010763338159542174,1E-06,true,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,47.25379565358162,0.010764077288887244,9.999015993734989E-07,true,-1.026690028993471E-06,7.391293450707132E-07
C2-EXTENDED-TABULATED-SURROGATE,0,47.25379668027165,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,47.25379668027165,0.010763338159542174,0.999999,true,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,47.25549134445231,0.01076500068570304,0.9999980177053365,true,0.0016946641806612206,1.6625261608661096E-06
C2-EXTENDED-TABULATED-SURROGATE,0,47.25379668027165,R2-SIDE,REGION-2,SuperheatedVapor,47.25379668027165,0.010763230526160579,,true,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,47.25528336612149,0.010764887430078623,0.999999153579007,false,0.0014866858498407964,1.6569039180437672E-06
C2-EXTENDED-TABULATED-SURROGATE,1,47.25636326000097,R1-SIDE,REGION-1,SubcooledLiquid,47.25636326000097,0.010764843736668937,,true,REGION-1-NEAR-BOUNDARY-C2,SubcooledLiquid,47.25636217878508,0.011278978775725703,,true,-1.081215884823905E-06,0.0005141350390567654
C2-EXTENDED-TABULATED-SURROGATE,1,47.25636326000097,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,47.25636326000097,0.010764736089308044,1E-06,true,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,47.25636223703623,0.010765474934549272,9.999016329002069E-07,true,-1.0229647386950091E-06,7.388452412278312E-07
C2-EXTENDED-TABULATED-SURROGATE,1,47.25636326000097,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,47.25636326000097,0.010764736089308044,0.999999,true,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,47.25805712808199,0.010766397895816491,0.9999980180683489,true,0.0016938680810199003,1.6618065084468558E-06
C2-EXTENDED-TABULATED-SURROGATE,1,47.25636326000097,R2-SIDE,REGION-2,SuperheatedVapor,47.25636326000097,0.01076462844194715,,true,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,47.257849178757965,0.010766284655987883,0.9999991541165887,false,0.0014859187569982168,1.65621404073224E-06
C2-EXTENDED-TABULATED-SURROGATE,2,47.260731856524956,R1-SIDE,REGION-1,SubcooledLiquid,47.260731856524956,0.01076722354696915,,true,REGION-1-NEAR-BOUNDARY-C2,SubcooledLiquid,47.26073077635613,0.011280735919456567,,true,-1.080168829048489E-06,0.0005135123724874166
C2-EXTENDED-TABULATED-SURROGATE,2,47.260731856524956,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,47.260731856524956,0.010767115875810392,1E-06,true,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,47.26073083281517,0.010767853874898408,9.999017375808994E-07,true,-1.0237097853860178E-06,7.379990880160975E-07
C2-EXTENDED-TABULATED-SURROGATE,2,47.260731856524956,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,47.260731856524956,0.010767115875810392,0.999999,true,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,47.26242355161253,0.010768775653256995,0.9999980193260378,true,0.0016916950875724979,1.6597774466029641E-06
C2-EXTENDED-TABULATED-SURROGATE,2,47.260731856524956,R2-SIDE,REGION-2,SuperheatedVapor,47.260731856524956,0.010767008204651634,,true,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,47.26221564666139,0.01076866243759187,0.9999991554337637,false,0.001483790136433072,1.6542329402367828E-06
C2-EXTENDED-TABULATED-SURROGATE,3,47.26746165007364,R1-SIDE,REGION-1,SubcooledLiquid,47.26746165007364,0.010770890513210134,,true,REGION-1-NEAR-BOUNDARY-C2,SubcooledLiquid,47.26746057280809,0.011282828921871789,,true,-1.0772655514301732E-06,0.0005119384086616548
C2-EXTENDED-TABULATED-SURROGATE,3,47.26746165007364,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,47.26746165007364,0.01077078280538208,1E-06,true,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,47.26746062934399,0.010771518618746088,9.999020166007948E-07,true,-1.0207296554654022E-06,7.358133640080616E-07
C2-EXTENDED-TABULATED-SURROGATE,3,47.26746165007364,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,47.26746165007364,0.01077078280538208,0.999999,true,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,47.26914797246559,0.010772437469754039,0.9999980223967243,true,0.0016863223919472148,1.6546643719587278E-06
C2-EXTENDED-TABULATED-SURROGATE,3,47.26746165007364,R2-SIDE,REGION-2,SuperheatedVapor,47.26746165007364,0.010770675097554026,,true,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,47.268940130092005,0.010772324288165786,0.9999991583217761,false,0.0014784800183633706,1.6491906117601512E-06
