candidate_id,probe_id,logical_step,elapsed_s,path_id,from_node,to_node,candidate_resolved,candidate_driving_pa,candidate_flow_kg_s,canonical_flow_kg_s,if97_counterfactual_flow_kg_s,abs_candidate_minus_canonical_flow_kg_s,abs_candidate_minus_if97_flow_kg_s,driving_sign_changed_from_production
C2-EXTENDED-TABULATED-SURROGATE,background-reference,0,0,MCP,suction,pressure,true,988465.9598638566,140.60341104424577,99.99999997333269,140.60207245483593,40.60341107091308,0.0013385894098405515,false
C2-EXTENDED-TABULATED-SURROGATE,background-reference,0,0,CHANNEL,pressure,outlet,true,-504957.9618517743,-142.12078832482942,99.99999996288139,-142.11354382289005,242.1207882877108,0.00724450193936832,true
C2-EXTENDED-TABULATED-SURROGATE,background-reference,0,0,RETURN,outlet,drum,true,424883.82993064454,130.3662272109835,100.00000029567853,130.36092910618171,30.366226915304978,0.005298104801795489,false
C2-EXTENDED-TABULATED-SURROGATE,background-reference,0,0,FEEDWATER-PUMP,feedwater-inventory,drum,true,1156734.8135267822,34.01080436459541,13.339237172210026,34.06551370276052,20.671567192385382,0.05470933816511092,false
C2-EXTENDED-TABULATED-SURROGATE,background-reference,6000,60,MCP,suction,pressure,true,988465.9598638566,140.60341104424577,100.000000003839,140.60207245483593,40.60341104040677,0.0013385894098405515,false
C2-EXTENDED-TABULATED-SURROGATE,background-reference,6000,60,CHANNEL,pressure,outlet,true,-504957.9591220654,-142.12078794069015,100.00000043029934,-142.11354382289005,242.1207883709895,0.007244117800098593,true
C2-EXTENDED-TABULATED-SURROGATE,background-reference,6000,60,RETURN,outlet,drum,true,424883.82720093563,130.36622679220804,99.99999987008255,130.36092910618171,30.36622692212549,0.0052976860263243,false
C2-EXTENDED-TABULATED-SURROGATE,background-reference,6000,60,FEEDWATER-PUMP,feedwater-inventory,drum,true,1156734.8136806218,34.01080436685704,13.339237023112535,34.065513705715254,20.671567343744503,0.05470933885821694,false
C2-EXTENDED-TABULATED-SURROGATE,background-reference,12000,120,MCP,suction,pressure,true,988465.9598638566,140.60341104424577,100.00000010143063,140.60207245483593,40.603410942815145,0.0013385894098405515,false
C2-EXTENDED-TABULATED-SURROGATE,background-reference,12000,120,CHANNEL,pressure,outlet,true,-504957.9591220654,-142.12078794069015,100.00000009932015,-142.11354382289005,242.1207880400103,0.007244117800098593,true
C2-EXTENDED-TABULATED-SURROGATE,background-reference,12000,120,RETURN,outlet,drum,true,424883.82720093563,130.36622679220804,100.00000029567853,130.36092910618171,30.366226496529507,0.0052976860263243,false
C2-EXTENDED-TABULATED-SURROGATE,background-reference,12000,120,FEEDWATER-PUMP,feedwater-inventory,drum,true,1156734.8136414103,34.01080436628058,13.339237176842365,34.06551370675567,20.671567189438214,0.054709340475085355,false
C2-EXTENDED-TABULATED-SURROGATE,background-reference,18000,180,MCP,suction,pressure,true,988465.9598638566,140.60341104424577,100.00000009616716,140.60207245483593,40.60341094807862,0.0013385894098405515,false
C2-EXTENDED-TABULATED-SURROGATE,background-reference,18000,180,CHANNEL,pressure,outlet,true,-504957.9618517743,-142.12078832482942,100.00000009680781,-142.11354382289005,242.12078842163723,0.00724450193936832,true
C2-EXTENDED-TABULATED-SURROGATE,background-reference,18000,180,RETURN,outlet,drum,true,424883.82993064454,130.3662272109835,100.00000029567853,130.36092910618171,30.366226915304978,0.005298104801795489,false
C2-EXTENDED-TABULATED-SURROGATE,background-reference,18000,180,FEEDWATER-PUMP,feedwater-inventory,drum,true,1156734.8139937008,34.01080437145968,13.339237190766049,34.06551371802623,20.67156718069363,0.05470934656655402,false
C2-EXTENDED-TABULATED-SURROGATE,background-reference,24000,240,MCP,suction,pressure,true,988465.9598638566,140.60341104424577,100.00000018385984,140.60207245483593,40.603410860385935,0.0013385894098405515,false
C2-EXTENDED-TABULATED-SURROGATE,background-reference,24000,240,CHANNEL,pressure,outlet,true,-504957.9618517743,-142.12078832482942,99.99999976134636,-142.11354436030103,242.12078808617576,0.0072439645283850496,true
C2-EXTENDED-TABULATED-SURROGATE,background-reference,24000,240,RETURN,outlet,drum,true,424883.82993064454,130.3662272109835,100.00000072127246,130.36092969204267,30.366226489711053,0.005297518940835744,false
C2-EXTENDED-TABULATED-SURROGATE,background-reference,24000,240,FEEDWATER-PUMP,feedwater-inventory,drum,true,1156734.813663709,34.0108043666084,13.339237178719115,34.065513713317145,20.67156718788928,0.05470934670874783,false
C2-EXTENDED-TABULATED-SURROGATE,background-reference,30000,300,MCP,suction,pressure,true,988465.9598638566,140.60341104424577,100.00000033101328,140.60207245483593,40.60341071323249,0.0013385894098405515,false
C2-EXTENDED-TABULATED-SURROGATE,background-reference,30000,300,CHANNEL,pressure,outlet,true,-504957.9618517743,-142.12078832482942,99.99999990880563,-142.113544091596,242.12078823363504,0.007244233233421937,true
C2-EXTENDED-TABULATED-SURROGATE,background-reference,30000,300,RETURN,outlet,drum,true,424883.82993064454,130.3662272109835,100.00000072127246,130.36092939911268,30.366226489711053,0.005297811870832447,false
C2-EXTENDED-TABULATED-SURROGATE,background-reference,30000,300,FEEDWATER-PUMP,feedwater-inventory,drum,true,1156734.813752668,34.01080436791621,13.339237182691566,34.06551371772178,20.671567185224642,0.054709349805570184,false
C2-EXTENDED-TABULATED-SURROGATE,background-reference,36000,360,MCP,suction,pressure,true,988465.9598638566,140.60341104424577,100.00000036006765,140.60207245483593,40.60341068417813,0.0013385894098405515,false
C2-EXTENDED-TABULATED-SURROGATE,background-reference,36000,360,CHANNEL,pressure,outlet,true,-504957.9618517743,-142.12078832482942,100.00000035644844,-142.113544091596,242.12078868127787,0.007244233233421937,true
