point_id,source_family,reference_region,reference_phase,reference_temperature_c,reference_pressure_mpa,specific_volume_m3_kg,specific_u_j_kg,reference_quality,production_resolved,production_phase,production_temperature_c,production_pressure_mpa
VR2-SAT-360C-PONLY,SATURATION-PRESSURE-ONLY,REGION-4,BOUNDARY-ONLY,360,18.666403421371236,,,,False,,,
VR2-L100-P0.5,COMPRESSED-LIQUID,REGION-1,SubcooledLiquid,100,0.5,0.0010432521648693547,418876.90437296056,,True,SubcooledLiquid,99.74259627927637,0.12275328340178443
VR2-L150-P1,COMPRESSED-LIQUID,REGION-1,SubcooledLiquid,150,1,0.0010901508809361383,631484.7687130304,,True,SubcooledLiquid,150.3635163602454,2.0037178696348263
VR2-L200-P2,COMPRESSED-LIQUID,REGION-1,SubcooledLiquid,200,2,0.001156059549085597,850260.3644837668,,True,SubcooledLiquid,202.45294392470646,9.842528006210257
VR2-L250-P7,COMPRESSED-LIQUID,REGION-1,SubcooledLiquid,250,7,0.001246311594999096,1076925.8114306615,,True,SubcooledLiquid,256.42090748349085,40.86545412157356
VR2-L280-P10,COMPRESSED-LIQUID,REGION-1,SubcooledLiquid,280,10,0.0013226391217917573,1221592.4416869602,,True,SubcooledLiquid,290.86534325880007,84.72383651819435
VR2-V200-P0.2,SUPERHEATED-VAPOR,REGION-2,SuperheatedVapor,200,0.2,1.080518741268208,2654675.5355358813,,True,SuperheatedVapor,199.29128613011915,0.19934226344620828
VR2-V250-P0.5,SUPERHEATED-VAPOR,REGION-2,SuperheatedVapor,250,0.5,0.4744287781469683,2723915.4543416873,,True,SuperheatedVapor,263.683671882269,0.5113065237607756
VR2-V300-P1,SUPERHEATED-VAPOR,REGION-2,SuperheatedVapor,300,1,0.2579791900487737,2793723.995535248,,True,SuperheatedVapor,329.57642338917606,1.0431977588506463
VR2-V400-P5,SUPERHEATED-VAPOR,REGION-2,SuperheatedVapor,400,5,0.057839848644456106,2907392.4269560464,,True,SuperheatedVapor,502.8989650983692,5.3638999858682705
