path,from,to,mode1_head_pa,mode2_head_pa,head_delta_pa
main-circulation-pump,suction,pressure,499999.9999997206,988465.9598638564,488465.95986413583
channel,pressure,outlet,249999.99954813905,-504957.9618517747,-754957.9613999138
return,outlet,drum,250000.00147839263,424883.8299306445,174883.82845225185
main-steam-line,steam,header,151244.96049340628,137394.10875993315,-13850.85173347313
stop-valve,header,stop-out,177935.246012914,161897.61252729595,-16037.633485618047
control-valve,stop-out,control-out,2075297.6646420304,1907683.315025095,-167614.34961693548
admission-valve,control-out,turbine-inlet,177935.2472886364,165277.0636383975,-12658.183650238905
turbine-expansion,turbine-inlet,exhaust,3807814.293423039,3628609.72509531,-179204.56832772912
