path,from,to,boost_pa,mode1_head_pa,mode2_head_pa,head_delta_pa
main-circulation-pump,suction,pressure,1000000,499999.99970242754,985213.1083882721,485213.1086858446
channel,pressure,outlet,0,249999.9998451816,-493229.2366646193,-743229.2365098009
return,outlet,drum,0,250000.00147839263,414828.64141199645,164828.63993360382
main-steam-line,steam,header,0,151244.96047890652,136902.61658025254,-14342.343898653984
stop-valve,header,stop-out,0,177935.24601809494,161903.5441199066,-16031.70189818833
control-valve,stop-out,control-out,0,2075297.6646390287,1907675.431987443,-167622.2326515857
admission-valve,control-out,turbine-inlet,0,177935.2472886364,165250.8322383603,-12684.41505027609
turbine-expansion,turbine-inlet,exhaust,0,3807814.293423039,3628640.850672677,-179173.44275036175
