lane,run_index,boundary_index,boundary_temperature_c,sample_count,median_us,p95_us,max_us,max_pass_index,max_row_index,calls_over_max_ceiling,exceedance_fraction,calls_with_gc_activity,exceedances_with_gc_activity,nonzero_allocation_calls,fallback_calls
A,5,72,267.76519510746004,64,5.3,5.4,5.6,2,72,0,0,0,0,0,0
A,5,73,267.7772412359715,64,5.3,5.4,6.7,60,73,0,0,0,0,0,0
A,5,74,267.78551645874984,64,5.3,5.4,7.1,40,74,0,0,0,0,0,0
A,5,75,267.82730354666717,64,5.3,5.4,7.4,33,75,0,0,0,0,0,0
A,5,76,267.90293265581147,64,5.3,5.4,5.4,15,76,0,0,0,0,0,0
A,5,77,267.9171129286291,64,5.3,5.4,5.4,7,77,0,0,0,0,0,0
A,5,78,267.93677989244463,64,5.3,5.4,5.4,10,78,0,0,0,0,0,0
A,5,79,268.0753684282305,64,5.3,5.4,5.5,1,79,0,0,0,0,0,0
A,5,80,268.08787213563915,64,5.3,5.4,5.4,1,80,0,0,0,0,0,0
A,5,81,268.18782694339745,64,5.3,5.4,5.4,7,81,0,0,0,0,0,0
A,5,82,268.22862460613226,64,5.3,5.3,6.9,42,82,0,0,0,0,0,0
A,5,83,268.258955323696,64,5.3,5.4,6.8,35,83,0,0,0,0,0,0
A,5,84,268.32134410142896,64,5.3,5.3,7.4,53,84,0,0,0,0,0,0
A,5,85,268.3765215992928,64,5.2,5.3,5.3,1,85,0,0,0,0,0,0
A,5,86,268.3879977881908,64,5.3,5.3,5.4,0,86,0,0,0,0,0,0
A,5,87,268.4279694974422,64,5.3,5.4,7.1,62,87,0,0,0,0,0,0
A,5,88,268.4353395342828,64,5.3,5.4,6,7,88,0,0,0,0,0,0
A,5,89,268.43746053576467,64,5.3,5.4,7,37,89,0,0,0,0,0,0
A,5,90,268.495750629902,64,5.3,5.3,8.9,18,90,0,0,0,0,0,0
A,5,91,268.5486411511898,64,5.3,5.4,10.2,12,91,0,0,0,0,0,0
A,5,92,268.59354792833335,64,5.3,5.4,8.9,16,92,0,0,0,0,0,0
A,5,93,268.64694446921374,64,5.3,5.4,5.6,14,93,0,0,0,0,0,0
A,5,94,268.6578054487708,64,5.3,5.4,5.4,0,94,0,0,0,0,0,0
A,5,95,268.70778965353986,64,5.3,5.3,5.4,2,95,0,0,0,0,0,0
A,5,96,268.75488118529313,64,5.3,5.4,16,1,96,0,0,0,0,0,0
A,5,97,268.8133836925032,64,5.3,5.4,5.4,1,97,0,0,0,0,0,0
A,5,98,268.8640391409398,64,5.3,5.3,5.4,7,98,0,0,0,0,0,0
A,5,99,268.91260992884634,64,5.3,5.4,5.4,14,99,0,0,0,0,0,0
A,5,100,268.9904044747353,64,5.3,5.3,5.4,41,100,0,0,0,0,0,0
A,5,101,269.0172909379006,64,5.3,5.4,5.4,15,101,0,0,0,0,0,0
A,5,102,269.0666279315948,64,5.3,5.4,5.4,1,102,0,0,0,0,0,0
A,5,103,269.16647517681133,64,5.3,5.4,5.5,31,103,0,0,0,0,0,0
A,5,104,269.1776982307432,64,5.3,5.4,5.4,9,104,0,0,0,0,0,0
A,5,105,269.2148237466812,64,5.3,5.4,5.5,16,105,0,0,0,0,0,0
A,5,106,269.2245281159875,64,5.3,5.4,5.5,55,106,0,0,0,0,0,0
A,5,107,269.286198878288,64,5.3,5.4,5.5,63,107,0,0,0,0,0,0
A,5,108,269.3115269780159,64,5.3,5.4,5.4,1,108,0,0,0,0,0,0
A,5,109,269.34476251006106,64,5.3,5.3,5.4,2,109,0,0,0,0,0,0
A,5,110,269.35565841197956,64,5.3,5.3,5.5,42,110,0,0,0,0,0,0
A,5,111,269.35622538924224,64,5.3,5.3,5.6,3,111,0,0,0,0,0,0
A,5,112,269.3710194945336,64,5.3,5.4,5.6,3,112,0,0,0,0,0,0
A,5,113,269.3758408248424,64,5.3,5.4,5.6,3,113,0,0,0,0,0,0
A,5,114,269.38479275703435,64,5.3,5.4,5.7,3,114,0,0,0,0,0,0
A,5,115,269.40271410346065,64,5.3,5.4,5.6,3,115,0,0,0,0,0,0
A,5,116,269.4203418850898,64,5.2,5.3,5.6,3,116,0,0,0,0,0,0
A,5,117,269.4265326142312,64,5.3,5.3,5.6,3,117,0,0,0,0,0,0
A,5,118,269.43838264346107,64,5.3,5.3,5.6,3,118,0,0,0,0,0,0
A,5,119,269.45672143101694,64,5.3,5.3,5.5,3,119,0,0,0,0,0,0
A,5,120,269.475270628929,64,5.3,5.4,5.6,3,120,0,0,0,0,0,0
A,5,121,269.4799217283727,64,5.3,5.4,5.6,3,121,0,0,0,0,0,0
A,5,122,269.4845352351666,64,5.3,5.4,5.6,3,122,0,0,0,0,0,0
A,5,123,269.4921368777751,64,5.3,5.3,5.5,3,123,0,0,0,0,0,0
