boundary_index,boundary_temperature_c,process_runs_with_exceedance,total_calls_over_max_ceiling,total_exceedances_with_gc_activity,cross_process_max_us,max_owner_process_run_index,same_boundary_slow_path_confirmed
115,269.40271410346065,0,0,0,145.6,2,False
116,269.42034188508978,0,0,0,24.1,3,False
117,269.42653261423118,0,0,0,17.7,2,False
118,269.43838264346107,0,0,0,24.5,5,False
119,269.45672143101694,0,0,0,17.9,2,False
120,269.475270628929,0,0,0,22.9,1,False
121,269.47992172837269,0,0,0,30.1,1,False
122,269.48453523516662,0,0,0,150.8,2,False
123,269.49213687777512,0,0,0,35.7,1,False
124,269.49399043321625,0,0,0,89.6,4,False
125,269.5075922548773,0,0,0,15.9,3,False
126,269.512844836712,0,0,0,99.6,2,False
127,269.52988974452012,0,0,0,64.5,5,False
128,269.53180425763105,0,0,0,145.2,2,False
129,269.53814047574997,0,0,0,14.1,2,False
130,269.55084462165814,0,0,0,21.9,1,False
131,269.5699443995951,0,0,0,22.5,1,False
132,269.57597937583932,0,0,0,86.8,3,False
133,269.58908331394184,0,0,0,18.2,5,False
134,269.60824417471883,0,0,0,20.8,2,False
135,269.6106666266918,0,0,0,93.2,3,False
136,269.627409541607,0,0,0,120.6,3,False
137,269.644376009703,0,0,0,67.8,5,False
138,269.64656401872639,0,0,0,13,2,False
139,269.665693461895,0,0,0,15.3,2,False
140,269.67791057229067,0,0,0,18.8,5,False
141,269.6847838103771,0,0,0,20.8,3,False
142,269.69983050823214,0,0,0,43.8,5,False
143,269.70382338166257,0,0,0,11,2,False
144,269.71154005527512,0,0,0,13.1,4,False
145,269.72280070185673,0,0,0,14.3,4,False
146,269.74170529842388,0,0,0,12.3,3,False
147,269.74532633423803,0,0,0,20.4,2,False
148,269.76052865982058,0,0,0,11.4,4,False
149,269.77926023006455,0,0,0,152.2,3,False
150,269.77926177382471,0,0,0,80.9,1,False
151,269.79789783954618,0,0,0,13.7,3,False
152,269.81331082582483,0,0,0,12.1,2,False
153,269.81642926335314,0,0,0,20.2,4,False
154,269.8348390221596,0,0,0,68.6,2,False
155,269.84744349122059,0,0,0,16.6,2,False
156,269.85314221978194,0,0,0,16.7,4,False
157,269.86491042971613,0,0,0,22,1,False
158,269.87132650613796,0,0,0,13.2,1,False
159,269.88162543177611,0,0,0,12.2,4,False
160,269.88938883543028,0,0,0,16.5,2,False
161,269.90732603669187,0,0,0,18.6,4,False
162,269.91582531332972,0,0,0,16.3,4,False
163,269.92513548135753,0,0,0,41,4,False
164,269.93746799826624,0,0,0,33,2,False
165,269.94281491637219,0,0,0,24.5,2,False
166,269.95001484751708,0,0,0,64.2,4,False
167,269.9603627145292,0,0,0,73.3,4,False
168,269.97777737379067,0,0,0,18,2,False
169,269.984167456627,0,0,0,70.7,4,False
170,269.99505785107624,0,0,0,22,2,False
171,270.01220335364349,0,0,0,10.9,2,False
172,270.01825814843176,0,0,0,11.7,1,False
173,270.02492635846113,0,0,0,23.1,1,False
174,270.02921333909023,0,0,0,17.7,2,False
175,270.04608751535409,0,0,0,39.4,4,False
176,270.05226455926891,0,0,0,16.3,5,False
177,270.06282575726516,0,0,0,21.6,1,False
178,270.0794281482697,0,0,0,10.9,4,False
179,270.086165201664,0,0,0,19.5,4,False
180,270.09502801299061,0,0,0,11,2,False
181,270.10727103352531,0,0,0,69.5,3,False
182,270.11994096636784,0,0,0,11.9,4,False
183,270.15357453823083,0,0,0,12.5,4,False
184,270.18390763401965,0,0,0,17.9,2,False
185,270.18704968690849,0,0,0,145.4,3,False
186,270.2203527688979,0,0,0,26,2,False
187,270.25347097516044,0,0,0,237.4,4,False
188,270.28639316558827,0,0,0,147.3,4,False
189,270.31909401416772,0,0,0,28.8,4,False
190,270.33554824590669,0,0,0,20.8,2,False
191,270.35158449411381,0,0,0,16.8,4,False
192,270.38385555148113,0,0,0,52.3,5,False
193,270.41057386994373,0,0,0,27.5,5,False
194,270.41590021848651,0,0,0,17.9,1,False
195,270.44771307110761,0,0,0,14.8,1,False
196,270.47928985357294,0,0,0,41.4,5,False
197,270.48048021793363,0,0,0,18.3,1,False
198,270.50527734756463,0,0,0,14.1,4,False
199,270.5106271028518,0,0,0,96.1,3,False
200,270.54172206521014,0,0,0,85.2,2,False
201,270.56218957304952,0,0,0,16.7,5,False
202,270.57257265448573,0,0,0,25.4,2,False
203,270.60145553350435,0,0,0,22.1,4,False
204,270.60317728519419,0,0,0,15,4,False
205,270.61141203641887,0,0,0,21.3,4,False
206,270.63353503942506,0,0,0,15,4,False
207,270.65711631178863,0,0,0,52.6,2,False
208,270.66364524960511,0,0,0,14,2,False
209,270.69350779056538,0,0,0,24.6,5,False
