step,electrical_mwe,primary_pump_kg_s,drum_level,governor_percent,trip_active,breaker_closed,rollbacks,finite,in_envelope
1,4.999998525473999,99.99537721912854,0.49993760778969654,29.28222490151453,false,true,0,true,true
2,4.999995676944587,99.99687112154083,0.4999375400395384,29.28315319278752,false,true,0,true,true
3,4.999991413352529,99.99986343780373,0.4999374494368093,29.284113154074994,false,true,0,true,true
4,4.999985730053088,100.00385863127485,0.4999373351023822,29.285104140105837,false,true,0,true,true
5,4.999978622417728,100.00854931952237,0.499937196744745,29.286125816803363,false,true,0,true,true
6,4.999970086438208,100.01369320073019,0.49993703428012315,29.287177454513824,false,true,0,true,true
7,4.999960118421573,100.01913235430385,0.4999368479000007,29.288258517828424,false,true,0,true,true
8,4.999948715115325,100.02475953729375,0.4999366378606519,29.289368383717072,false,true,0,true,true
9,4.999935873439997,100.03049967903296,0.49993640447826737,29.29050660253211,false,true,0,true,true
10,4.9999215906285945,100.03630172653722,0.4999361481556102,29.291672640461908,false,true,0,true,true
11,4.999905864516289,100.04213130355187,0.4999358692906794,29.292865762613648,false,true,0,true,true
12,4.999888692939342,100.04796357627652,0.4999355682416972,29.294085630681305,false,true,0,true,true
13,4.999870074338672,100.05378286754224,0.4999352454082346,29.295331511441223,false,true,0,true,true
14,4.9998500074324275,100.05957797528899,0.4999349011735279,29.296602879347354,false,true,0,true,true
15,4.999828491255703,100.06534119762085,0.4999345359026237,29.297899184975936,false,true,0,true,true
16,4.99980552528413,100.07106780281534,0.4999341499204858,29.29921979141526,false,true,0,true,true
17,4.999781109109957,100.07675419939103,0.4999337435902863,29.300564273645502,false,true,0,true,false
18,4.999755242656666,100.08239832544153,0.4999333172100625,29.301932073315584,false,true,0,true,false
19,4.999727926392638,100.0879991101413,0.4999328711446115,29.303322481397373,false,true,0,true,false
20,4.999699160783178,100.0935554863788,0.4999324055910752,29.304735149240717,false,true,0,true,false
21,4.99966894672902,100.09906742010726,0.4999319209471123,29.306169446860284,false,true,0,true,false
22,4.999637285559975,100.10453414892407,0.49993141744184555,29.307624742113557,false,true,0,true,false
23,4.999604178861002,100.10995671278305,0.49993089529909884,29.30910051423093,false,true,0,true,false
24,4.999569628521429,100.11533457264294,0.4999303548413508,29.3105962067575,false,true,0,true,false
25,4.9995336365139265,100.12066799900855,0.49992979630265877,29.312111415853824,false,true,0,true,false
26,4.99949620539881,100.1259573647382,0.4999292198859754,29.313645403502406,false,true,0,true,false
27,4.999457337849172,100.1312032777558,0.4999286258434895,29.315197741048983,false,true,0,true,false
28,4.999417036950775,100.1364060543095,0.499928014420025,29.316767803950118,false,true,0,true,false
29,4.999375306023519,100.14156552425692,0.4999273857776938,29.318355079551903,false,true,0,true,false
30,4.999332148514432,100.14668295093799,0.4999267401548164,29.319959133577445,false,true,0,true,false
31,4.9992875684210425,100.15175778531479,0.4999260777827049,29.321579247188062,false,true,0,true,false
32,4.999241569689479,100.15679131840574,0.49992539881115167,29.323215100101862,false,true,0,true,false
33,4.99919415681387,100.16178308175125,0.49992470343917256,29.324865978290713,false,true,0,true,false
34,4.999145334358582,100.16673372462817,0.4999239918643356,29.32653147819829,false,true,0,true,false
35,4.9990951071726775,100.17164394012423,0.49992326427963024,29.328211064081724,false,true,0,true,false
36,4.999043480603355,100.1765138159789,0.4999225208458816,29.329904050617895,false,true,0,true,false
37,4.998990459947295,100.18134399062298,0.4999217616998572,29.331610114443986,false,true,0,true,false
38,4.99893605088109,100.18613428833373,0.4999209870769737,29.333328651817535,false,true,0,true,false
39,4.9988802591586055,100.19088590630675,0.4999201970555581,29.335059259965476,false,true,0,true,false
40,4.998823090919003,100.19559831165267,0.4999193918682955,29.3368013408835,false,true,0,true,false
41,4.998764552804386,100.20027274412539,0.4999185716390401,29.3385542073512,false,true,0,true,false
42,4.998704651383664,100.20490857758662,0.4999177365178352,29.34031754640999,false,true,0,true,false
43,4.998643393294498,100.2095068841474,0.49991688665119016,29.342090967296457,false,true,0,true,false
44,4.998580785690029,100.21406737562033,0.49991602218397413,29.343873783016992,false,true,0,true,false
45,4.998516835782876,100.21859094541716,0.49991514326141795,29.34566560513777,false,true,0,true,false
46,4.998451551145006,100.2230779398886,0.4999142499984021,29.347465850191856,false,true,0,true,false
47,4.998384939532857,100.22752866083401,0.4999133425613368,29.34927404788885,false,true,0,true,false
48,4.998317008914876,100.23194286654784,0.4999124210620128,29.35108970629262,false,true,0,true,false
49,4.998247767178341,100.2363214823092,0.49991148566444704,29.3529125383723,false,true,0,true,false
50,4.998177222823222,100.24066417994962,0.4999105364252287,29.354741800842017,false,true,0,true,false
51,4.998105384405627,100.24497188619422,0.4999095735596888,29.356577109051255,false,true,0,true,false
