logical_step,simulated_seconds,reasons,requested_mwe,gross_mwe,rotor_shaft_mwe,canonical_total_turbine_shaft_mwe,total_turbine_steam_flow_kg_s,admission_flow_kg_s,control_valve_percent,admission_valve_percent,turbine_inlet_pressure_kpa,turbine_inlet_temperature_c,turbine_inlet_phase,rotor_rpm,condenser_pressure_kpa,drum_level_fraction
5500,55,shaft-floor,5,4.4350226779416584,0,0,0,-27.477271591012993,33.153419487375018,100,4854.5272902722791,262.78359600030819,SuperheatedVapor,2996.119446086539,7.6024122670934657,0.57588233478503525
6600,66,shaft-floor,5,4.6969851284730852,0,0,0,-26.552265225831448,39.466048143595486,100,4865.9143035789075,262.50694338219705,SuperheatedVapor,2991.5182642226719,7.5621370681997053,0.5934673790578413
7200,72,shaft-floor,5,4.7137526209438887,0,0,0,-25.946968348683889,38.401693402091716,100,4876.8861604401091,262.5101031339309,SuperheatedVapor,2992.9176525984585,7.6121316975812023,0.60310312648454878
7900,79,shaft-floor,5,4.7112118895230326,0,0,0,-26.936880576594437,34.722399291843224,100,4930.920141636986,264.06985597922016,SuperheatedVapor,2997.5114579779179,7.9352148200624155,0.61457031078815483
8800,88,shaft-floor,5,4.6097385327796072,0,0,0,-27.205916604235139,33.6656690323342,100,4948.0641735241406,264.06932252431739,SuperheatedVapor,2999.1526779205074,7.7473810828693015,0.62948556805418476
