metric_id,unit,final_window_mean,linear_slope_per_second
total-fluid-mass,kg/s,60009.396410760601,-1.3616929665042383E-12
total-fluid-internal-energy,W,67897834511.679855,-2061802.7621648791
exhaust-mass,kg/s,67.566650115395731,0.0016540088626092887
hotwell-mass,kg/s,9936.8712606831814,0.03341992776031566
feedwater-inventory-mass,kg/s,9938.3115399352628,0.037204977138041349
drum-inventory-mass,kg/s,6743.2083105411093,8.2451672984622224
main-steam-header-mass,kg/s,3038.0623826424144,-0.35293086123580603
