logical_step,simulated_seconds,presentation_fingerprint,trip,breaker,request_mwe,gross_mwe,rotor_shaft_mwe,canonical_shaft_mwe,total_steam_flow_kg_s,stop_flow_kg_s,control_flow_kg_s,admission_flow_kg_s,rotor_rpm,condenser_kpa,drum_level_fraction,total_fluid_mass_kg,total_fluid_internal_energy_j,exhaust_mass_kg,hotwell_mass_kg,feedwater_mass_kg,drum_inventory_mass_kg,header_mass_kg
1300,13,0ae872537a9282f71f057e1b6ccdc8fef2f4dffd632e45da56e2084aed336543,False,True,5,4.1752155569748357,5.3068352427726868,5.3068352427726868,12.38954515675227,12.497097074941721,17.036527071444333,14.368756630717405,2988.4448295195421,7.5614226601138022,0.52385079081077301,60009.396410760753,68780380056.841187,59.757159256667201,9898.2678660477286,9909.000880115922,4102.1324676168397,3216.2753676696748
1400,14,df4939dac07faa25b7ef73a967d90a84afc46c8ee577b8204a5d0e704f19c235,False,True,5,4.491044901742189,5.2639549048379823,5.2639549048379823,12.244311479354989,12.348832414827763,13.116925471166354,14.221141776653642,2999.4013635539031,7.6224408822671093,0.52470001204709138,60009.396410760746,68773086964.094925,60.294670314282776,9896.8623056510478,9916.0746973620135,4108.1454154935154,3212.3175118075969
1500,15,6fbf1c64b6f0229ba10a5253a9c509f7239637b57ea67d74522a6b578e1df27a,False,True,5,4.5660322953346331,5.1639378808024032,5.1639378808024032,12.009155340833935,12.109985041777662,12.549635040898872,13.938360259076054,3001.7163862333728,7.644404013749007,0.52543858678282152,60009.396410760746,68765681084.569229,60.54067546575785,9896.3135439053203,9922.0381298006505,4113.6933708273018,3209.1156349897515
1600,16,f7e97edcea5f3d3c0f42032f025ad9c76782a1ab8fb4937740b00c9dc7b32405,False,True,5,4.5438960689389267,5.0897513106867871,5.0897513106867871,11.836659220934877,11.934475633718133,13.071593682047091,13.685091625814758,3000.8494694768892,7.6362591378572553,0.52674581962193257,60009.396410760753,68758318897.609467,60.55475444118489,9898.3875857726907,9922.0664402575512,4123.4640144028972,3206.3721366420464
1700,17,84e97a13b6b9404bfc413c3f93275b0b84f6ec197ba2f59a14fd2f3130e89281,False,True,5,4.4989935774059733,5.0507787018419599,5.0507787018419599,11.748157078926349,11.843799763612115,13.682919187575644,13.50325014898535,2999.4423418089127,7.6136259145846541,0.52794505494540678,60009.396410760732,68751029881.304703,60.44976382651069,9900.769794946933,9922.09355511797,4132.3985739327618,3203.8412594926472
1800,18,5388f90aaa51b3e7d2693825130c34273eccce883da207d270d7c8dc183ba96b,False,True,5,4.4643376266726182,5.0366148135751576,5.0366148135751576,11.718627432089693,11.812704292275525,14.017144930369403,13.379109966499851,2998.5713439435913,7.588554975469787,0.52901754746155627,60009.396410760746,68743823545.870209,60.313556769585901,9903.4183774471039,9922.1173057433934,4140.4081488074398,3201.4369038641703
1900,19,96ffbf4315a70c11282a870f693e36af8a36cd89ef47c1d3165f11d5fe8e13d5,False,True,5,4.4542953323972965,5.0355149673188606,5.0355149673188606,11.717539928772599,11.810390833452928,14.160865037418606,13.288968549457909,2998.1961912346833,7.5667570525268557,0.52997803016794454,60009.396410760739,68736691853.725983,60.189896638639475,9906.3013025580312,9922.1381235383378,4147.5990677690306,3199.1140210411954
2000,20,0bcb442025e7f50fa0c9b04f414de9deef9d9c8da3eb4919289ab41302bd4997,False,True,5,4.4651986348784201,5.0417560789244895,5.0417560789244895,11.733311206924112,11.825167956912848,14.315800904686773,13.223245484074171,2997.8764777427523,7.5501951287580216,0.53083898464620549,60009.396410760746,68729623277.194458,60.095435396133745,9909.3943764153009,9922.1563522099004,4154.0620719924373,3196.8525281657994
2100,21,f6686dba1a5a6190a21448cf6464a959ab2b39cf5c9892f7cd6ff4e9ec11c7f2,False,True,5,4.4968248662154018,5.0569263204046804,5.0569263204046804,11.771140388730679,11.86226160333397,14.64662410016042,13.187192128569631,2997.2309459556395,7.5402145175516875,0.53161119711674754,60009.396410760739,68722601878.609985,60.041751921728554,9912.6778034920317,9922.1722771823643,4159.8759372701488,3194.6360323837766
2200,22,e18dd8737f8aba7e18472dc714a27de07551af69664bba53ceec946dd4fadb50,False,True,5,4.5668166590339254,5.0885535571087539,5.0885535571087539,11.850484070572287,11.941263357268893,15.393223187317533,13.20027081913299,2995.777207928486,7.5394996691301106,0.53230407839108773,60009.396410760739,68715599991.284233,60.049526521858581,9916.136398360688,9922.1861365960303,4165.109749352986,3192.4373958622659
2300,23,297647e9a89857c056bc42e74a83d543e57569d99c347d73dbb80cdd9fc399e0,False,True,5,4.7249056591226166,5.1547024574767795,5.1547024574767795,12.01806682127455,12.109233608611872,17.132701738593894,13.309965840942883,2992.3897434469659,7.5543108561817052,0.53292584546225297,60009.396410760732,68708563758.213158,60.164559810999961,9919.7624811448422,9922.1981216616732,4169.8244052274958,3190.2014497645628
2400,24,9fdad8cf051fa5a7c6b1abf4fc54ac349bd34e10aaa71ce9721724a5654ad3b0,False,True,5,4.9557842443040601,5.2919202069173314,5.2919202069173314,12.366693142015812,12.459643031750675,20.441759852386078,13.612777021476683,2985.4288229428689,7.5989335924587778,0.53363577770593906,60009.396410760717,68701387815.976997,60.489447631863285,9922.240952608714,9922.4933737261526,4175.3945071991202,3187.804977500115
2500,25,2c7a4c04f42518bd22f94c8c384d79bbec63fa8fdc7700d1591b13d1a18a3f77,False,True,5,4.6202510931050069,5.4820287624686701,5.4820287624686701,12.818220818282937,12.913705246390396,19.792185208806679,14.052366844746123,2983.8186866599126,7.6905692970613977,0.53484668283224379,60009.396410760717,68693893148.179459,61.150238674801379,9922.3835324774645,9922.5941372826946,4184.678302016584,3184.9858654313734
2600,26,c6938cd45ac1db7a3bc5853e8e291eff49bb22e8bb9708a3752ac4082c685830,False,True,5,4.5525086745482426,5.5295146186375979,5.5295146186375979,12.874137925262295,12.969166593322916,13.949317142042378,14.138411765719058,2996.6094712356826,7.7991858480481202,0.53609289530888704,60009.396410760724,68685997169.91964,61.945031718981483,9922.4574113889266,9922.6544197514904,4194.1828907669442,3181.8654099566274
2700,27,871a62e1bb8cf57f5584901a91b654f5125f8518e37703998ccabd0e29dca0aa,False,True,5,4.7407731762436853,5.4095617822669873,5.4095617822669873,12.58033080152363,12.724128515911854,12.67220420343175,13.919764305867856,3001.97473335514,7.854955500727562,0.53734091367971992,60009.39641076071,68677976999.779022,62.372647744821492,9922.5188610889927,9922.7094616841641,4203.7014261820659,3178.8675185194093
2800,28,0b654d1a86fb5436646a242cc81bc526855bb87c1441360ac086ca199bf0d97a,False,True,5,4.8039125647247607,5.3348298295681973,5.3348298295681973,12.40662344534007,12.496328706486874,13.020322181622566,13.70450850255337,3001.4108182826853,7.8786025973317022,0.53858068407981174,60009.39641076071,68669984673.651253,62.568117880492458,9922.5666597709933,9922.7575720434816,4213.153164736329,3176.0848810166522
2900,29,79a31c117e7f1eb4b5f4fe77a0a53b500aef55c0c6a344b90c97aed1ec96c300,False,True,5,4.7414763637508299,5.2783893917680569,5.2783893917680569,12.278824815308372,12.366778078614953,13.993158319654817,13.573991572423189,2999.1356550143091,7.8809929005633457,0.53980682923385037,60009.396410760688,68662063011.522873,62.607461559793656,9922.6079165070096,9922.8024746215233,4222.4966804853348,3173.4372277124521
3000,30,4ef5c2b14807e3d4bf78c44099fda2d6d95d78214d9fad8441b2e6f05b0eb617,False,True,5,4.6527625556550092,5.2492173080024545,5.2492173080024545,12.214308533300846,12.300997562446776,14.192626369981923,13.50060738599606,2998.3236512970161,7.8719398900691528,0.54101596952234687,60009.396410760681,68654248574.899849,62.559322572082024,9922.6444027872421,9922.8447773235403,4231.7057564116349,3170.8341417127899
3100,31,72615d70d4e8e70a85622950045dd490bd375d4a76e1fb0747576905a97c0960,False,True,5,4.609553971985199,5.2225401057983003,5.2225401057983003,12.150414847498558,12.235875334174139,13.954013311396677,13.427504342404797,2998.7751426279315,7.8568691909503849,0.54220638104567476,60009.396410760666,68646550985.508057,62.463752894733759,9922.678473160955,9922.885606092701,4240.7685163263177,3168.2548079375802
3200,32,9553c745d8b49c0cb6d96a863b06f861114e1f2a411d6d2be33ebeffd922ec15,False,True,5,4.5904203945162854,5.1915157709930142,5.1915157709930142,12.076491112977759,12.160684135583091,13.795922160750335,13.343472094211515,2999.2065766313535,7.8357173352249143,0.54337746245119711,60009.396410760688,68638990811.825493,62.321005260673935,9922.7104108579424,9922.9250579487689,4249.6811626258177,3165.7149342869529
3300,33,3844489728f7b4aa5e24859e20e486596963b4c1b2e106e9c09ec9cd13e16854,False,True,5,4.5702163174342747,5.1613984517163845,5.1613984517163845,12.006169856883357,12.089153460084326,13.790292261121326,13.26088480593774,2999.2706835185504,7.8092387532373779,0.54452867659217952,60009.396410760688,68631587417.088356,62.136429172672372,9922.7403466806936,9922.963126899338,4258.4399920999949,3163.2227945895734
3400,34,a683e5dfcfe59e6af46aa289fcd07d168b45c6e8ca52cb53ea37db38cdf4f663,False,True,5,4.546481255692802,5.1359255047148116,5.1359255047148116,11.947274568769007,12.029160966757457,13.829324844987854,13.187751421247683,2999.1804930994304,7.7795471266618517,0.54565962643444621,60009.396410760688,68624350401.39061,61.925238464032915,9922.768837956517,9923.0000328717852,4267.0424076781328,3160.7742109298297
3500,35,05016b789f2808041abed599739ac2416cfe091263699a540b9af5e7c2c1844f,False,True,5,4.524383467302207,5.1150416860461423,5.1150416860461423,11.898964616558974,11.979858940628842,13.850380056236064,13.124076422148889,2999.112611663124,7.7487044613132596,0.54677031515154106,60009.396410760717,68617281110.925278,61.702617349486097,9922.7965323833014,9923.0360689922436,4275.4889923858864,3158.3624069991643
3600,36,be654407c85f9f40c2b7924859283b2c21515590258e350e3c4f8e2f5e29f824,False,True,5,4.5064948703385506,5.0975423632344823,5.0975423632344823,11.858361221730055,11.938347391456045,13.854997974317795,13.067628094646684,2999.0862369572997,7.7180777493631352,0.5478611580051379,60009.396410760703,68610376510.48526,61.47892063554751,9922.8238996424843,9923.0714601651052,4283.7835035388871,3155.9831424916283
3700,37,910d4e216e1499a53c09670f42abed6e61ad2f3ac1b6d36781431784c56b4300,False,True,5,4.4925491264907036,5.0827634756889166,5.0827634756889166,11.82407791571482,11.903228952684765,13.861397214707527,13.017343965224955,2999.0616350631108,7.6885030991423955,0.54893285638066336,60009.396410760703,68603631221.880447,61.260683309175441,9922.8512288370639,9923.106352451854,4291.9318304695053,3153.6341217704594
3800,38,435a4da8d1b461ea5c4fd0f6f754262c7b7379490899a16c17d5e6b5cdebbb2f,False,True,5,4.4819041134610158,5.0706647981792008,5.0706647981792008,11.796139368831208,11.874526963588824,13.880975831758709,12.973440368835432,2999.0088945005277,7.6605894067734912,0.54998629043964753,60009.396410760695,68597037957.335114,61.052751541816249,9922.8787174766894,9923.1408533981885,4299.9411662045331,3151.3131910533293
3900,39,9fa786df58fc69668330371d2be9f0b727752a721efa2139bbd7751eb61ee6a2,False,True,5,4.474631113909,5.0615026409778832,5.0615026409778832,11.775204850603162,11.852903469338248,13.920262950102126,12.936765310685995,2998.911887957016,7.6348813408193736,0.5510542621037644,60009.39641076071,68590587515.876007,60.859459510547715,9922.9069430707623,9923.1759851958159,4308.0583810320404,3149.0174541959777
4000,40,75fb9f4879492a9f9796c3f09e205b4b3dbe93d4af348d30ef37f443d7471e0d,False,True,5,4.4716928778212575,5.0561326756283842,5.0561326756283842,11.763331240119889,11.840427366892689,13.986906679257313,12.908658940268378,2998.7536756333548,7.6119703068788498,0.55256704697920356,60009.396410760695,68584275207.456413,60.685435444032684,9922.9584269675415,9923.2365146510438,4319.337777130123,3146.7542905218688
4100,41,06e8fced93b6f79b05d75b9881f637e2cf288204eb2094421164771cad9d64f6,False,True,5,4.4754068401092519,5.0561500346858184,5.0561500346858184,11.764332782360093,11.840937629838166,14.094021524376846,12.891229030940178,2998.5081136329263,7.5927428895302977,0.55415418043448528,60009.396410760695,68578106064.829018,60.5373987247957,9923.0254582825564,9923.3088562311987,4331.109069949759,3144.5444580078683
4200,42,1b0bd29d48d9c8da7b4d770200a4b3f855f26cc69a7270c85e36a922708ae1c4,False,True,5,4.4897317984153098,5.0631096340687707,5.0631096340687707,11.782125410590318,11.858375948116489,14.279831536285958,12.88839477902436,2998.0999102211258,7.5783852156273621,0.55574026929227816,60009.39641076071,68572071885.355377,60.424202899782991,9923.0958490480116,9923.3834681064072,4342.8489491288774,3142.3902189389337
4300,43,f4941326e134a1c426b5c1990009e9cd030d0da79ce3861b6de7a001a2b41144,False,True,5,4.5230209824747263,5.0800767940215499,5.0800767940215499,11.824588884251718,11.900672591365467,14.637146138951465,12.908677852304809,2997.3417906302925,7.5705747225302549,0.55732598390920951,60009.396410760703,68566154472.314369,60.358180688345392,9923.1694197427169,9923.4601515058912,4354.5657006891115,3140.2834687240656
4400,44,98803f3dcb118947cf157297075d8fdb1396256b5816bdcea879712c730d6ed1,False,True,5,4.5965604124651254,5.1142259212412702,5.1142259212412702,11.910306734437288,11.986528358523612,15.398094715665639,12.971830154933153,2995.7675549981191,7.5722954992845208,0.55891225436561398,60009.396410760717,68560322567.91571,60.360916553987785,9923.2466651419854,9923.5390961686844,4366.269751847597,3138.2021701605922
4500,45,788da02795f310d6eb58770683a09b044e2b183cb1eb8954c3be922527f20290,False,True,5,4.760005020454936,5.1830707949498311,5.1830707949498311,12.08499432725112,12.161944925905336,17.138720649211205,13.125687680758281,2992.1936459483895,7.5899359072076118,0.56050062547272061,60009.396410760717,68554518677.777611,60.478079671288199,9923.3288582904825,9923.6208911741869,4377.9765698143783,3136.0949083498513
4600,46,b52274b78fc4eacfeaa6fab8d28dcb494f807661f13bf2fae1b99528720698b3,False,True,5,4.971372259212802,5.3211385762965229,5.3211385762965229,12.436030055360197,12.514842199947424,20.262802263983694,13.462525396025848,2985.177240877857,7.6375993687021015,0.56209389147625033,60009.396410760717,68548628328.647705,60.810046988288839,9923.4190710189396,9923.7070307995036,4389.7125385773379,3133.8474742296921
4700,47,0eaacaef7c053620e693927e2e3701d48986ec62af8af2cca722c86757fa5ebc,False,True,5,4.6067871504664328,5.504501449907675,5.504501449907675,12.866980696593734,12.948147342003329,19.097982229923705,13.89862625547438,2984.7021913251401,7.7306363276406795,0.56369814266128171,60009.39641076071,68542466603.980606,61.469369598626244,9923.5208396490016,9923.7990006744822,4401.5316901727601,3131.3206674178036
4800,48,87e1d4b0260876a07977738bd6e814de5f8cb7f45b62305b5b7759598259cee3,False,True,5,4.589909187355186,5.5495748500143032,5.5495748500143032,12.916889866323483,12.997983088381615,13.629760993375058,13.973506362248578,2997.5238039417577,7.8379100824302483,0.56531976033510589,60009.396410760717,68535977621.009491,62.245863911673339,9923.6307146350173,9923.8964606433983,4413.4882763303394,3128.7022396110488
4900,49,17dc1bffa8dc75f53076f6c8bcf70bc1cf6d7ab4985d8403f387a81a1785e274,False,True,5,4.7712451647778868,5.4299558178428224,5.4299558178428224,12.627765486081298,12.79832358795181,12.706499954385654,13.776286156825304,3002.0982322952882,7.8900288282241666,0.56695883838992578,60009.39641076071,68529449339.85479,62.639865893732882,9923.7298881882652,9923.9899022789559,4425.5784287437391,3126.3481954250037
5000,50,891d03e15d059aa5c34036b4ae2be94054a5f2cfddcdd289e3bc65165db68fdf,False,True,5,4.8478001507941793,5.3960439187729445,5.3960439187729445,12.548971894760683,12.626786242903641,12.922366240433595,13.590600875134349,3001.683882587582,7.9199777785037515,0.56860780818831536,60009.39641076071,68522980478.841843,62.874451925231433,9923.8181172968343,9924.0780162985975,4437.735498736698,3124.2974651169479
5100,51,1c0113629e92458bad41279fe885df348e94482342d9dded0d2dafb02a553d77,False,True,5,4.8167363841621533,5.3586636218414343,5.3586636218414343,12.463228185877284,12.540192577867126,13.762244611647938,13.477547349139467,2999.6978392402661,7.9364714692229068,0.57026337011056127,60009.39641076071,68516580577.333336,63.011158355427789,9923.9033802639351,9924.1651847734738,4449.9333388598725,3122.4617103481983
5200,52,6fa2a6ecb7e84ad701714ff3ac4486670d15e25ab565159252622e2c89838ae5,False,True,5,4.749346935304148,5.3466119899222138,5.3466119899222138,12.438625673536025,12.515163875512121,13.965081703109636,13.418392979691619,2998.8799762148737,7.9439109903644018,0.57192335756020052,60009.396410760695,68510286133.011971,63.080030371881904,9923.9856112519428,9924.2511746812906,4462.1533202572446,3120.7466294060528
5300,53,93be9b6ba59f9c52d9ee53a7bbb9157e83273c5807615f2b8af7b69ef7e28f73,False,True,5,4.7213720344421146,5.3383556544094679,5.3383556544094679,12.417551775310738,12.493733624215237,13.72777867735531,13.361424459459831,2999.3336699411598,7.9475156022760647,0.57358623378804185,60009.396410760695,68504099290.269363,63.119062085067206,9924.0669172092603,9924.3370064277242,4474.3840784658305,3119.1186159336435
5400,54,a5aabf945197215106737d308f3e0d8b3f1ba07135a869e828d0188fe2324959,False,True,5,4.7203734001050748,5.3259672047681201,5.3259672047681201,12.386709059907707,12.462523348669928,13.551693732062027,13.293682403722777,2999.8224788198709,7.9470067485147675,0.57525117429084927,60009.39641076071,68498032552.389732,63.126877773808957,9924.1475387736482,9924.4227794729904,4486.6197066924406,3117.581903394545
5500,55,aa0414210a15fb6a2337f044f862f8c9f2e6a08981e54645c0b90eab0b0cf31a,False,True,5,4.7191002604604844,5.3140304855148184,5.3140304855148184,12.358555689825552,12.434068193985194,13.536579372920016,13.22728245858093,2999.915984437559,7.9426849470954091,0.57691740014624338,60009.396410760703,68492099296.863602,63.105424688915278,9924.2274677461755,9924.5084353542425,4498.8543639650234,3116.1369964325963
5600,56,7c18c25a986efeb22d58dab2c914b32422f3f477169906eea46553bd9e798d89,False,True,5,4.7119446647900087,5.3062051130292076,5.3062051130292076,12.340638927480333,12.415961663532258,13.563404372080075,13.170543066163637,2999.8472865271733,7.9362402548616791,0.57858421686448935,60009.396410760717,68486304694.397675,63.066681210379009,9924.3071020347143,9924.5941208100867,4511.0830170250983,3114.773588822773
5700,57,4c8336740f90eb89b885fd6a5d0970a9f271de4971c588c146b59b2fa349df75,False,True,5,4.7047875053777437,5.3019809008061243,5.3019809008061243,12.330850362762416,12.406081743902023,13.555955531386155,13.122413250386634,2999.8390738031903,7.9292848766715709,0.58025118784701657,60009.396410760739,68480647194.660744,63.022440453382856,9924.3869278855018,9924.6800462918545,4523.3028794023558,3113.4804281586921
5800,58,fd2836082e8c6150fccd91c867efcc8df83c4f724965c2da7d95afe623b1c3ef,False,True,5,4.7013251629627533,5.299657372555763,5.299657372555763,12.325191164304712,12.400403900772657,13.523413941593576,13.079488238707931,2999.9014053522928,7.9226505708360344,0.58191812613754856,60009.396410760753,68475122925.581566,62.979059079725012,9924.467228281479,9924.7663337645681,4535.5131898041682,3112.250709917445
5900,59,c231eaa6e209e1849fba95f9f2025767fb2ccd5785722356344c5aad59911865,False,True,5,4.7008244498788052,5.2984817081802289,5.2984817081802289,12.322188022186657,12.397444277602418,13.49374753667322,13.040486217370313,2999.9667779681035,7.9166697327062225,0.58358498939308534,60009.396410760753,68469727605.815811,62.939264804867051,9924.5481022839467,9924.8530172022602,4547.7142720965921,3111.0805852267008
6000,60,64e8207f65875de04a7011201faba4e49def3c04dbe36ab2be7697af268d0683,False,True,5,4.7016156806822709,5.2984819676935926,5.2984819676935926,12.322050517667636,12.397412102907191,13.474992847140141,13.00570333781776,3000.0057561747553,7.9115655318133733,0.58525173496929039,60009.396410760768,68464456399.481522,62.904923244743046,9924.6296634423543,9924.940437189447,4559.9062449872554,3109.9665648056198
6100,61,debf48bbd17489375ffac209dea82437a625cf3dcadfc654533699fd15089ba4,False,True,5,4.7030580549502057,5.2997114569735402,5.2997114569735402,12.324909950921858,12.400437525965097,13.461455926584408,12.975352540576983,3000.0282013362516,7.9075555128156374,0.58691772665811892,60009.396410760746,68459303621.289719,62.877812283504099,9924.7125641056391,9925.0284523862974,4572.0856911457613,3108.9045272535682
6200,62,fc83156e7bbee1e28336e1e7f83985f418ae349c60ad49174bba5d7925a8421b,False,True,5,4.7053067942306619,5.3020780498096087,5.3020780498096087,12.330413614432562,12.40616448527124,13.44758691015984,12.94918215271101,3000.0492037011095,7.9047983475851504,0.58858411582118531,60009.396410760746,68454263006.985832,62.85928612131287,9924.795329067887,9925.1163176721948,4584.2610802660211,3107.8912979897646
6300,63,da2e30dd0c852d3853c3e65a2ea5f2b8338210f689d02cb4ac1c12bd77b68442,False,True,5,4.7085065762615983,5.3053464913439106,5.3053464913439106,12.338014643559962,12.414041133801048,13.433180288784319,12.926678234979265,3000.0716451938843,7.9033589409756981,0.59025086599678145,60009.396410760746,68449328137.730881,62.850007252574372,9924.8787277027914,9925.2045699412665,4596.4328045308866,3106.9236680415811
6400,64,206e2f1e3650aa67b7187506838eb01e5d9b33e66d722050d410c2fee0734ab1,False,True,5,4.7125463208787428,5.3093541338064254,5.3093541338064254,12.347334817864549,12.423685304711933,13.419867209257621,12.907448637935472,3000.0919701875418,7.9032308713266435,0.59191814192989578,60009.396410760761,68444492695.784531,62.850094258717682,9924.9627484087068,9925.2932006376141,4608.6026550495271,3105.9988720460492
6500,65,a03c4c5d396a4dd01eedc9b2669d6d88a0c38e9097c7e5f660e6b9a19581d833,False,True,5,4.7172323705492847,5.3140027464877786,5.3140027464877786,12.358145631382349,12.434865519463008,13.408307667021157,12.891231606700327,3000.1080982758481,7.9043721345423412,0.59358612233061914,60009.396410760739,68439750544.587891,62.859378832871144,9925.0473490282093,9925.3821853887075,4620.7724630087541,3105.114360933002
6600,66,81ff11889d1bbf09cde8c0a6d90a71dd1b0acf17ab3494c51d5aff9d1f3ffdc7,False,True,5,4.722428471061936,5.3192102827573962,5.3192102827573962,12.370256242461529,12.447388245637777,13.398175469531539,12.87779473978237,3000.1205866104365,7.9067230959078838,0.5952549856821967,60009.396410760724,68435095772.118813,62.877537760322518,9925.1324824797375,9925.4714981112993,4632.944019245062,3104.2677171275191
6700,67,69a12a45c2c6fc469e089c27d31e28cdb4b269884775f629997ae8b87fd1db50,False,True,5,4.7280587830146565,5.3248909285077195,5.3248909285077195,12.383467088893124,12.461051228955956,13.389043793877008,12.866890543518986,3000.130609611329,7.9102105944515531,0.59692490565030587,60009.396410760732,68430522739.918808,62.904126179108587,9925.2180992121357,9925.5611120835183,4645.1190444969779,3103.456659706942
