hold_seconds,logical_step,matches,output_mwe,thermal_mw,shaft_mw,frequency_hz,dispatch_mw,flow_kg_s,inlet_mpa
900,92784,true,5.87105229931665,39.59223679060836,6.4908709368205155,50.000065423004514,-0.13157935123719344,15.09504869032984,4.994255033908174
1800,182784,true,5.932191717552278,39.55540168251264,6.553257073522237,50.00001028322374,-0.06919211173309137,15.240132729111279,5.091515226367031
3600,362784,true,6.000344232909117,39.55608023549151,6.622800172099048,50.000004483204116,0.0003511028313285536,15.401860865467748,5.21841668168782
