path_id,window_index,start_s,end_s,row_count,resolved_row_count,background_mean_flow_kg_s,production_mean_flow_kg_s,if97_counterfactual_mean_flow_kg_s,mean_abs_counterfactual_shift_kg_s,load_specific_shift_kg_s,within_window_drift_kg_s,phenomenon_scale_kg_s,impact_ratio,driving_pressure_sign_change,band
MCP,1,2400,2700,5,5,100.0000006928028,193.97014042992743,138.53001717438087,55.44012325554657,93.97013973712463,11.187287757569237,93.97013973712463,0.5899759584335696,false,NOT-EXCLUDED
MCP,2,2700,3000,5,5,100.0000006928028,207.28523437895257,138.08645315478375,69.19878122416881,107.28523368614977,10.139285871435817,107.28523368614977,0.6449981870440963,false,NOT-EXCLUDED
MCP,3,3000,3300,5,5,100.0000006928028,219.38374678944757,137.65718286367715,81.72656392577042,119.38374609664477,9.237130682082949,119.38374609664477,0.6845702752501189,false,NOT-EXCLUDED
MCP,4,3300,3600,5,5,100.0000006928028,230.2706454780394,137.24290669618549,93.02773878185391,130.27064478523658,7.779532325611314,130.27064478523658,0.7141112944917014,false,NOT-EXCLUDED
CHANNEL,1,2400,2700,5,5,100.000000606997,193.97855489988035,-195.5260952790549,389.5046501789353,93.97855429288335,11.187135801335586,93.97855429288335,4.144612067185536,true,CONFIRMED
CHANNEL,2,2700,3000,5,5,100.000000606997,207.2932999855068,-204.0754803921198,411.36878037762654,107.29329937850979,10.139042292325627,107.29329937850979,3.8340584431689244,true,CONFIRMED
CHANNEL,3,3000,3300,5,5,100.000000606997,219.39160328067936,-211.9866126372357,431.3782159179151,119.39160267368236,9.237009633342296,119.39160267368236,3.6131369900188495,true,CONFIRMED
CHANNEL,4,3300,3600,5,5,100.000000606997,230.27784123796073,-219.2179792600911,449.4958204980518,130.27784063096374,7.777593464092661,130.27784063096374,3.450286083351139,true,CONFIRMED
RETURN,1,2400,2700,5,5,100.00000056572586,193.2289219600433,182.3888864976115,10.840035462431796,93.22892139431744,11.201401219894365,93.22892139431744,0.11627331197561754,false,NOT-EXCLUDED
RETURN,2,2700,3000,5,5,100.00000056572586,206.56358306615584,190.74865570469578,15.814927361460065,106.56358250042999,10.155989731427297,106.56358250042999,0.14840836794686638,false,NOT-EXCLUDED
RETURN,3,3000,3300,5,5,100.00000056572586,218.67998736654067,198.4604633138872,20.21952405265347,118.67998680081482,9.248365117104271,118.67998680081482,0.17037012387428618,false,NOT-EXCLUDED
RETURN,4,3300,3600,5,5,100.00000056572586,229.65021598259676,205.50954986795938,24.14066611463742,129.6502154168709,8.036048065392208,129.6502154168709,0.18619842656656382,false,NOT-EXCLUDED
FEEDWATER-PUMP,1,2400,2700,5,5,13.339237158715836,16.42041159074152,34.26042945133957,17.840017860598046,3.0811744320256835,0.00641334030454388,3.0811744320256835,5.790005809203514,false,CONFIRMED
FEEDWATER-PUMP,2,2700,3000,5,5,13.339237158715836,16.4294467661023,34.3436847322112,17.914237966108907,3.0902096073864627,0.007831358469406524,3.0902096073864627,5.797094774182593,false,CONFIRMED
FEEDWATER-PUMP,3,3000,3300,5,5,13.339237158715836,16.4395550472009,34.42487097964548,17.98531593244458,3.1003178884850655,0.008325890185336249,3.1003178884850655,5.80111994297233,false,CONFIRMED
FEEDWATER-PUMP,4,3300,3600,5,5,13.339237158715836,16.422492745586354,34.48939212840631,18.066899382819958,3.083255586870518,0.09730062344510415,3.083255586870518,5.859682687272037,false,CONFIRMED
