checkpoint,signal,mode1_flow_kg_s,candidate_flow_kg_s,flow_delta_kg_s
seed-step1,primary-pump,99.99999999997206,100.00001123018062,1.1230208556867183E-05
seed-step1,primary-channel,99.99999990962782,99.99999989284612,-1.6781697809165053E-08
seed-step1,primary-return,100.00000029567853,100.00000010720603,-1.8847249805276078E-07
seed-step1,primary-feedwater-boundary,0,0,0
seed-step1,primary-steam-export,0,0,0
seed-step1,secondary-steam-line,13.339237146077789,13.339237222050794,7.597300566430931E-08
seed-step1,secondary-turbine-admission,0,0,0
seed-step1,turbine-commanded,13.33923708511525,13.339237038677473,-4.643777806734306E-08
seed-step1,turbine-transferred,13.33923708511525,13.339237038677473,-4.643777806734306E-08
seed-step1,turbine-moisture-drain,0.3112352356723438,0.3112352351266061,-5.457376772710631E-10
seed-step1,condensate-pump,13.339237135420452,13.339282934359636,4.5798939183328E-05
seed-step1,feedwater-pump,13.339237173876834,13.33923713539855,-3.8478283670428937E-08
seed-step2,primary-pump,99.99999997333269,99.98246102389878,-0.017538949433912876
seed-step2,primary-channel,99.99999996288139,100.02718159141912,0.02718162853773265
seed-step2,primary-return,100.00000029567853,99.92582026205942,-0.07418003361911474
seed-step2,primary-feedwater-boundary,0,0,0
seed-step2,primary-steam-export,0,0,0
seed-step2,secondary-steam-line,13.339237145753915,13.33853305415105,-0.0007040916028646649
seed-step2,secondary-turbine-admission,0,0,0
seed-step2,turbine-commanded,13.339237085192888,13.338857307228974,-0.0003797779639143073
seed-step2,turbine-transferred,13.339237085192888,13.338857307228974,-0.0003797779639143073
seed-step2,turbine-moisture-drain,0.3112352356774153,0.31118154864832803,-5.368702908725709E-05
seed-step2,condensate-pump,13.339237138606435,13.351927035966533,0.01268989736009729
seed-step2,feedwater-pump,13.339237175267893,13.360632009364604,0.021394834096710724
