boundary_index,boundary_temperature_c,probe_side,reference_region,reference_phase,reference_temperature_c,reference_pressure_mpa,reference_quality,production_resolved,production_phase,production_temperature_c,production_pressure_mpa,production_quality,phase_matches,production_minus_reference_temperature_c,production_minus_reference_pressure_mpa,is_finite,boundary_max_liquid_pressure_jump_mpa,boundary_max_liquid_temperature_jump_c,boundary_max_vapor_pressure_jump_mpa,boundary_max_vapor_temperature_jump_c
0,47.25379668027165,R1-SIDE,REGION-1,SubcooledLiquid,47.25379668027165,0.01076344579292377,,true,SubcooledLiquid,47.25379559874807,0.01127780014141532,,true,-1.0815235782501986E-06,0.0005143543484915497,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
0,47.25379668027165,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,47.25379668027165,0.010763338159542174,1E-06,true,SaturatedMixture,47.25379565358162,0.010764077288887246,9.999015993734989E-07,true,-1.026690028993471E-06,7.391293450724479E-07,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
0,47.25379668027165,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,47.25379668027165,0.010763338159542174,0.999999,true,SaturatedMixture,47.25549134445231,0.01076500068570304,0.9999980177053365,true,0.0016946641806612206,1.6625261608661096E-06,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
0,47.25379668027165,R2-SIDE,REGION-2,SuperheatedVapor,47.25379668027165,0.010763230526160579,,true,SuperheatedVapor,47.25358819037774,0.010763225640304633,,true,-0.00020848989390742645,-4.8858559455189354E-09,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
1,47.25636326000097,R1-SIDE,REGION-1,SubcooledLiquid,47.25636326000097,0.010764843736668937,,true,SubcooledLiquid,47.25636217878508,0.011278978775725704,,true,-1.081215884823905E-06,0.0005141350390567671,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
1,47.25636326000097,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,47.25636326000097,0.010764736089308044,1E-06,true,SaturatedMixture,47.25636223703623,0.01076547493454927,9.999016329002069E-07,true,-1.0229647386950091E-06,7.388452412260965E-07,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
1,47.25636326000097,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,47.25636326000097,0.010764736089308044,0.999999,true,SaturatedMixture,47.25805712808199,0.010766397895816491,0.9999980180683489,true,0.0016938680810199003,1.6618065084468558E-06,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
1,47.25636326000097,R2-SIDE,REGION-2,SuperheatedVapor,47.25636326000097,0.01076462844194715,,true,SuperheatedVapor,47.256154079879764,0.010764622885548317,,true,-0.00020918012120318963,-5.556398834094534E-09,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
2,47.260731856524956,R1-SIDE,REGION-1,SubcooledLiquid,47.260731856524956,0.01076722354696915,,true,SubcooledLiquid,47.26073077635613,0.011280735919456567,,true,-1.080168829048489E-06,0.0005135123724874166,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
2,47.260731856524956,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,47.260731856524956,0.010767115875810392,1E-06,true,SaturatedMixture,47.26073083281517,0.010767853874898408,9.999017375808994E-07,true,-1.0237097853860178E-06,7.379990880160975E-07,true,0.0005137228525280736,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647
