probe_id,logical_step,elapsed_s,node_id,reference_region,reference_phase,reference_temperature_c,reference_pressure_mpa,reference_quality,production_resolved,production_phase,production_temperature_c,production_pressure_mpa,production_quality,phase_matches,pressure_relative_error,temperature_relative_kelvin_error,is_finite
background-reference,0,0,suction,REGION-4-MIXTURE,SaturatedMixture,269.34476251006106,5.446657821393141,0.0009044047982072967,true,SaturatedMixture,269.3447110056877,5.446680777700812,0.000904378069141673,true,4.214751215071632E-06,9.493985362637218E-08,true
background-reference,0,0,pressure,REGION-4-MIXTURE,SaturatedMixture,269.4799217283727,5.4582106824633945,0.0009015025208173814,true,SaturatedMixture,269.4799124598503,5.458214817836955,0.0009014976995838854,true,7.576427150764118E-07,1.70807432563582E-08,true
background-reference,0,0,outlet,REGION-4-MIXTURE,SaturatedMixture,275.1843705475329,5.963117165910907,0.18990745729760766,true,SaturatedMixture,275.1846368908882,5.96317277968873,0.18990659294329845,true,9.32629298999053E-06,4.857316440451576E-07,true
background-reference,0,0,drum,REGION-4-MIXTURE,SaturatedMixture,270.41057386994373,5.5382678699752335,0.036630469875386214,true,SaturatedMixture,270.4105988740921,5.538288949758085,0.0366302568118606,true,3.806204998856723E-06,4.6000665926834137E-08,true
background-reference,0,0,feedwater-inventory,REGION-1,SubcooledLiquid,47.52114057847865,0.12181746458054063,,true,SubcooledLiquid,47.517354272175226,0.11811413405720952,,true,0.030400653437361747,1.1807443278477701E-05,true
background-reference,6000,60,suction,REGION-4-MIXTURE,SaturatedMixture,269.34476251006106,5.446657821393141,0.0009044047982072967,true,SaturatedMixture,269.3447110056877,5.446680777700812,0.000904378069141673,true,4.214751215071632E-06,9.493985362637218E-08,true
background-reference,6000,60,pressure,REGION-4-MIXTURE,SaturatedMixture,269.4799217283727,5.4582106824633945,0.0009015025208333786,true,SaturatedMixture,269.4799124598503,5.458214817836955,0.0009014976995998763,true,7.576427150764118E-07,1.70807432563582E-08,true
background-reference,6000,60,outlet,REGION-4-MIXTURE,SaturatedMixture,275.1843705475329,5.963117165910907,0.18990745735097625,true,SaturatedMixture,275.1846368610859,5.963172776959021,0.18990659290083595,true,9.325835224558892E-06,4.856772934080493E-07,true
background-reference,6000,60,drum,REGION-4-MIXTURE,SaturatedMixture,270.41057386994373,5.5382678699752335,0.03663046987747153,true,SaturatedMixture,270.4105988740921,5.538288949758085,0.03663025681394589,true,3.806204998856723E-06,4.6000665926834137E-08,true
background-reference,6000,60,feedwater-inventory,REGION-1,SubcooledLiquid,47.52114057842988,0.12181746458051382,,true,SubcooledLiquid,47.517354272070406,0.11811413400971317,,true,0.030400653827046077,1.1807443453261708E-05,true
background-reference,12000,120,suction,REGION-4-MIXTURE,SaturatedMixture,269.34476251006106,5.446657821393141,0.0009044047982072967,true,SaturatedMixture,269.3447110056877,5.446680777700812,0.000904378069141673,true,4.214751215071632E-06,9.493985362637218E-08,true
background-reference,12000,120,pressure,REGION-4-MIXTURE,SaturatedMixture,269.4799217283727,5.4582106824633945,0.0009015025208192097,true,SaturatedMixture,269.4799124598503,5.458214817836955,0.0009014976995857074,true,7.576427150764118E-07,1.70807432563582E-08,true
background-reference,12000,120,outlet,REGION-4-MIXTURE,SaturatedMixture,275.1843705475329,5.963117165910907,0.18990745725188007,true,SaturatedMixture,275.1846368610859,5.963172776959021,0.18990659280174027,true,9.325835224558892E-06,4.856772934080493E-07,true
background-reference,12000,120,drum,REGION-4-MIXTURE,SaturatedMixture,270.41057386994373,5.5382678699752335,0.03663046988360346,true,SaturatedMixture,270.4105988740921,5.538288949758085,0.0366302568200778,true,3.806204998856723E-06,4.6000665926834137E-08,true
background-reference,12000,120,feedwater-inventory,REGION-1,SubcooledLiquid,47.52114057823661,0.12181746458040743,,true,SubcooledLiquid,47.517354271735144,0.11811413389951167,,true,0.030400654730843808,1.180744389607406E-05,true
background-reference,18000,180,suction,REGION-4-MIXTURE,SaturatedMixture,269.34476251006106,5.446657821393141,0.0009044047982072967,true,SaturatedMixture,269.3447110056877,5.446680777700812,0.000904378069141673,true,4.214751215071632E-06,9.493985362637218E-08,true
background-reference,18000,180,pressure,REGION-4-MIXTURE,SaturatedMixture,269.4799217283727,5.4582106824633945,0.0009015025208440037,true,SaturatedMixture,269.4799124598503,5.458214817836955,0.0009014976996105014,true,7.576427150764118E-07,1.70807432563582E-08,true
background-reference,18000,180,outlet,REGION-4-MIXTURE,SaturatedMixture,275.1843705475329,5.963117165910907,0.18990745708466342,true,SaturatedMixture,275.1846368908882,5.96317277968873,0.18990659273035512,true,9.32629298999053E-06,4.857316440451576E-07,true
background-reference,18000,180,drum,REGION-4-MIXTURE,SaturatedMixture,270.41057386994373,5.5382678699752335,0.036630469885910386,true,SaturatedMixture,270.4105988740921,5.538288949758085,0.036630256822384716,true,3.806204998856723E-06,4.6000665926834137E-08,true
background-reference,18000,180,feedwater-inventory,REGION-1,SubcooledLiquid,47.52114057808484,0.12181746458032389,,true,SubcooledLiquid,47.51735427114096,0.11811413348384309,,true,0.030400658142403718,1.1807445275724628E-05,true
background-reference,24000,240,suction,REGION-4-MIXTURE,SaturatedMixture,269.34476251006106,5.446657821393141,0.0009044047982072967,true,SaturatedMixture,269.3447110056877,5.446680777700812,0.000904378069141673,true,4.214751215071632E-06,9.493985362637218E-08,true
background-reference,24000,240,pressure,REGION-4-MIXTURE,SaturatedMixture,269.4799217283727,5.4582106824633945,0.0009015025208314689,true,SaturatedMixture,269.4799124598503,5.458214817836955,0.0009014976995979667,true,7.576427150764118E-07,1.70807432563582E-08,true
background-reference,24000,240,outlet,REGION-4-MIXTURE,SaturatedMixture,275.1843705892562,5.963117169729576,0.18990745707138953,true,SaturatedMixture,275.1846368908882,5.96317277968873,0.1899065925827554,true,9.325652602682693E-06,4.856555530333194E-07,true
background-reference,24000,240,drum,REGION-4-MIXTURE,SaturatedMixture,270.41057386994373,5.5382678699752335,0.03663046988806629,true,SaturatedMixture,270.4105988740921,5.538288949758085,0.03663025682454061,true,3.806204998856723E-06,4.6000665926834137E-08,true
background-reference,24000,240,feedwater-inventory,REGION-1,SubcooledLiquid,47.52114057735906,0.12181746457992443,,true,SubcooledLiquid,47.51735427027813,0.11811413347428704,,true,0.030400658217669903,1.180744570313463E-05,true
background-reference,30000,300,suction,REGION-4-MIXTURE,SaturatedMixture,269.34476251006106,5.446657821393141,0.0009044047982072967,true,SaturatedMixture,269.3447110056877,5.446680777700812,0.000904378069141673,true,4.214751215071632E-06,9.493985362637218E-08,true
background-reference,30000,300,pressure,REGION-4-MIXTURE,SaturatedMixture,269.4799217283727,5.4582106824633945,0.0009015025208659237,true,SaturatedMixture,269.4799124598503,5.458214817836955,0.0009014976996324215,true,7.576427150764118E-07,1.70807432563582E-08,true
background-reference,30000,300,outlet,REGION-4-MIXTURE,SaturatedMixture,275.18437056839457,5.963117167820244,0.18990745678322932,true,SaturatedMixture,275.1846368908882,5.96317277968873,0.18990659236175916,true,9.325972795815196E-06,4.856935985392371E-07,true
background-reference,30000,300,drum,REGION-4-MIXTURE,SaturatedMixture,270.41057386994373,5.5382678699752335,0.0366304698911451,true,SaturatedMixture,270.4105988740921,5.538288949758085,0.0366302568276194,true,3.806204998856723E-06,4.6000665926834137E-08,true
background-reference,30000,300,feedwater-inventory,REGION-1,SubcooledLiquid,47.521140576642495,0.12181746457953008,,true,SubcooledLiquid,47.51735426922403,0.11811413326275827,,true,0.030400659950971486,1.1807446755754087E-05,true
background-reference,36000,360,suction,REGION-4-MIXTURE,SaturatedMixture,269.34476251006106,5.446657821393141,0.0009044047982072967,true,SaturatedMixture,269.3447110056877,5.446680777700812,0.000904378069141673,true,4.214751215071632E-06,9.493985362637218E-08,true
background-reference,36000,360,pressure,REGION-4-MIXTURE,SaturatedMixture,269.4799217283727,5.4582106824633945,0.0009015025209116863,true,SaturatedMixture,269.4799124598503,5.458214817836955,0.0009014976996781839,true,7.576427150764118E-07,1.70807432563582E-08,true
background-reference,36000,360,outlet,REGION-4-MIXTURE,SaturatedMixture,275.18437056839457,5.963117167820244,0.18990745654153707,true,SaturatedMixture,275.1846368908882,5.96317277968873,0.1899065921200679,true,9.325972795815196E-06,4.856935985392371E-07,true
background-reference,36000,360,drum,REGION-4-MIXTURE,SaturatedMixture,270.41057386994373,5.5382678699752335,0.036630469895552936,true,SaturatedMixture,270.4105988740921,5.538288949758085,0.03663025683202721,true,3.806204998856723E-06,4.6000665926834137E-08,true
background-reference,36000,360,feedwater-inventory,REGION-1,SubcooledLiquid,47.521140575730726,0.12181746457902826,,true,SubcooledLiquid,47.51735426794221,0.1181141330521143,,true,0.030400661676154406,1.1807447909775686E-05,true
background-reference,42000,420,suction,REGION-4-MIXTURE,SaturatedMixture,269.34476251006106,5.446657821393141,0.0009044047982072967,true,SaturatedMixture,269.3447110056877,5.446680777700812,0.000904378069141673,true,4.214751215071632E-06,9.493985362637218E-08,true
background-reference,42000,420,pressure,REGION-4-MIXTURE,SaturatedMixture,269.4799217283727,5.4582106824633945,0.0009015025209459658,true,SaturatedMixture,269.4799124598503,5.458214817836955,0.0009014976997124634,true,7.576427150764118E-07,1.70807432563582E-08,true
background-reference,42000,420,outlet,REGION-4-MIXTURE,SaturatedMixture,275.18437056839457,5.963117167820244,0.18990745628161176,true,SaturatedMixture,275.1846368908882,5.96317277968873,0.1899065918601437,true,9.325972795815196E-06,4.856935985392371E-07,true
background-reference,42000,420,drum,REGION-4-MIXTURE,SaturatedMixture,270.41057386994373,5.5382678699752335,0.03663046990010211,true,SaturatedMixture,270.4105988740921,5.538288949758085,0.036630256836576364,true,3.806204998856723E-06,4.6000665926834137E-08,true
