step,electrical_mwe,primary_pump_kg_s,drum_level,governor_percent,trip_active,breaker_closed,rollbacks,finite,in_envelope
1,4.999998525473999,99.96959508257872,0.49994225537365,29.28222490151453,false,true,0,true,true
2,4.999995676944587,99.9598928467923,0.4999440730402398,29.28315319278752,false,true,0,true,true
3,4.999991413352529,99.95231631727647,0.4999455903109193,29.284113154074994,false,true,0,true,true
4,4.999985730053088,99.94615311562916,0.4999468175765731,29.285104140105837,false,true,0,true,true
5,4.999978622417728,99.94091392611004,0.4999477653175952,29.286125816803363,false,true,0,true,true
6,4.999970086438208,99.93626254152204,0.49994844392179105,29.287177454513824,false,true,0,true,true
7,4.999960118421573,99.9319692396357,0.4999488635751468,29.288258517828424,false,true,0,true,true
8,4.999948715115325,99.92787708517842,0.4999490341229772,29.289368383717072,false,true,0,true,true
9,4.999935873439997,99.92387914982268,0.49994896504132014,29.29050660253211,false,true,0,true,true
10,4.9999215906285945,99.91990259803342,0.49994866555211087,29.291672640461908,false,true,0,true,true
11,4.999905864516289,99.91589882805707,0.4999481444641364,29.292865762613648,false,true,0,true,true
12,4.999888692939342,99.91183555399276,0.4999474102334679,29.294085630681305,false,true,0,true,true
13,4.999870074338672,99.90769219342306,0.499946470871779,29.295331511441223,false,true,0,true,true
14,4.9998500074324275,99.90345446137601,0.49994533422019377,29.296602879347354,false,true,0,true,true
15,4.999828491255703,99.89911446203611,0.49994400767269875,29.297899184975936,false,true,0,true,false
16,4.99980552528413,99.89466733944333,0.4999424983742853,29.29921979141526,false,true,0,true,false
17,4.999781109109957,99.8901111812813,0.4999408131317867,29.300564273645502,false,true,0,true,false
18,4.999755242656666,99.88544548379025,0.499938958527858,29.301932073315584,false,true,0,true,false
19,4.999727926392638,99.88067046979856,0.49993694085580154,29.303322481397373,false,true,0,true,false
20,4.999699160783178,99.87578756477447,0.49993476615504334,29.304735149240717,false,true,0,true,false
21,4.99966894672902,99.87079848650279,0.49993244019928273,29.306169446860284,false,true,0,true,false
22,4.999637285559975,99.86570533960517,0.49992996858328576,29.307624742113557,false,true,0,true,false
23,4.999604178861002,99.86051014577303,0.49992735667706184,29.30910051423093,false,true,0,true,false
24,4.999569628521429,99.85521577698077,0.4999246096355403,29.3105962067575,false,true,0,true,false
25,4.9995336365139265,99.84982416275172,0.4999217323541975,29.312111415853824,false,true,0,true,false
26,4.99949620539881,99.84433764065466,0.4999187296887767,29.313645403502406,false,true,0,true,false
27,4.999457337849172,99.83875919592373,0.49991560614237346,29.315197741048983,false,true,0,true,false
28,4.999417036950775,99.83309007493234,0.4999123661636863,29.316767803950118,false,true,0,true,false
29,4.999375306023519,99.82733375409732,0.4999090140228599,29.318355079551903,false,true,0,true,false
30,4.999332148514432,99.82149158789495,0.49990555381077995,29.319959133577445,false,true,0,true,false
31,4.9992875684210425,99.81556609648047,0.4999019894766243,29.321579247188062,false,true,0,true,false
32,4.999241569689479,99.80955975158425,0.49989832480580054,29.323215100101862,false,true,0,true,false
33,4.99919415681387,99.80347400351445,0.4998945634761537,29.324865978290713,false,true,0,true,false
34,4.999145334358582,99.79731127233443,0.4998907090092081,29.32653147819829,false,true,0,true,false
35,4.9990951071726775,99.79107319926379,0.49988676485449846,29.328211064081724,false,true,0,true,false
36,4.999043480603355,99.78476198413472,0.49988273423617385,29.329904050617895,false,true,0,true,false
37,4.998990459947295,99.77837959026085,0.4998786203648945,29.331610114443986,false,true,0,true,false
38,4.99893605088109,99.77192767555918,0.49987442628662426,29.333328651817535,false,true,0,true,false
