checkpoint,seconds,gross_mwe,shaft_mw,rotor_rpm,admission_kg_s,trip,breaker_closed
1,10,3.8747397307762608,4.9664872546569487,2978.6055039481612,13.613039186101584,False,True
2,20,4.5367303464842825,5.366580983915509,3000.3960141997018,14.114936484110796,False,True
3,30,4.5802250233917112,5.1735558676830147,2999.5538738294526,13.267080967139574,False,True
4,40,4.5059220347918822,5.0977034527228575,2999.6216364620677,12.988437778026922,False,True
5,50,4.5226540658468171,5.1208055060829301,3000.389045035542,12.83758165841979,False,True
6,60,4.6149367436954929,5.2087234076995177,3000.4015162092605,12.758064675525718,False,True
