step,presentation_fingerprint,trigger,committed,rollback,unsafe_commit,fallback_commit_violation,historical_predictor_fluid_nodes_reused,historical_predictor_fluid_nodes_total,shadow_iterations,engine_us,engine_alloc_bytes,orchestrator_us,orchestrator_alloc_bytes,explicit_preparation_us,explicit_preparation_alloc_bytes,sidecar_us,sidecar_alloc_bytes,predictor_us,predictor_alloc_bytes,corrector_us,corrector_alloc_bytes,disagreement_scan_us,disagreement_scan_alloc_bytes,authority_us,authority_alloc_bytes,commit_accounting_us,commit_accounting_alloc_bytes,h9_total_us,h9_total_alloc_bytes,h9_layout_us,h9_layout_alloc_bytes,h9_initial_residual_us,h9_initial_residual_alloc_bytes,h9_jacobian_build_us,h9_jacobian_build_alloc_bytes,h9_newton_line_search_us,h9_newton_line_search_alloc_bytes,h9_residual_fallback_us,h9_residual_fallback_alloc_bytes,h9_other_us,h9_other_alloc_bytes,probe_applied_fluid_nodes_reused,probe_applied_fluid_nodes_total,probe_mapped_fluid_nodes_reused,probe_mapped_fluid_nodes_total,hydraulic_evaluations,probe_evaluations,max_jacobian_dimension,jacobian_build_attempts,jacobian_direction_acceptances,jacobian_rejected,residual_fallback_attempts,residual_fallback_acceptances,backtracking_trials
14,cbf699fec215584475c61f1a50f13bcad21816a35301ca04734b4b775eb89ca4,False,False,False,False,False,11,12,0,7641.6000000000004,322752,7149.6999999999998,53944,7028.1000000000004,21872,101,19264,99.700000000000003,19088,0,0,0,0,0.29999999999999999,40,19.100000000000001,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,a4610d79b4969549334be1b598b0b98cfbd68563b2816ff2e12b5c25803e940e,False,False,False,False,False,11,12,0,7634.1000000000004,322760,7144.3000000000002,53944,7029.5,21872,94.900000000000006,19264,93.599999999999994,19088,0,0,0,0,0.20000000000000001,40,18.399999999999999,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,9da8f40ee761b61f4edb2ffc025f60f4e4437dc664b44fb7703ab75e51f9298b,False,False,False,False,False,10,12,0,7650.6999999999998,322880,7166.1999999999998,54072,7002.5,21872,144.19999999999999,19392,143,19216,0,0,0,0,0.20000000000000001,40,18.100000000000001,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,72781524603ffc44ab1af1024fe1e44904a88c77b4b5b5426d76b5856aa0dde6,False,False,False,False,False,11,12,0,7613.8999999999996,322760,7122.3999999999996,53944,7007.8999999999996,21872,94.900000000000006,19264,93.700000000000003,19088,0,0,0,0,0.29999999999999999,40,18.100000000000001,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,b3178c0f2be0d698033cee732546d77d7877135f13238c2c6eca9b9369c81882,False,False,False,False,False,11,12,0,7722.1999999999998,322752,7212.6999999999998,53944,7091.1000000000004,21872,99.599999999999994,19264,98.5,19088,0,0,0,0,0.20000000000000001,40,20.399999999999999,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,efd7c5486457f6b126e99dacd6d9c8f6cf22b944463996440379798cfd759b94,False,False,False,False,False,10,12,0,7683.1999999999998,322888,7179.8999999999996,54072,7018.3000000000002,21872,141.59999999999999,19392,140.30000000000001,19216,0,0,0,0,0.20000000000000001,40,18.600000000000001,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,6f50492f8419b412a6b521d32f8c15ec6ad6f36db093ccee58a2949731cf306f,False,False,False,False,False,11,12,0,10790.4,324488,7172.8000000000002,54432,7049.6999999999998,22360,101.5,19264,100.09999999999999,19088,0,0,0,0,0.29999999999999999,40,20.100000000000001,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,864c0b06b45ba437cd48e60e10cde177e78b1105e77b899adb4a14f729f1f81b,False,False,False,False,False,10,12,0,7705.8000000000002,323792,7196,54072,7028.5,21872,144.09999999999999,19392,142.90000000000001,19216,0,0,0,0,0.20000000000000001,40,22,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,4cfc1aeffd267a1ddab4d6d7528cefd86b397abc5ec9426b8b855f54b5886d93,False,False,False,False,False,11,12,0,7641.3000000000002,322752,7146.6999999999998,53944,7031.6999999999998,21872,94.900000000000006,19264,93.599999999999994,19088,0,0,0,0,0.29999999999999999,40,18.699999999999999,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,b5aeb386a4fca0dbb4a78d6bc6f8960612062af8e0dece0bdcc6990fe3102827,False,False,False,False,False,10,12,0,7678.8999999999996,322888,7184.1000000000004,54072,7021.8000000000002,21872,142.40000000000001,19392,141.19999999999999,19216,0,0,0,0,0.20000000000000001,40,18.5,12504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
