candidate,main_steam_resistance_pa_s2_kg2,stop_out_c,kp,ki_per_s,kd_s,corrected_commit,initial_loaded_mwe,trip_steps,breaker_open_steps,request_violation_steps,shaft_violation_steps,reverse_admission_steps,stable_gross_violations,stable_rotor_violations,stable_shaft_violations,stable_reverse_admission_violations,min_gross_mwe,min_shaft_mw,min_rotor_rpm,max_rotor_rpm,final_gross_mwe,final_shaft_mw,final_rotor_rpm,final_main_line_flow_kg_s,final_main_line_dp_mpa,final_admission_kg_s,final_inlet_mpa,qualifies,note
legacy-v2,1000,277,0.5,0.02,0,False,5.1379515792732944,0,0,0,202,177,4,13,1,0,3.1979845625230241,0,2954.1188855182868,3003.9852002097027,3.92329811113503,4.9038639236059716,2954.2471919835234,11.883509550204463,0.14121779922980071,22.243191304733138,4.8751018497622987,False,frozen exact-v2 contract
mainline-850-only,850,277,0.5,0.02,0,False,5.1379634383585833,0,0,0,139,134,1,9,2,2,3.9406606731154334,0,2974.1289113014104,3003.9132474950961,4.2508385818162511,5.7324583607634745,2991.3961623903442,11.88061748238543,0.11997671099834796,17.746977510132581,3.889039713207755,False,D.3.2 H3 main-steam capacity only
stopgrade-276755-only,1000,276.755,0.5,0.02,0,False,5.1487302821361078,0,0,0,92,84,0,6,1,1,3.864207700645649,0,2972.5581687533008,3004.128574296501,4.5408510384509526,5.7396733540407361,3000.58471695861,11.553620991163713,0.13348615800745878,16.508769444007026,3.8863559637556886,False,D.3.2 H2 stop-out pressure grade only
loaded-capacity-explicit,850,276.755,0.5,0.02,0,False,5.1487302823741503,0,0,0,67,59,0,5,0,0,3.8635002686893412,0,2972.4030328421441,3004.1285743609815,4.596617453990345,5.5745162749100245,2999.4627728548912,11.535321261656657,0.11310409111818392,15.538388070031179,3.8850714070724806,False,validated loaded steam-path capacity with legacy explicit hydraulics
corrected-only,1000,277,0.5,0.02,0,True,5.1379514776456547,0,0,0,0,0,0,0,0,0,3.8743615482367035,4.8396556399428725,2972.9111782597324,3003.8264567273641,4.6149367436954929,5.2087234076995177,3000.4015162092605,11.05478326928792,0.12220823313092813,12.758064675525718,3.9183234501071436,True,H.30 corrected-commit only with frozen synchronization capacity
loaded-capacity-corrected,850,276.755,0.5,0.02,0,True,5.1487302811091507,0,0,0,0,0,0,2,0,0,3.8393263791719541,4.7949615726128778,2972.0269387088356,3004.1285742040923,4.6646034330622559,5.2597247642906213,3000.2966385778923,11.212893925468478,0.10686964165623672,12.869719916675045,3.9044085793150183,False,loaded steam-path capacity plus corrected-commit
loaded-capacity-pid,850,276.755,1,0.02,0.20000000000000001,False,5.1487302823741503,0,0,0,93,85,0,6,1,1,4.1770588385593221,0,2977.4026562155591,3004.1752504612332,4.8739630611939564,5.6029440181845978,2983.1805546103001,11.620087946594575,0.11477247730360367,16.18428982152226,3.8862558723863252,False,loaded steam-path capacity plus desktop PID under explicit hydraulics
loaded-contract-v3,850,276.755,1,0.02,0.20000000000000001,True,5.1487302811091507,0,0,0,0,0,0,2,0,0,4.1904332983364743,4.8917134065831966,2977.28180020029,3004.1752502995614,4.5851580943310939,5.178634507838721,3000.3752423793358,11.179407776782394,0.10623228450364526,12.616597058305231,3.9066191630015972,False,loaded steam-path capacity plus corrected-commit plus desktop PID
