probe_id,logical_step,event_kind,target_load_mwe,target_thermal_mw,requested_mwe,output_mwe,thermal_mw,shaft_mw,frequency_hz,frequency_slip_hz,net_acceleration_mw,dispatch_adequacy_mw,flow_kg_s,inlet_mpa,control_valve_percent
"exact-v9-stable-5mwe-reference",0,"noise-control-start",,,,,,,,,,,,,
"exact-v9-stable-5mwe-reference",12000,"noise-control-complete",,,5,4.99999999199302,32.971176506557214,5.6020408076409902,49.99999999999924,-7.602807272633072E-13,-5.1517612398299661E-10,-8.6855642678074219E-09,13.0280018782352,3.8162526411726834,29.281329668224647
"exact-v9-asymptotic-5p5mwe",0,"prepare-start",5.5,36.268294157212935,,,,,,,,,,,
"exact-v9-asymptotic-5p5mwe",1330,"load-command",5.5,36.268294157212935,5,5.0000003459249038,36.019229500374294,5.6020412117406044,50.000000045903811,4.5903810530489864E-08,4.1514556237132183E-08,3.9449915245626244E-07,13.028002817974006,3.8162530468824767,29.281326614171931
"exact-v9-asymptotic-5p5mwe",91329,"primary-horizon",5.5,36.268294157212935,5.5,5.3391392209000577,36.245720241289796,5.9481015292826882,50.000014623538227,1.4623538227453992E-05,-9.0051885948128074E-09,-0.16414366114798717,13.832794254152098,4.2624386374556478,35.419346917441281
"exact-v9-asymptotic-6mwe",0,"prepare-start",6,39.565411807868657,,,,,,,,,,,
"exact-v9-asymptotic-6mwe",2785,"load-command",6,39.565411807868657,5,5.0000366223122699,39.315924204462142,5.6020789396445991,50.000002213632783,2.2136327828548019E-06,7.0939292151628308E-07,3.8079099319077159E-05,13.028090556844816,3.816291981281648,29.281180179615983
"exact-v9-asymptotic-6mwe",92784,"primary-horizon",6,39.565411807868657,6,5.8710522993166503,39.592236790608361,6.4908709368205155,50.000065423004514,6.5423004514286731E-05,-6.4825612433594415E-08,-0.13157935123719344,15.09504869032984,4.9942550339081739,59.478314652949408
"exact-v9-asymptotic-6mwe",92784,"bounded-continuation-start",6,39.565411807868657,6,5.8710522993166503,39.592236790608361,6.4908709368205155,50.000065423004514,6.5423004514286731E-05,-6.4825612433594415E-08,-0.13157935123719344,15.09504869032984,4.9942550339081739,59.478314652949408
"exact-v9-asymptotic-6mwe",182784,"continuation-horizon",6,39.565411807868657,6,5.9321917175522767,39.555401682512638,6.5532570735222366,50.000010283223737,1.0283223737417302E-05,1.3213563465619416E-08,-0.069192111733091366,15.240132729111279,5.0915152263670311,59.457235032367215
"exact-v4-asymptotic-6mwe",0,"prepare-start",6,36,,,,,,,,,,,
"exact-v4-asymptotic-6mwe",2774,"load-command",6,36,5,4.6323130872280309,35.750247698891094,5.538055572812981,49.980472867535347,-0.019527132464652652,0.31161963056937353,-0.063571096748961331,12.884434414815932,3.8356966263059724,30.305550272338294
"exact-v4-asymptotic-6mwe",92773,"primary-horizon",6,36,6,5.6982537710401981,36.027438811658833,5.863296074498578,49.633571868457331,-0.36642813154266918,-0.44398061933712846,-0.7518849346022316,13.735925630914874,5.0367681760509457,100
