step,presentation_fingerprint,trigger_observed,corrected_committed,rollback_required,unsafe_commit,fallback_commit_violation,shadow_iterations,engine_us,engine_alloc_bytes,predictor_us,predictor_alloc_bytes,corrector_us,corrector_alloc_bytes,h9_total_us,h9_total_alloc_bytes,h9_jacobian_us,h9_jacobian_alloc_bytes,h9_line_search_us,h9_line_search_alloc_bytes,probe_applied_reused,probe_applied_total,probe_mapped_reused,probe_mapped_total,probe_hydraulic_components_reused,probe_hydraulic_components_total,hydraulic_evaluations,probe_evaluations,max_jacobian_dimension
27,bbbf13a79e94ff268cbc4a352615c5b1b87c5d6397aeee5ab5f6131b1703f929,False,False,False,False,False,0,7659.5,323096,144.09999999999999,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,043102df8063304e21770cad7717bc1120478bbc5d94c560b3a14209cef1d58e,False,False,False,False,False,0,7736.3000000000002,322960,93.5,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,a4fe831464db8aa80a6e357be93806499f3dcf0b7ff08af1c75f0d0481d80fee,False,False,False,False,False,0,7662.6000000000004,322960,103.59999999999999,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,7e4dc3f5e8905c0d03407f85c8d0b6c012cb58a909147b6710f28f21372da542,False,False,False,False,False,0,8012.6000000000004,323080,157.69999999999999,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,513fe8290b8e42cddfc325c2ff6420dda168a1833087c6222069a869e7101645,False,False,False,False,False,0,7865,323088,146.90000000000001,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,e097563e98633479ad524ea48392b6a5af65a5380c5c948ff0a3082dae09478d,False,False,False,False,False,0,7722.3999999999996,323112,143.09999999999999,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,3bdba30c3dfc19b64f1bd8f3f1c79c072fd5a6ec2206048ec7ce36b53ef6120b,False,False,False,False,False,0,7608.6000000000004,323120,142.19999999999999,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,9472f6fd40ab2e74265811db5fc1d248488f999fc838d4ac9c0b8fbee6763f85,False,False,False,False,False,0,7553.6000000000004,323112,140.09999999999999,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,ab19a70746ff1b5791a910cee904e08b572a35fd0ed6badbb0e6f38b5137c591,False,False,False,False,False,0,7700.5,323120,156,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,d929a8e5f039ea7c48b87b9da1a754b73d6f42287400b81cafde2b80348beec6,False,False,False,False,False,0,7673.1999999999998,323112,141.69999999999999,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,641b2187e0f2353c8583f50e82737b89c8d774850e136ee8e8ed80e9c1828590,False,False,False,False,False,0,7592.8000000000002,322992,97.099999999999994,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0aa46c257c961797e370e0b1e137b4265902a101e3c4ddcf3bf3f6cf1e6344fa,False,False,False,False,False,0,7706.5,322984,97.5,19312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,25b496b0a1cf7f2c59ef7ad843e7f5aca1c33daa98c88943b0071e1beaea2ff8,False,False,False,False,False,0,7869.8000000000002,323120,158.90000000000001,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,5235fad5146515a106731715b1ba363405b37e4aebe44c026ab58c8223531159,False,False,False,False,False,0,7822.6000000000004,323112,138.69999999999999,19440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
