probe_id,exact_version,target_load_mwe,load_increment_mwe,load_command_step,hold_executed_steps,primary_classification,final_classification,extension_invoked,completion_reason,first_trip_step,first_latched_function_id,first_latched_function_step,tail_rows,tail_mean_frequency_hz,tail_mean_output_mwe,tail_output_error_mwe,tail_mean_shaft_mw,tail_mean_dispatch_adequacy_mw,tail_mean_net_acceleration_mw,tail_mean_flow_kg_s,tail_mean_inlet_mpa,tail_output_slope_mw_s,tail_shaft_slope_mw_s,tail_flow_slope_kg_s2,tail_inlet_pressure_slope_mpa_s,all_finite,exception_type,exception_message
"exact-v9-asymptotic-5p5mwe",9,5.5,0.5,1330,279800,"INCONCLUSIVE","CONVERGED",True,"converged-during-p1a-extension",,"",,6000,50.000000947587395,5.402272623245743,0.097727376754257023,6.0125230450466818,-0.099721871868729273,-5.8854178078104891E-08,13.982611732708371,4.3628649798505421,2.7703573125206059E-06,2.8266389276210192E-06,6.5735786612692028E-06,2.1440387144641559E-05,True,"",""
"exact-v9-asymptotic-6mwe",9,6,1,2785,360000,"INCONCLUSIVE","INCONCLUSIVE",True,"p1a-hard-horizon-inconclusive",,"",,6000,50.000007202712681,5.9997726846431307,0.00022731535686926208,6.6222169829201221,-0.00023214074014466269,-1.8629435592276699E-07,15.400504611587463,5.2170390846309349,2.1921214800330198E-05,2.2367404993900925E-05,5.2017220344894579E-05,4.9348780912496921E-05,True,"",""
