hold_seconds,expected_step,actual_step,matches,output_mwe,thermal_mw,shaft_mw,frequency_hz,dispatch_mw,flow_kg_s,inlet_mpa
900,92784,92784,True,5.8710522993166503,39.592236790608361,6.4908709368205155,50.000065423004514,-0.13157935123719344,15.09504869032984,4.9942550339081739
1800,182784,182784,True,5.9321917175522776,39.555401682512638,6.5532570735222366,50.000010283223737,-0.069192111733091366,15.240132729111279,5.0915152263670311
3600,362784,362784,True,6.000344232909117,39.556080235491507,6.6228001720990477,50.000004483204116,0.00035110283132855358,15.401860865467748,5.2184166816878204
