profile,interval,selection_reasons,h4_primary_converged,h19_converged,line_search_exhausted,pressure_residual,flow_residual_kg_s,normalized_merit,hydraulic_evaluations,branch_decisions,branch_overrides,previous_phase_holds,hysteresis_releases
combined-load-cooling,1813,episode-4-last,False,True,False,6.9663699722756618E-09,1.5709157943355478E-05,0.0015709157943355478,35,272,136,272,0
combined-load-cooling,2183,episode-5-first,True,True,False,5.9712855635426823E-09,5.7089736504423172E-05,0.0057089736504423172,35,272,68,272,0
combined-load-cooling,2208,profile-temporal-stratification,True,True,False,5.1975235501520167E-09,2.7965890085468459E-05,0.0027965890085468459,35,272,136,272,0
combined-load-cooling,2274,profile-temporal-stratification,True,True,False,4.4270977861016761E-09,0.00059249896226987175,0.059249896226987175,35,272,136,272,0
combined-load-cooling,2346,profile-temporal-stratification,True,True,False,8.3582929622208832E-09,9.8937153079070583E-06,0.00098937153079070583,35,272,68,272,0
combined-load-cooling,2423,profile-temporal-stratification,True,True,False,5.7913492319977526E-10,3.9690225026589587E-05,0.0039690225026589587,35,272,68,272,0
combined-load-cooling,2494,profile-temporal-stratification,True,True,False,6.435878597721942E-09,1.9935814381977224E-05,0.0019935814381977224,35,272,68,272,0
combined-load-cooling,2555,profile-temporal-stratification,True,True,False,5.015875101343539E-09,5.4563418663278185E-06,0.00054563418663278185,35,272,68,272,0
combined-load-cooling,2610,profile-temporal-stratification,True,True,False,4.0174772720620811E-09,2.1164127617545603E-05,0.0021164127617545603,35,272,70,272,0
combined-load-cooling,2670,profile-temporal-stratification,True,True,False,1.1763369226188396E-09,2.9070287295596131E-05,0.0029070287295596131,35,272,68,272,0
combined-load-cooling,2722,profile-temporal-stratification,True,True,False,6.0162261818217002E-09,1.1504500565084896E-05,0.0011504500565084896,35,272,68,272,0
combined-load-cooling,2755,episode-5-quartile-1,True,True,False,8.3016884615279724E-09,4.8578093454487714E-06,0.00083016884615279719,35,272,68,272,0
combined-load-cooling,2766,profile-temporal-stratification,True,True,False,3.3524359290904598E-09,6.5486281939364233E-06,0.00065486281939364233,35,272,68,272,0
combined-load-cooling,2818,profile-temporal-stratification,True,True,False,1.3815675943521835E-08,2.4691210830596333E-05,0.0024691210830596333,35,272,68,272,0
combined-load-cooling,2872,profile-temporal-stratification,True,True,False,6.4766370633067776E-09,1.5280997645028549E-06,0.00064766370633067769,35,272,68,272,0
combined-load-cooling,2924,profile-temporal-stratification,True,True,False,6.0984691311299192E-09,5.6417049432155864E-06,0.00060984691311299184,35,272,68,272,0
combined-load-cooling,2974,profile-temporal-stratification,True,True,False,1.0150873474018646E-08,3.0220530042868177E-05,0.0030220530042868177,35,272,204,272,0
combined-load-cooling,3015,profile-temporal-stratification,True,True,False,6.0911572477551735E-09,8.7207925085763804E-06,0.00087207925085763804,35,272,68,272,0
combined-load-cooling,3058,profile-temporal-stratification,True,True,False,5.8149943190723399E-09,6.4001603696794973E-06,0.00064001603696794973,35,272,136,272,0
combined-load-cooling,3061,episode-5-hardest,False,True,False,3.9757764181253362E-07,0.000249129069049836,0.039757764181253361,35,272,204,272,0
combined-load-cooling,3081,profile-temporal-stratification,True,True,False,1.655683700583227E-08,6.2142858016756009E-05,0.0062142858016756009,35,272,169,272,0
combined-load-cooling,3105,profile-temporal-stratification,True,True,False,1.2121357082089348E-06,0.0013040561325312616,0.13040561325312616,35,272,204,272,0
combined-load-cooling,3126,episode-5-quartile-2,True,True,False,1.1163832102580884E-07,0.00046266543902007129,0.046266543902007129,35,272,204,272,0
combined-load-cooling,3129,profile-temporal-stratification,True,True,False,2.3437711260975579E-06,0.0016802957236827787,0.23437711260975577,35,272,272,272,0
combined-load-cooling,3153,profile-temporal-stratification,True,True,False,2.6938131661696786E-08,0.0007000143763282729,0.07000143763282729,35,272,204,272,0
combined-load-cooling,3179,profile-temporal-stratification,True,True,False,1.4090520334904729E-06,0.0007845667704438064,0.14090520334904727,35,272,68,272,0
combined-load-cooling,3203,profile-temporal-stratification,False,True,False,1.233720818032437E-06,0.00072401737074345718,0.12337208180324369,35,272,204,272,0
combined-load-cooling,3223,profile-temporal-stratification,True,True,False,1.5314144724189612E-08,0.00018905786334499908,0.018905786334499908,35,272,204,272,0
combined-load-cooling,3247,profile-temporal-stratification,True,True,False,1.2447266628088352E-08,6.4389269357256751E-05,0.0064389269357256751,35,272,204,272,0
combined-load-cooling,3269,profile-temporal-stratification,True,True,False,1.9040100133535921E-08,6.6857604513970159E-05,0.0066857604513970159,35,272,136,272,0
combined-load-cooling,3290,profile-temporal-stratification,True,True,False,1.5883123035449368E-08,6.829999043089785E-05,0.006829999043089785,35,272,136,272,0
combined-load-cooling,3316,profile-temporal-stratification,False,True,False,1.1295959318154197E-08,0.00012256850018221854,0.012256850018221854,35,272,204,272,0
combined-load-cooling,3336,episode-5-quartile-3,False,True,False,2.6383069937786775E-09,0.00020382810144425889,0.020382810144425889,35,272,136,272,0
combined-load-cooling,3341,profile-temporal-stratification,True,True,False,9.2366876373885487E-09,3.2134901463365395E-05,0.0032134901463365395,35,272,68,272,0
combined-load-cooling,3362,profile-temporal-stratification,True,True,False,2.7094051188800453E-09,4.7055059515521691E-05,0.0047055059515521691,35,272,136,272,0
combined-load-cooling,3387,profile-temporal-stratification,True,True,False,1.7236045158955607E-08,0.00010703852241800149,0.010703852241800149,35,272,68,272,0
combined-load-cooling,3409,profile-temporal-stratification,False,True,False,4.2716557227157824E-08,0.00017992195412208645,0.017992195412208645,35,272,136,272,0
combined-load-cooling,3434,profile-temporal-stratification,True,True,False,5.1359706881744789E-09,2.2658891144722304E-05,0.0022658891144722304,35,272,136,272,0
combined-load-cooling,3454,profile-temporal-stratification,False,True,False,1.2355079015761431E-08,7.7237401708174502E-05,0.0077237401708174502,35,272,136,272,0
combined-load-cooling,3478,profile-temporal-stratification,False,True,False,1.7115840861210176E-09,0.00016893268499673653,0.016893268499673653,35,272,136,272,0
combined-load-cooling,3499,profile-temporal-stratification,True,True,False,9.1304177827496104E-09,0.00011426859250907029,0.011426859250907029,35,272,204,272,0
combined-load-cooling,3500,action-3501-before,False,True,False,1.9863202569851605E-08,0.00012645629239793621,0.012645629239793621,35,272,136,272,0
combined-load-cooling,3504,action-3501-after,True,True,False,3.6297749470088216E-10,5.2807004137012115E-05,0.0052807004137012115,35,272,68,272,0
combined-load-cooling,3525,profile-temporal-stratification,True,True,False,4.1332976344526443E-09,3.1264383227203041E-05,0.0031264383227203041,35,272,68,272,0
combined-load-cooling,3622,episode-5-last|profile-temporal-stratification,True,True,False,1.088896182384578E-09,0.00018011143353291459,0.018011143353291459,35,272,68,272,0
combined-load-cooling,3650,episode-6-first,True,True,False,3.554987967973179E-09,4.6222136518281332E-06,0.00046222136518281332,35,272,68,272,0
combined-load-cooling,3651,episode-6-hardest|episode-6-last,True,True,False,1.752357163625942E-08,0.00014756586077702138,0.014756586077702138,35,272,68,272,0
combined-load-cooling,3683,episode-7-first,True,True,False,1.7194360810982861E-09,2.9376746883968963E-06,0.00029376746883968963,35,272,68,272,0
combined-load-cooling,3684,episode-7-hardest|episode-7-last,True,True,False,6.5012586912184425E-09,0.00013100330638415869,0.013100330638415869,35,272,68,272,0
combined-load-cooling,3722,episode-8-first,True,True,False,4.9086222138580914E-10,1.6762466792386022E-06,0.00016762466792386022,35,272,68,272,0
combined-load-cooling,3723,episode-8-hardest|episode-8-last,True,True,False,8.9344651777004947E-09,7.0217564189789528E-06,0.00089344651777004938,35,272,68,272,0
combined-load-cooling,3769,episode-9-first,True,True,False,1.1716751338671459E-09,9.2584952149366018E-07,0.00011716751338671458,35,272,68,272,0
combined-load-cooling,3770,episode-9-hardest|episode-9-last,True,True,False,9.5926682605320056E-09,9.2743031551378863E-05,0.0092743031551378863,35,272,68,272,0
combined-load-cooling,3835,episode-10-first,True,True,False,5.6624593059691323E-10,8.3445218201916305E-07,8.3445218201916305E-05,35,272,68,272,0
combined-load-cooling,3836,action-4001-before|episode-10-hardest|episode-10-last,True,True,False,7.187221204426123E-09,0.00010045707737305065,0.010045707737305065,35,272,68,272,0
combined-load-cooling,4262,action-4001-after|episode-11-first,True,True,False,1.6988347239441965E-09,1.1504145192020587E-06,0.00016988347239441963,35,272,68,272,0
combined-load-cooling,4267,episode-11-quartile-1,True,True,False,1.3537122804074997E-09,7.105866192880228E-05,0.007105866192880228,35,272,68,272,0
combined-load-cooling,4270,episode-11-hardest|episode-11-quartile-2,False,True,False,2.0168669401303015E-09,3.4843403753370694E-05,0.0034843403753370694,35,272,68,272,0
combined-load-cooling,4271,episode-11-quartile-3|profile-temporal-stratification,True,True,False,6.4097636180853412E-09,2.6876301493672372E-05,0.0026876301493672372,35,272,136,272,0
combined-load-cooling,4273,episode-11-last,False,True,False,1.2915240290494976E-09,0.00021195299230036824,0.021195299230036824,35,272,68,272,0
combined-load-cooling,5597,episode-12-first,True,True,False,5.3973159661429644E-06,0.0066384298874027081,0.66384298874027081,2,8,2,8,0
combined-load-cooling,5598,episode-12-hardest|episode-12-last,False,True,False,3.3097118100325234E-10,7.6252234038065581E-07,7.6252234038065581E-05,35,272,68,272,0
combined-load-cooling,5655,episode-13-first,True,True,False,4.5540094011901407E-06,0.0066516669492671099,0.66516669492671099,2,8,2,8,0
combined-load-cooling,5656,episode-13-hardest|episode-13-last,False,True,False,2.9253163630473976E-10,1.2438810799153543E-06,0.00012438810799153543,35,272,68,272,0
combined-load-cooling,5714,episode-14-first,True,True,False,3.732375372270279E-06,0.0066547564904340106,0.66547564904340106,2,8,2,8,0
combined-load-cooling,5715,episode-14-hardest|episode-14-last,False,True,False,4.1943830860181751E-09,4.5341867149772952E-07,0.0004194383086018175,35,272,68,272,0
combined-load-cooling,5775,episode-15-first,True,True,False,2.9417340647649767E-06,0.0066479772812044757,0.66479772812044757,2,8,2,8,0
combined-load-cooling,5776,episode-15-hardest|episode-15-last,False,True,False,1.6729222093786275E-09,2.0218643363989486E-06,0.00020218643363989486,35,272,68,272,0
combined-load-cooling,5838,episode-16-first,True,True,False,2.1664264357496974E-06,0.006629731882753731,0.6629731882753731,2,8,2,8,0
combined-load-cooling,5839,episode-16-hardest|episode-16-last,False,True,False,4.0328913500175881E-09,2.9192465760274899E-06,0.00040328913500175878,35,272,68,272,0
combined-load-cooling,5907,episode-17-first,True,True,False,1.3850043995600208E-06,0.0065982067102936526,0.65982067102936526,2,8,2,8,0
combined-load-cooling,5908,episode-17-hardest|episode-17-last,False,True,False,3.7102283875168538E-09,9.8561627304150079E-07,0.00037102283875168533,35,272,68,272,0
combined-load-cooling,5987,episode-18-first,True,True,False,1.145623482701112E-06,0.0065468414192650926,0.65468414192650926,2,8,2,8,0
combined-load-cooling,5988,episode-18-hardest|episode-18-last|profile-temporal-stratification,False,True,False,2.6907246449401091E-09,4.2622065308250967E-06,0.00042622065308250967,35,272,68,272,0
cooling-pulse,1,episode-1-first|episode-1-hardest|profile-temporal-stratification,True,True,False,4.5888584604291001E-08,0.00010860914233035146,0.010860914233035146,101,800,0,800,0
cooling-pulse,3,episode-1-last,True,True,False,5.0888194222729884E-10,1.2147626904379649E-06,0.00012147626904379649,101,800,0,800,0
cooling-pulse,196,episode-2-first|profile-temporal-stratification,True,True,False,2.5146587566989066E-09,6.6026057652379677E-06,0.00066026057652379677,35,272,68,272,0
cooling-pulse,200,episode-2-hardest|episode-2-last,False,True,False,3.9324806036899065E-09,1.2301332217745653E-05,0.0012301332217745653,35,272,68,272,0
cooling-pulse,352,episode-3-first,True,True,False,2.6850408479629328E-10,2.9318327126048871E-06,0.00029318327126048871,35,272,68,272,0
cooling-pulse,360,action-501-before|episode-3-hardest|episode-3-last|profile-temporal-stratification,False,True,False,4.6613617379700965E-10,8.2849247657890146E-06,0.00082849247657890146,35,272,68,272,0
cooling-pulse,720,action-501-after|episode-4-first,True,True,False,9.1262068497146322E-11,9.0258787821539954E-07,9.0258787821539954E-05,35,272,68,272,0
cooling-pulse,722,episode-4-hardest|episode-4-last|profile-temporal-stratification,False,True,False,2.631288056199758E-10,8.7403554971388076E-07,8.7403554971388076E-05,35,272,68,272,0
cooling-pulse,1474,episode-5-first|episode-5-hardest,True,True,False,7.599882704279018E-10,3.5284053012674121E-08,7.5998827042790169E-05,68,536,0,536,0
cooling-pulse,1475,episode-5-quartile-1,True,True,False,5.1437919114583295E-09,1.3849961355560936E-07,0.00051437919114583292,68,536,0,536,0
cooling-pulse,1476,profile-temporal-stratification,True,True,False,9.8271775938886999E-09,2.1907517755437311E-07,0.00098271775938886985,68,536,0,536,0
cooling-pulse,1477,episode-5-quartile-2,True,True,False,6.6645361017240402E-06,0.00033006729793072509,0.66645361017240401,35,272,0,272,0
cooling-pulse,1478,episode-5-quartile-3,True,True,False,2.5831117308615544E-06,0.00017259258925861332,0.25831117308615542,35,272,0,272,0
cooling-pulse,1479,episode-5-last|profile-temporal-stratification,True,True,False,1.0853926309347627E-06,9.550623974163841E-05,0.10853926309347625,35,272,0,272,0
cooling-pulse,2334,episode-6-first|episode-6-hardest,True,True,False,6.0469803544480037E-10,6.1223710545732501E-08,6.0469803544480032E-05,68,536,0,536,0
cooling-pulse,2336,episode-6-quartile-1|profile-temporal-stratification,True,True,False,2.9862346773249458E-06,4.4649765339244141E-05,0.29862346773249454,35,272,0,272,0
cooling-pulse,2338,profile-temporal-stratification,True,True,False,5.4780162253293823E-07,1.0838062721063579E-05,0.054780162253293817,35,272,0,272,0
cooling-pulse,2339,episode-6-quartile-2,True,True,False,2.7116978907556681E-07,5.954492939608258E-06,0.027116978907556679,35,272,0,272,0
cooling-pulse,2341,episode-6-quartile-3|profile-temporal-stratification,True,True,False,8.4198298270179164E-08,2.183121228682694E-06,0.0084198298270179162,35,272,0,272,0
cooling-pulse,2343,action-3501-before|episode-6-last,True,True,False,3.5308908777456939E-08,9.257128189332775E-06,0.0035308908777456935,35,272,0,272,0
cooling-pulse,4836,action-3501-after|episode-7-first|profile-temporal-stratification,True,True,False,1.8331305966268711E-10,1.4697855821310668E-06,0.00014697855821310668,35,272,68,272,0
cooling-pulse,4837,episode-7-hardest|episode-7-last,False,True,False,4.1925196325018176E-10,4.9001954671723524E-06,0.00049001954671723524,35,272,68,272,0
cooling-pulse,4868,episode-8-first,True,True,False,1.1525704768009909E-10,8.6311288072238312E-07,8.6311288072238312E-05,35,272,68,272,0
cooling-pulse,4869,episode-8-hardest|episode-8-last|profile-temporal-stratification,False,True,False,2.6054037073828579E-10,2.7909260040814843E-06,0.00027909260040814843,35,272,68,272,0
cooling-pulse,4898,episode-9-first,True,True,False,9.0679953897401214E-10,1.6096037889212766E-06,0.00016096037889212766,35,272,68,272,0
cooling-pulse,4899,episode-9-hardest|episode-9-last|profile-temporal-stratification,False,True,False,7.2378111464328297E-10,9.9167840517111472E-07,9.9167840517111472E-05,35,272,68,272,0
cooling-pulse,4926,episode-10-first,True,True,False,2.8642015441898968E-10,2.4624619161528472E-06,0.00024624619161528472,35,272,68,272,0
cooling-pulse,4927,episode-10-hardest|episode-10-last,False,True,False,2.0175668286203634E-10,7.0686651199025619E-07,7.0686651199025619E-05,35,272,68,272,0
cooling-pulse,4953,episode-11-first|profile-temporal-stratification,True,True,False,1.4548258322684192E-10,2.2630435250192704E-06,0.00022630435250192704,35,272,68,272,0
cooling-pulse,4980,profile-temporal-stratification,False,True,False,2.2001619506134233E-10,7.4747077860592981E-07,7.4747077860592981E-05,35,272,68,272,0
cooling-pulse,5005,episode-11-hardest,False,True,False,3.6272501122311609E-10,2.264614977320889E-06,0.0002264614977320889,35,272,68,272,0
cooling-pulse,5027,profile-temporal-stratification,True,True,False,3.3070738996355411E-10,4.9105188022480206E-06,0.00049105188022480206,35,272,68,272,0
cooling-pulse,5049,profile-temporal-stratification,True,True,False,1.8096894723197982E-10,4.0699976580071962E-06,0.00040699976580071962,35,272,68,272,0
cooling-pulse,5070,profile-temporal-stratification,False,True,False,5.127670582326088E-10,2.1045376090711443E-06,0.00021045376090711443,35,272,68,272,0
cooling-pulse,5107,profile-temporal-stratification,True,True,False,2.7647030518708622E-10,1.6996314169404059E-06,0.00016996314169404059,35,272,68,272,0
cooling-pulse,5126,profile-temporal-stratification,False,True,False,3.9649696544462307E-10,1.584976882185174E-06,0.0001584976882185174,35,272,68,272,0
cooling-pulse,5144,profile-temporal-stratification,False,True,False,5.326536706328189E-11,3.4978395575535615E-06,0.00034978395575535615,35,272,68,272,0
cooling-pulse,5179,profile-temporal-stratification,True,True,False,3.6917828539353192E-10,5.4798724082871786E-06,0.00054798724082871786,35,272,68,272,0
cooling-pulse,5197,profile-temporal-stratification,False,True,False,3.6668324596959857E-10,3.7755660464711127E-06,0.00037755660464711127,35,272,68,272,0
cooling-pulse,5232,profile-temporal-stratification,True,True,False,3.3375493348115787E-10,3.7616710848453749E-06,0.00037616710848453749,35,272,68,272,0
cooling-pulse,5250,profile-temporal-stratification,False,True,False,2.1096776482543216E-10,3.0457454762711222E-06,0.00030457454762711222,35,272,68,272,0
cooling-pulse,5267,profile-temporal-stratification,False,True,False,2.8849850578074517E-10,4.1559191483742097E-06,0.00041559191483742097,35,272,68,272,0
cooling-pulse,5284,episode-11-quartile-1,False,True,False,3.1904445935757471E-10,1.6918637323115604E-05,0.0016918637323115604,35,272,68,272,0
cooling-pulse,5300,profile-temporal-stratification,True,True,False,1.748272070938827E-10,3.762173099275401E-06,0.0003762173099275401,35,272,68,272,0
cooling-pulse,5317,profile-temporal-stratification,False,True,False,3.2986687054292391E-10,3.9205670514519397E-06,0.00039205670514519397,35,272,68,272,0
cooling-pulse,5348,profile-temporal-stratification,True,True,False,1.315946002953932E-10,2.478497799884849E-06,0.0002478497799884849,35,272,68,272,0
cooling-pulse,5364,profile-temporal-stratification,True,True,False,2.908633844318436E-10,3.1197470740096378E-07,3.1197470740096378E-05,35,272,68,272,0
cooling-pulse,5380,profile-temporal-stratification,False,True,False,7.7891160886374859E-11,1.4114774504747629E-06,0.00014114774504747629,35,272,68,272,0
cooling-pulse,5410,profile-temporal-stratification,True,True,False,1.3537506776462829E-10,1.3341137528044555E-06,0.00013341137528044555,35,272,68,272,0
cooling-pulse,5426,profile-temporal-stratification,False,True,False,3.2152137769377805E-10,2.316369435817478E-06,0.0002316369435817478,35,272,68,272,0
cooling-pulse,5441,profile-temporal-stratification,False,True,False,2.2821612935276583E-10,1.8469352909278314E-06,0.00018469352909278314,35,272,68,272,0
cooling-pulse,5469,profile-temporal-stratification,True,True,False,3.3131321479034618E-10,1.1361526865982796E-06,0.00011361526865982796,35,272,68,272,0
cooling-pulse,5484,profile-temporal-stratification,False,True,False,1.7216795447949644E-10,7.9716939005436416E-07,7.9716939005436416E-05,35,272,68,272,0
cooling-pulse,5511,profile-temporal-stratification,True,True,False,1.9075268430137699E-10,6.5444032770756166E-07,6.5444032770756166E-05,35,272,68,272,0
cooling-pulse,5525,profile-temporal-stratification,True,True,False,3.301523947459548E-10,4.5500570422518649E-07,4.5500570422518649E-05,35,272,68,272,0
cooling-pulse,5540,profile-temporal-stratification,False,True,False,3.5559426652276934E-10,3.0133111366126286E-06,0.00030133111366126286,35,272,68,272,0
cooling-pulse,5554,episode-11-quartile-2,False,True,False,2.3405586415624321E-10,6.3496390900752431E-07,6.3496390900752431E-05,35,272,68,272,0
cooling-pulse,5566,profile-temporal-stratification,True,True,False,9.4316818498402739E-11,1.1278018909877119E-06,0.00011278018909877119,35,272,68,272,0
cooling-pulse,5581,profile-temporal-stratification,False,True,False,2.9104442215162525E-10,3.3852769512066061E-06,0.00033852769512066061,35,272,68,272,0
cooling-pulse,5594,profile-temporal-stratification,False,True,False,1.2818273320541545E-10,5.227576878041873E-07,5.227576878041873E-05,35,272,68,272,0
cooling-pulse,5620,profile-temporal-stratification,True,True,False,3.1704369195777937E-10,6.2162734870696568E-07,6.2162734870696568E-05,35,272,68,272,0
cooling-pulse,5634,profile-temporal-stratification,False,True,False,1.8040316819764032E-10,6.51665033046811E-07,6.51665033046811E-05,35,272,68,272,0
cooling-pulse,5658,profile-temporal-stratification,True,True,False,2.2064076236066498E-10,3.2208205276162971E-06,0.00032208205276162971,35,272,68,272,0
cooling-pulse,5672,profile-temporal-stratification,False,True,False,3.2382271215160516E-11,4.7723645231201317E-06,0.00047723645231201317,35,272,68,272,0
cooling-pulse,5685,profile-temporal-stratification,False,True,False,3.6137044957332494E-10,2.690666523363916E-06,0.0002690666523363916,35,272,68,272,0
cooling-pulse,5709,profile-temporal-stratification,True,True,False,3.7198675126290536E-10,1.878997281323791E-06,0.0001878997281323791,35,272,68,272,0
cooling-pulse,5722,profile-temporal-stratification,False,True,False,4.9823566715091842E-10,4.4606371325528471E-06,0.00044606371325528471,35,272,68,272,0
cooling-pulse,5746,profile-temporal-stratification,True,True,False,1.0884243702603494E-10,3.5159344413671079E-07,3.5159344413671079E-05,35,272,68,272,0
cooling-pulse,5758,profile-temporal-stratification,True,True,False,4.0050702296941173E-10,1.9331197673722045E-06,0.00019331197673722045,35,272,68,272,0
cooling-pulse,5771,profile-temporal-stratification,False,True,False,4.3018147257859048E-10,2.7842254208820805E-06,0.00027842254208820805,35,272,68,272,0
cooling-pulse,5782,episode-11-quartile-3,True,True,False,2.4729416230028972E-10,2.5483890144784027E-06,0.00025483890144784027,35,272,68,272,0
cooling-pulse,5794,profile-temporal-stratification,True,True,False,3.7965172496472003E-10,2.7306158632001143E-06,0.00027306158632001143,35,272,68,272,0
cooling-pulse,5807,profile-temporal-stratification,False,True,False,3.8048680454315211E-10,2.5320009449103509E-06,0.00025320009449103509,35,272,68,272,0
cooling-pulse,5819,profile-temporal-stratification,False,True,False,1.2056081293764053E-10,3.9383671150972077E-06,0.00039383671150972077,35,272,68,272,0
cooling-pulse,5841,profile-temporal-stratification,True,True,False,2.2802371173077562E-10,2.5705195731973163E-06,0.00025705195731973163,35,272,68,272,0
