candidate_id,family_id,vr2_rows,vr2_inverse_applicable_rows,vr2_unresolved,vr2_phase_mismatch,max_vr2_pressure_relative_error,exact_v9_rows,exact_v9_unresolved,exact_v9_phase_mismatch,max_exact_v9_pressure_relative_error,exact_v9_phase_agreement_percent,seam_rows,seam_unresolved,seam_phase_mismatch,max_liquid_seam_pressure_jump_mpa,max_liquid_seam_temperature_jump_c,max_vapor_seam_pressure_jump_mpa,max_vapor_seam_temperature_jump_c,hydraulic_resolved_rows,mean_abs_candidate_minus_if97_flow_kg_s,mean_abs_candidate_minus_canonical_flow_kg_s,max_core_pressure_relative_error,max_core_temperature_relative_kelvin_error,max_hot_core_pressure_relative_error,all_frozen_points_resolved,no_core_wrong_phase,vr2_blocking_ceiling_met,planning_target_met,deterministic_repeat,performance_ceiling_met,rp1c_selection_eligible
B1-PIECEWISE-REDUCED,B-PIECEWISE-REFERENCE-CONSISTENT-REDUCED-CLOSURE,40,39,3,3,0.17004517951501175,360,0,0,0.02780901696099947,100,1280,605,139,0.007887364474638156,0.00015186292114321986,5.530314892403075,89.53163425127673,288,0.029266771128111504,100.26807275617793,0.17004517951501175,0.08916019686480488,0.13961197464787936,false,false,true,false,true,true,false
C1-TABULATED-SURROGATE,C-BOUNDED-IF97-DERIVED-TABLE-SURROGATE,40,39,0,0,0,360,12,0,0.00027378435228134424,96.66666666666667,1280,1179,0,0.00014989658857800237,0,0.0003704361182386151,0.0060115938814533365,276,0.005643505197725535,103.71170282803506,0.00027378435228134424,2.4022298655169335E-06,0.00027378435228134424,false,true,true,false,true,true,false
D1-BOUNDED-IF97-SUBSET,D-BOUNDED-PRODUCTION-IF97-SUBSET-COMPARATOR,40,39,0,0,0,360,0,0,3.717224884717464E-10,100,1280,865,0,0.0001460013570167007,5.178480932954699E-08,0.00014600188360169852,8.527717909601051E-08,288,9.532755757608098E-08,100.25157566740275,3.717224884717464E-10,4.373510529507405E-11,3.717224884717464E-10,false,true,true,true,true,false,false
