candidate_id,boundary_index,boundary_temperature_c,probe_side,reference_region,reference_phase,reference_temperature_c,reference_pressure_mpa,reference_quality,candidate_resolved,candidate_region,candidate_phase,candidate_temperature_c,candidate_pressure_mpa,candidate_quality,phase_matches,candidate_minus_reference_temperature_c,candidate_minus_reference_pressure_mpa
B1-PIECEWISE-REDUCED,5,47.28584959805005,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,47.28584959805005,0.010780807500867904,1E-06,true,REGION-4-MIXTURE-TABLE,SaturatedMixture,47.28583490848541,0.010791610573012216,9.985409610884543E-07,true,-1.4689564636682917E-05,1.080307214431156E-05
B1-PIECEWISE-REDUCED,5,47.28584959805005,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,47.28584959805005,0.010780807500867904,0.999999,false,UNRESOLVED,Unspecified,,,,false,,
B1-PIECEWISE-REDUCED,5,47.28584959805005,R2-SIDE,REGION-2,SuperheatedVapor,47.28584959805005,0.010780699692792895,,false,UNRESOLVED,Unspecified,,,,false,,
B1-PIECEWISE-REDUCED,6,47.30439080595971,R1-SIDE,REGION-1,SubcooledLiquid,47.30439080595971,0.010791031774868785,,true,REGION-1-REDUCED,SubcooledLiquid,47.30437551210099,0.018344629368873933,,true,-1.5293858723453013E-05,0.007553597594005148
B1-PIECEWISE-REDUCED,6,47.30439080595971,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,47.30439080595971,0.010790923865630127,1E-06,true,REGION-4-MIXTURE-TABLE,SaturatedMixture,47.30437624454498,0.010801600526449283,9.985575250703152E-07,true,-1.4561414729996613E-05,1.0676660819155734E-05
B1-PIECEWISE-REDUCED,6,47.30439080595971,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,47.30439080595971,0.010790923865630127,0.999999,false,UNRESOLVED,Unspecified,,,,false,,
B1-PIECEWISE-REDUCED,6,47.30439080595971,R2-SIDE,REGION-2,SuperheatedVapor,47.30439080595971,0.010790815956391472,,false,UNRESOLVED,Unspecified,,,,false,,
B1-PIECEWISE-REDUCED,7,47.31016860008242,R1-SIDE,REGION-1,SubcooledLiquid,47.31016860008242,0.010794185924890157,,true,REGION-1-REDUCED,SubcooledLiquid,47.31015336144873,0.01831807202161292,,true,-1.5238633693570591E-05,0.007523886096722764
B1-PIECEWISE-REDUCED,7,47.31016860008242,R4-LIQUID-SIDE,REGION-4,SaturatedMixture,47.31016860008242,0.010794077984110315,1E-06,true,REGION-4-MIXTURE-TABLE,SaturatedMixture,47.310154139995575,0.010804713619612046,9.985629147895948E-07,true,-1.4460086845247133E-05,1.0635635501731258E-05
B1-PIECEWISE-REDUCED,7,47.31016860008242,R4-VAPOR-SIDE,REGION-4,SaturatedMixture,47.31016860008242,0.010794077984110315,0.999999,false,UNRESOLVED,Unspecified,,,,false,,
