candidate_id,probe_id,logical_step,elapsed_s,path_id,from_node,to_node,candidate_resolved,candidate_driving_pa,candidate_flow_kg_s,canonical_flow_kg_s,if97_counterfactual_flow_kg_s,abs_candidate_minus_canonical_flow_kg_s,abs_candidate_minus_if97_flow_kg_s,driving_sign_changed_from_production
B1-PIECEWISE-REDUCED,background-reference,42000,420,FEEDWATER-PUMP,feedwater-inventory,drum,true,1163471.6531653246,34.1097002796173,13.339237038396698,34.065513730895894,20.770463241220604,0.04418654872140593,false
B1-PIECEWISE-REDUCED,background-reference,48000,480,MCP,suction,pressure,true,988494.808517376,140.60546280407286,100.00000075982659,140.60207245483593,40.605462044246266,0.0033903492369233845,false
B1-PIECEWISE-REDUCED,background-reference,48000,480,CHANNEL,pressure,outlet,true,-505498.3677952745,-142.19681681321484,100.00000037672613,-142.113544091596,242.196817189941,0.08327272161884025,true
B1-PIECEWISE-REDUCED,background-reference,48000,480,RETURN,outlet,drum,true,425396.06027194933,130.44478682905643,100.00000114687066,130.36092939911268,30.444785682185767,0.08385742994374823,false
B1-PIECEWISE-REDUCED,background-reference,48000,480,FEEDWATER-PUMP,feedwater-inventory,drum,true,1163471.6534684664,34.109700284060935,13.339237050124458,34.06551374016744,20.770463233936475,0.04418654389349541,false
B1-PIECEWISE-REDUCED,background-reference,54000,540,MCP,suction,pressure,true,988494.808517376,140.60546280407286,100.00000083033684,140.60207245483593,40.60546197373601,0.0033903492369233845,false
B1-PIECEWISE-REDUCED,background-reference,54000,540,CHANNEL,pressure,outlet,true,-505498.3677952745,-142.19681681321484,100.00000083172098,-142.11354436030103,242.19681764493583,0.08327245291380336,true
B1-PIECEWISE-REDUCED,background-reference,54000,540,RETURN,outlet,drum,true,425396.06027194933,130.44478682905643,100.00000032016206,130.36092969204267,30.444786508894367,0.08385713701375153,false
B1-PIECEWISE-REDUCED,background-reference,54000,540,FEEDWATER-PUMP,feedwater-inventory,drum,true,1163471.6543308664,34.1097002967025,13.339237237770089,34.06551375831395,20.77046305893241,0.044186538388551355,false
B1-PIECEWISE-REDUCED,background-reference,60000,600,MCP,suction,pressure,true,988494.808517376,140.60546280407286,100.00000097387097,140.60207245483593,40.60546183020189,0.0033903492369233845,false
B1-PIECEWISE-REDUCED,background-reference,60000,600,CHANNEL,pressure,outlet,true,-505498.3677952745,-142.19681681321484,100.00000135723388,-142.11354436030103,242.19681817044872,0.08327245291380336,true
B1-PIECEWISE-REDUCED,background-reference,60000,600,RETURN,outlet,drum,true,425396.06027194933,130.44478682905643,100.00000032016206,130.36092969204267,30.444786508894367,0.08385713701375153,false
B1-PIECEWISE-REDUCED,background-reference,60000,600,FEEDWATER-PUMP,feedwater-inventory,drum,true,1163471.6548150955,34.10970030380061,13.339237256604022,34.06551377376177,20.770463047196586,0.04418653003883577,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,2784,0,MCP,suction,pressure,true,990747.2746293076,140.76556927241174,107.86984523242108,140.76272650661087,32.895724039990654,0.0028427658008638446,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,2784,0,CHANNEL,pressure,outlet,true,-565494.4287197612,-150.39872721798693,107.84867014590101,-150.40649876813353,258.24739736388796,0.007771550146600248,true
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,2784,0,RETURN,outlet,drum,true,458512.5386399174,135.42710786839058,106.24742123397387,135.46582049941685,29.17968663441671,0.03871263102627154,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,2784,0,FEEDWATER-PUMP,feedwater-inventory,drum,true,1174088.1942198193,34.264970366539345,13.364068550512673,34.24043673887731,20.90090181602667,0.024533627662037816,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,8784,60,MCP,suction,pressure,true,981154.8765415568,140.0824668930096,101.88596059705775,140.0770994577336,38.19650629595186,0.005367435276014021,false
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,8784,60,CHANNEL,pressure,outlet,true,-510088.90760796354,-142.84101758360077,101.87204702968509,-142.75357325095587,244.71306461328587,0.08744433264490681,true
B1-PIECEWISE-REDUCED,exact-v9-5-to-6mwe,8784,60,RETURN,outlet,drum,true,473457.4661778348,137.61649118878665,103.39170488316243,137.48947677415262,34.22478630562422,0.12701441463403285,false
