candidate_id,probe_id,logical_step,elapsed_s,node_id,reference_region,reference_phase,reference_temperature_c,reference_pressure_mpa,reference_quality,candidate_resolved,candidate_region,candidate_phase,candidate_temperature_c,candidate_pressure_mpa,candidate_quality,phase_matches,pressure_relative_error,temperature_relative_kelvin_error
B1-PIECEWISE-REDUCED,background-reference,24000,240,suction,REGION-4-MIXTURE,SaturatedMixture,269.34476251006106,5.446657821393141,0.0009044047982072967,true,REGION-4-MIXTURE-TABLE,SaturatedMixture,269.34391689300537,5.447035566095325,0.0009039650536333218,true,6.935348512257918E-05,1.5587561652682781E-06
B1-PIECEWISE-REDUCED,background-reference,24000,240,pressure,REGION-4-MIXTURE,SaturatedMixture,269.4799217283727,5.4582106824633945,0.0009015025208314689,true,REGION-4-MIXTURE-TABLE,SaturatedMixture,269.4791827201843,5.458540757577949,0.0009011177460813611,true,6.047313556712116E-05,1.3619009176779178E-06
B1-PIECEWISE-REDUCED,background-reference,24000,240,outlet,REGION-4-MIXTURE,SaturatedMixture,275.1843705892562,5.963117169729576,0.18990745707138953,true,REGION-4-MIXTURE-TABLE,SaturatedMixture,275.18879890441895,5.9640391253732234,0.18989309598004614,true,0.0001546096810453132,8.07593942719313E-06
B1-PIECEWISE-REDUCED,background-reference,24000,240,drum,REGION-4-MIXTURE,SaturatedMixture,270.41057386994373,5.5382678699752335,0.03663046988806629,true,REGION-4-MIXTURE-TABLE,SaturatedMixture,270.41100454330444,5.538643065101274,0.036626710274651766,true,6.774593335846548E-05,7.92318982307102E-07
B1-PIECEWISE-REDUCED,background-reference,24000,240,feedwater-inventory,REGION-1,SubcooledLiquid,47.52114057735906,0.12181746457992443,,true,REGION-1-REDUCED,SubcooledLiquid,47.51734194532145,0.1252050879539467,,true,0.027809012325976004,1.1845880582753887E-05
B1-PIECEWISE-REDUCED,background-reference,30000,300,suction,REGION-4-MIXTURE,SaturatedMixture,269.34476251006106,5.446657821393141,0.0009044047982072967,true,REGION-4-MIXTURE-TABLE,SaturatedMixture,269.34391689300537,5.447035566095325,0.0009039650536333218,true,6.935348512257918E-05,1.5587561652682781E-06
B1-PIECEWISE-REDUCED,background-reference,30000,300,pressure,REGION-4-MIXTURE,SaturatedMixture,269.4799217283727,5.4582106824633945,0.0009015025208659237,true,REGION-4-MIXTURE-TABLE,SaturatedMixture,269.4791827201843,5.458540757577949,0.0009011177461158114,true,6.047313556712116E-05,1.3619009176779178E-06
B1-PIECEWISE-REDUCED,background-reference,30000,300,outlet,REGION-4-MIXTURE,SaturatedMixture,275.18437056839457,5.963117167820244,0.18990745678322932,true,REGION-4-MIXTURE-TABLE,SaturatedMixture,275.18879890441895,5.9640391253732234,0.1898930957590646,true,0.00015461000128496423,8.075977472987825E-06
B1-PIECEWISE-REDUCED,background-reference,30000,300,drum,REGION-4-MIXTURE,SaturatedMixture,270.41057386994373,5.5382678699752335,0.0366304698911451,true,REGION-4-MIXTURE-TABLE,SaturatedMixture,270.41100454330444,5.538643065101274,0.03662671027773028,true,6.774593335846548E-05,7.92318982307102E-07
B1-PIECEWISE-REDUCED,background-reference,30000,300,feedwater-inventory,REGION-1,SubcooledLiquid,47.521140576642495,0.12181746457953008,,true,REGION-1-REDUCED,SubcooledLiquid,47.51734194426734,0.12520508775408534,,true,0.02780901068864073,1.1845881635373431E-05
B1-PIECEWISE-REDUCED,background-reference,36000,360,suction,REGION-4-MIXTURE,SaturatedMixture,269.34476251006106,5.446657821393141,0.0009044047982072967,true,REGION-4-MIXTURE-TABLE,SaturatedMixture,269.34391689300537,5.447035566095325,0.0009039650536333218,true,6.935348512257918E-05,1.5587561652682781E-06
B1-PIECEWISE-REDUCED,background-reference,36000,360,pressure,REGION-4-MIXTURE,SaturatedMixture,269.4799217283727,5.4582106824633945,0.0009015025209116863,true,REGION-4-MIXTURE-TABLE,SaturatedMixture,269.4791827201843,5.458540757577949,0.0009011177461615676,true,6.047313556712116E-05,1.3619009176779178E-06
B1-PIECEWISE-REDUCED,background-reference,36000,360,outlet,REGION-4-MIXTURE,SaturatedMixture,275.18437056839457,5.963117167820244,0.18990745654153707,true,REGION-4-MIXTURE-TABLE,SaturatedMixture,275.18879890441895,5.9640391253732234,0.1898930955173895,true,0.00015461000128496423,8.075977472987825E-06
B1-PIECEWISE-REDUCED,background-reference,36000,360,drum,REGION-4-MIXTURE,SaturatedMixture,270.41057386994373,5.5382678699752335,0.036630469895552936,true,REGION-4-MIXTURE-TABLE,SaturatedMixture,270.41100454330444,5.538643065101274,0.03662671028213771,true,6.774593335846548E-05,7.92318982307102E-07
B1-PIECEWISE-REDUCED,background-reference,36000,360,feedwater-inventory,REGION-1,SubcooledLiquid,47.521140575730726,0.12181746457902826,,true,REGION-1-REDUCED,SubcooledLiquid,47.51734194298547,0.12520508755664933,,true,0.02780900907212181,1.1845882789572403E-05
B1-PIECEWISE-REDUCED,background-reference,42000,420,suction,REGION-4-MIXTURE,SaturatedMixture,269.34476251006106,5.446657821393141,0.0009044047982072967,true,REGION-4-MIXTURE-TABLE,SaturatedMixture,269.34391689300537,5.447035566095325,0.0009039650536333218,true,6.935348512257918E-05,1.5587561652682781E-06
B1-PIECEWISE-REDUCED,background-reference,42000,420,pressure,REGION-4-MIXTURE,SaturatedMixture,269.4799217283727,5.4582106824633945,0.0009015025209459658,true,REGION-4-MIXTURE-TABLE,SaturatedMixture,269.4791827201843,5.458540757577949,0.0009011177461958426,true,6.047313556712116E-05,1.3619009176779178E-06
B1-PIECEWISE-REDUCED,background-reference,42000,420,outlet,REGION-4-MIXTURE,SaturatedMixture,275.18437056839457,5.963117167820244,0.18990745628161176,true,REGION-4-MIXTURE-TABLE,SaturatedMixture,275.18879890441895,5.9640391253732234,0.18989309525748255,true,0.00015461000128496423,8.075977472987825E-06
B1-PIECEWISE-REDUCED,background-reference,42000,420,drum,REGION-4-MIXTURE,SaturatedMixture,270.41057386994373,5.5382678699752335,0.03663046990010211,true,REGION-4-MIXTURE-TABLE,SaturatedMixture,270.41100454330444,5.538643065101274,0.03662671028668645,true,6.774593335846548E-05,7.92318982307102E-07
B1-PIECEWISE-REDUCED,background-reference,42000,420,feedwater-inventory,REGION-1,SubcooledLiquid,47.52114057481543,0.12181746457852446,,true,REGION-1-REDUCED,SubcooledLiquid,47.5173419414574,0.12520508712003237,,true,0.027809005492182227,1.184588470051112E-05
B1-PIECEWISE-REDUCED,background-reference,48000,480,suction,REGION-4-MIXTURE,SaturatedMixture,269.34476251006106,5.446657821393141,0.0009044047982072967,true,REGION-4-MIXTURE-TABLE,SaturatedMixture,269.34391689300537,5.447035566095325,0.0009039650536333218,true,6.935348512257918E-05,1.5587561652682781E-06
