step,seconds,mode1_speed_setpoint,candidate_speed_setpoint,mode1_speed_measurement,candidate_speed_measurement,mode1_speed_error,candidate_speed_error,mode1_speed_integral,candidate_speed_integral,mode1_governor,candidate_governor,mode1_stage_command_kg_s,candidate_stage_command_kg_s,mode1_stage_transfer_kg_s,candidate_stage_transfer_kg_s,mode1_moisture_drain_kg_s,candidate_moisture_drain_kg_s,mode1_shaft_power_w,candidate_shaft_power_w
26,0.26,3000.75,3000.75,2999.9999998548105,2999.9865277414815,0.7500001451894605,0.7634722585185045,28.53132969786943,28.5313555581687,29.281329929570028,29.313645403502406,13.339237088518088,13.32922975594951,13.339237088518088,13.32922975594951,0.3112352358368664,0.3097936593926196,5602040.796377843,5598331.475743423
27,0.27,3000.75,3000.75,2999.9999998505664,2999.9855578826273,0.7500001494336175,0.7644421173727096,28.531329697899316,28.531358446592172,29.281329932216074,29.315197741048983,13.339237088656189,13.32887045042701,13.339237088656189,13.32887045042701,0.31123523584311563,0.3097406179974147,5602040.796426691,5598197.94642167
28,0.28,3000.75,3000.75,2999.999999846404,2999.9845595896795,0.75000015359592,0.7654404103204797,28.531329697930037,28.531361534674236,29.281329934772007,29.316767803950118,13.33923708879415,13.32851203653078,13.33923708879415,13.32851203653078,0.3112352358493524,0.3096876063404945,5602040.796475636,5598064.735244941
29,0.29,3000.75,3000.75,2999.9999998423236,2999.9835334067634,0.750000157676368,0.7664665932366006,28.53132969796157,28.531364827992885,29.2813299372469,29.318355079551903,13.339237088933752,13.328154477879528,13.339237088933752,13.328154477879528,0.31123523585561763,0.309634620107607,5602040.796525427,5597931.8294385085
30,0.3,3000.75,3000.75,2999.999999838325,2999.9824798730338,0.7500001616749614,0.7675201269662466,28.531329697993904,28.53136833201828,29.281329939640734,29.319959133577445,13.339237089072515,13.327797849855886,13.339237089072515,13.327797849855886,0.3112352358618544,0.3095816610409692,5602040.796575023,5597799.2616850585
31,0.31,3000.75,3000.75,2999.9999998344074,2999.981399536457,0.7500001655926098,0.7686004635429526,28.531329698027022,28.53137205211099,29.2813299419726,29.321579247188062,13.339237089214736,13.327442077218787,13.339237089214736,13.327442077218787,0.31123523586816404,0.3095287273835705,5602040.796626224,5597667.001402341
32,0.32,3000.75,3000.75,2999.999999830571,2999.9802929344078,0.7500001694288585,0.7697070655922289,28.531329698060908,28.531375993524108,29.28132994421474,29.323215100101862,13.339237089356047,13.327087235354485,13.339237089356047,13.327087235354485,0.3112352358744399,0.3094758208772159,5602040.796677203,5597535.081271057
33,0.33,3000.75,3000.75,2999.9999998268167,2999.9791606129174,0.7500001731832526,0.7708393870825603,28.531329698095544,28.531380161401525,29.28132994636668,29.324865978290713,13.339237089496836,13.326733285474798,13.339237089496836,13.326733285474798,0.311235235880698,0.3094229440711853,5602040.7967281155,5597403.484531853
34,0.34,3000.75,3000.75,2999.9999998231438,2999.978003111473,0.750000176856247,0.7719968885271555,28.531329698130914,28.53138456077923,29.28132994844705,29.32653147819829,13.339237089638393,13.326380230056246,13.339237089638393,13.326380230056246,0.31123523588696145,0.30937009009491945,5602040.79677951,5597272.216213428
35,0.35000000000000003,3000.75,3000.75,2999.999999819551,2999.976820969617,0.7500001804492058,0.7731790303828348,28.531329698167003,28.531389196585305,29.281329950475385,29.328211064081724,13.339237089782428,13.326028142088145,13.339237089782428,13.326028142088145,0.31123523589327107,0.30931726755220446,5602040.796832099,5597141.305017448
36,0.36,3000.75,3000.75,2999.9999998160406,2999.975614734065,0.7500001839594006,0.7743852659350523,28.531329698203795,28.53139407363849,29.28132995236709,29.329904050617895,13.339237089924193,13.325676947524238,13.339237089924193,13.325676947524238,0.31123523589952207,0.3092644712552399,5602040.7968838895,5597010.72234796
37,0.37,3000.75,3000.75,2999.99999981261,2999.9743849411193,0.7500001873900146,0.7756150588807031,28.531329698241272,28.531399196650266,29.281329954243567,29.331610114443986,13.339237090068089,13.325326684099043,13.339237090068089,13.325326684099043,0.31123523590581215,0.3092117020704883,5602040.796936728,5596880.485064447
38,0.38,3000.75,3000.75,2999.99999980926,2999.973132130514,0.7500001907401384,0.7768678694860682,28.53132969827942,28.531404570224165,29.281329956022034,29.333328651817535,13.339237090210414,13.324977314221123,13.339237090210414,13.324977314221123,0.3112352359120525,0.3091589591162318,5602040.796989064,5596750.578385411
39,0.39,3000.75,3000.75,2999.9999998059907,2999.9718568356748,0.7500001940093171,0.778143164325229,28.531329698318224,28.53141019885703,29.281329957711115,29.335059259965476,13.339237090353123,13.324628875626594,13.339237090353123,13.324628875626594,0.3112352359182964,0.30910624325871794,5602040.797041715,5596621.019165375
40,0.4,3000.75,3000.75,2999.999999802801,2999.970559593312,0.750000197198915,0.7794404066880816,28.531329698357663,28.531416086938368,29.281329959348536,29.3368013408835,13.339237090498239,13.324281442519274,13.339237090498239,13.324281442519274,0.31123523592458646,0.30905355966850045,5602040.797095528,5596491.8380987905
41,0.41000000000000003,3000.75,3000.75,2999.999999799692,2999.9692409475065,0.7500002003080226,0.7807590524935222,28.531329698397723,28.531422238748867,29.2813299608879,29.3385542073512,13.339237090642659,13.323934940845172,13.339237090642659,13.323934940845172,0.31123523593084634,0.3090009031587986,5602040.797149205,5596363.00658015
42,0.42,3000.75,3000.75,2999.9999997966625,2999.9679014315325,0.7500002033375495,0.7820985684675179,28.53132969843839,28.53142865846256,29.281329962366478,29.34031754640999,13.339237090785682,13.323589333008135,13.339237090785682,13.323589333008135,0.3112352359370689,0.3089482728483013,5602040.797202446,5596234.509813038
43,0.43,3000.75,3000.75,2999.999999793712,2999.9665415720715,0.7500002062879503,0.7834584279285082,28.53132969847965,28.531435350148143,29.281329963775615,29.342090967296457,13.339237090931777,13.3232446944173,13.339237090931777,13.3232446944173,0.3112352359433501,0.30889567047617916,5602040.797257131,5596106.380467035
44,0.44,3000.75,3000.75,2999.9999997908412,2999.9651619036276,0.7500002091587703,0.7848380963723685,28.531329698521482,28.531442317767418,29.281329965096653,29.343873783016992,13.339237091075987,13.322900987477148,13.339237091075987,13.322900987477148,0.311235235949578,0.3088430951610128,5602040.797311177,5595978.603747951
45,0.45,3000.75,3000.75,2999.9999997880486,2999.963762953933,0.7500002119513738,0.7862370460670718,28.531329698563873,28.531449565176633,29.281329966367316,29.34566560513777,13.339237091222289,13.322558249931488,13.339237091222289,13.322558249931488,0.311235235955845,0.30879054776809056,5602040.79736625,5595851.196502286
46,0.46,3000.75,3000.75,2999.9999997853356,2999.962345253552,0.7500002146643965,0.78765474644797,28.531329698606807,28.531457096125923,29.281329967531658,29.347465850191856,13.339237091367966,13.32221648065191,13.339237091367966,13.32221648065191,0.31123523596208535,0.3087380317199102,5602040.797421214,5595724.1577621065
47,0.47000000000000003,3000.75,3000.75,2999.9999997827003,2999.960909330353,0.7500002172996574,0.7890906696470665,28.531329698650268,28.531464914259853,29.281329968655143,29.34927404788885,13.339237091513223,13.32187568091625,13.339237091513223,13.32187568091625,0.3112352359683097,0.30868554357749645,5602040.797476151,5595597.490540491
48,0.48,3000.75,3000.75,2999.999999780144,2999.959455710661,0.7500002198557922,0.7905442893388681,28.53132969869424,28.53147302311772,29.28132996967273,29.35108970629262,13.339237091657118,13.3215357766529,13.339237091657118,13.3215357766529,0.31123523597449143,0.3086330781564204,5602040.797530666,5595471.166189223
49,0.49,3000.75,3000.75,2999.999999777664,2999.9579849095708,0.7500002223359843,0.7920150904292313,28.531329698738706,28.531481426135805,29.28132997067853,29.3529125383723,13.339237091804645,13.321196878550522,13.339237091804645,13.321196878550522,0.3112352359807442,0.3085806449285009,5602040.7975868555,5595345.229203532
50,0.5,3000.75,3000.75,2999.9999997752625,2999.956497453201,0.750000224737505,0.7935025467991181,28.531329698783654,28.531490126645163,29.281329971551575,29.354741800842017,13.339237091949203,13.320858950212651,13.339237091949203,13.320858950212651,0.3112352359869224,0.30852823958198705,5602040.797641945,5595219.66676379
51,0.51,3000.75,3000.75,2999.9999997729374,2999.9549938610876,0.7500002270626283,0.795006138912413,28.531329698829065,28.531499127872944,29.281329972394158,29.356577109051255,13.339237092094146,13.320521990509937,13.339237092094146,13.320521990509937,0.31123523599309877,0.30847586553904804,5602040.797697346,5595094.477880437
52,0.52,3000.75,3000.75,2999.999999770689,2999.953474649758,0.7500002293108992,0.7965253502420637,28.531329698874927,28.531508432942992,29.281329973151244,29.35841800977807,13.339237092242474,13.32018596424401,13.339237092242474,13.32018596424401,0.31123523599934266,0.30842351505824617,5602040.797754315,5594969.651706204
53,0.53,3000.75,3000.75,2999.9999997685172,2999.951940329688,0.7500002314827725,0.7980596703118863,28.531329698921223,28.531518044877053,29.281329973841462,29.36026411658539,13.339237092388046,13.319850906758194,13.339237092388046,13.319850906758194,0.3112352360055155,0.3083711958647015,5602040.797810273,5594845.201071073
54,0.54,3000.75,3000.75,2999.9999997664218,2999.9503914124725,0.7500002335782483,0.799608587527473,28.531329698967937,28.53152796659456,29.2813299744557,29.362114898433767,13.33923709253229,13.319516820532497,13.33923709253229,13.319516820532497,0.31123523601164216,0.30831890108963833,5602040.797865819,5594721.130948966
55,0.55,3000.75,3000.75,2999.999999764401,2999.948828408351,0.7500002355991455,0.8011715916491084,28.531329699015057,28.53153820091289,29.281329975032147,29.36396987499471,13.339237092680131,13.319183703232907,13.339237092680131,13.319183703232907,0.31123523601784875,0.3082666375852785,5602040.797923022,5594597.438338927
56,0.56,3000.75,3000.75,2999.9999997624564,2999.9472518237103,0.7500002375436452,0.8027481762896969,28.531329699062567,28.53154875054815,29.281329975496206,29.365828619649616,13.339237092825387,13.318851593818005,13.339237092825387,13.318851593818005,0.31123523602398073,0.3082144027851772,5602040.797979281,5594474.142044328
57,0.5700000000000001,3000.75,3000.75,2999.999999760586,2999.945662167675,0.750000239414021,0.8043378323250181,28.53132969911045,28.531559618114617,29.28132997593199,29.36769057114606,13.339237092972914,13.31852041699684,13.339237092972914,13.31852041699684,0.31123523603015535,0.3081621949369673,5602040.79803664,5594351.211382952
58,0.58,3000.75,3000.75,2999.9999997587893,2999.9440599369586,0.7500002412107278,0.805940063041362,28.531329699158693,28.531570806127224,29.281329976303557,29.369555483495464,13.339237093118275,13.318190172838994,13.339237093118275,13.318190172838994,0.31123523603627135,0.30811001403274396,5602040.7980932295,5594228.647312726
59,0.59,3000.75,3000.75,2999.9999997570676,2999.942445625523,0.7500002429324013,0.8075543744771494,28.53132969920728,28.53158231700212,29.28132997657315,29.371422920195016,13.339237093263812,13.317860973265235,13.339237093263812,13.317860973265235,0.311235236042382,0.30805786610957675,5602040.7981500365,5594106.496294995
60,0.6,3000.75,3000.75,2999.999999755419,2999.9408197383586,0.7500002445808605,0.8091802616413588,28.531329699256197,28.531594153054446,29.28132997680624,29.373292157979993,13.339237093407323,13.31753270770247,13.339237093407323,13.31753270770247,0.31123523604843406,0.30800574168397077,5602040.798206133,5593984.715789349
61,0.61,3000.75,3000.75,2999.9999997538425,2999.939182764246,0.7500002461574695,0.8108172357538024,28.531329699305427,28.531606316501595,29.281329976995078,29.37516303450427,13.339237093555548,13.317205411499426,13.339237093555548,13.317205411499426,0.3112352360545856,0.30795364847921824,5602040.798264349,5593863.318587238
62,0.62,3000.75,3000.75,2999.999999752339,2999.9375351926547,0.7500002476608643,0.81246480734535,28.53132969935496,28.531618809463065,29.28132997708372,29.377035048639367,13.339237093698708,13.316879123618948,13.339237093698708,13.316879123618948,0.311235236060611,0.30790158392857414,5602040.798320577,5593742.323461562
63,0.63,3000.75,3000.75,2999.999999750908,2999.935877515478,0.7500002490919542,0.8141224845221586,28.53132969940478,28.53163163395997,29.28132997711853,29.378907662018303,13.339237093844945,13.316553768757762,13.339237093844945,13.316553768757762,0.31123523606670034,0.30784954628090944,5602040.798378233,5593621.699691427
64,0.64,3000.75,3000.75,2999.9999997495484,2999.9342102118876,0.7500002504516488,0.8157897881123972,28.53132969945487,28.531644791917593,29.28132997710041,29.380780651834762,13.339237093989153,13.316229384673917,13.339237093989153,13.316229384673917,0.3112352360727275,0.3077975363994554,5602040.7984351795,5593501.464036842
65,0.65,3000.75,3000.75,2999.9999997482596,2999.93253376282,0.7500002517404027,0.8174662371798149,28.531329699505218,28.53165828516503,29.2813299770207,29.3826535036932,13.339237094134514,13.315905970234526,13.339237094134514,13.315905970234526,0.31123523607877424,0.3077455577055108,5602040.798492744,5593381.615433185
66,0.66,3000.75,3000.75,2999.9999997470413,2999.9308486454606,0.7500002529586709,0.8191513545393718,28.53132969955581,28.53167211543594,29.281329976879842,29.38452581716645,13.339237094279213,13.315583527917845,13.339237094279213,13.315583527917845,0.3112352360847943,0.3076936033316553,5602040.798550165,5593262.158787216
67,0.67,3000.75,3000.75,2999.999999745893,2999.929155335019,0.750000254106908,0.8208446649809957,28.53132969960663,28.531686284368934,29.28132997667828,29.386397158182408,13.339237094422725,13.31526201889838,13.339237094422725,13.31526201889838,0.3112352360907771,0.3076416758283642,5602040.7986072255,5593143.077185912
68,0.68,3000.75,3000.75,2999.9999997448144,2999.9274542980506,0.7500002551855687,0.822545701949366,28.531329699657668,28.531700793509323,29.28132997641645,29.388267234826095,13.339237094566165,13.314941555119665,13.339237094566165,13.314941555119665,0.31123523609675097,0.3075897812293409,5602040.798664385,5593024.417049364
69,0.6900000000000001,3000.75,3000.75,2999.9999997438053,2999.925746011707,0.750000256194653,0.8242539882930942,28.531329699708905,28.53171564430698,29.281329976085246,29.390135359474638,13.339237094709713,13.314621987084319,13.339237094709713,13.314621987084319,0.3112352361027142,0.3075379126135793,5602040.798721725,5592906.11794041
70,0.7000000000000001,3000.75,3000.75,2999.999999742864,2999.9240309310876,0.7500002571359801,0.8259690689124,28.53132969976033,28.531730838120765,29.28132997572285,29.39200151941928,13.339237094853015,13.314303391450888,13.339237094853015,13.314303391450888,0.3112352361086632,0.3074860682852538,5602040.798779094,5592788.214405667
71,0.71,3000.75,3000.75,2999.999999741991,2999.922309518251,0.750000258009095,0.8276904817489594,28.531329699811934,28.531746376217114,29.281329975283327,29.393865114697263,13.339237094997713,13.313985728185324,13.339237094997713,13.313985728185324,0.3112352361146371,0.3074342542242299,5602040.798837176,5592670.6875123335
72,0.72,3000.75,3000.75,2999.999999741184,2999.920582225819,0.7500002588158168,0.8294177741809108,28.531329699863697,28.531762259771952,29.28132997481395,29.39572588259189,13.339237095138117,13.313669110445089,13.339237095138117,13.313669110445089,0.3112352361204973,0.30738247303338717,5602040.798893588,5592553.585651722
73,0.73,3000.75,3000.75,2999.999999740445,2999.918849517463,0.7500002595547812,0.8311504825369411,28.53132969991561,28.531778489868458,29.28132997424968,29.397583139526006,13.339237095281769,13.31335338992165,13.339237095281769,13.31335338992165,0.31123523612642323,0.3073307143645021,5602040.798951491,5592436.850346644
74,0.74,3000.75,3000.75,2999.999999739772,2999.9171118352374,0.7500002602278073,0.8328881647626076,28.531329699967657,28.53179506750141,29.281329973655986,29.399436876777347,13.339237095425071,13.31303860317339,13.339237095425071,13.31303860317339,0.3112352361323367,0.30727898250924923,5602040.7990093725,5592320.496296111
75,0.75,3000.75,3000.75,2999.9999997391647,2999.915369621969,0.7500002608353498,0.8346303780308517,28.531329700019825,28.531811993577016,29.281329973006024,29.40128663697275,13.339237095566558,13.312724824461705,13.339237095566558,13.312724824461705,0.31123523613819337,0.3072272826286824,5602040.799066621,5592204.554042898
76,0.76,3000.75,3000.75,2999.9999997386226,2999.9136233259937,0.7500002613774086,0.8363766740062601,28.5313297000721,28.531829268911817,29.281329972290685,29.403131862426246,13.33923709570567,13.31241194316471,13.33923709570567,13.31241194316471,0.31123523614398607,0.3071756052463961,5602040.799122995,5592088.980915481
77,0.77,3000.75,3000.75,2999.999999738144,2999.9118733787786,0.7500002618558028,0.8381266212213632,28.53132970012447,28.53184689423606,29.281329971548157,29.404972459759485,13.339237095847821,13.312100032340055,13.339237095847821,13.312100032340055,0.31123523614984094,0.3071239589522712,5602040.79918077,5591973.80544277
78,0.78,3000.75,3000.75,2999.999999737731,2999.910120216659,0.7500002622691682,0.8398797833410754,28.531329700176922,28.53186487019273,29.281329970713397,29.40680789592805,13.339237095987702,13.311789055557888,13.339237095987702,13.311789055557888,0.31123523615563187,0.30707233943929246,5602040.799237715,5591859.01461804
79,0.79,3000.75,3000.75,2999.99999973738,2999.908364268106,0.7500002626197784,0.8416357318938026,28.531329700229445,28.53188319733911,29.281329969861428,29.408637900287456,13.33923709612643,13.31147901408792,13.33923709612643,13.31147901408792,0.31123523616138726,0.3070207432706802,5602040.799294297,5591744.611260484
80,0.8,3000.75,3000.75,2999.9999997370924,2999.9066059585384,0.7500002629076334,0.843394041461579,28.531329700282026,28.5319018761474,29.28132996894676,29.41046210896451,13.33923709626687,13.311169979790701,13.33923709626687,13.311169979790701,0.31123523616717463,0.3069691824637619,5602040.799351717,5591630.621898267
81,0.81,3000.75,3000.75,2999.9999997368664,2999.904845717495,0.7500002631336429,0.8451542825050637,28.531329700334652,28.5319209070039,29.281329967988484,29.41228001037866,13.339237096406785,13.310861805529884,13.339237096406785,13.310861805529884,0.3112352361729389,0.30691764324600435,5602040.799409038,5591516.989967113
82,0.8200000000000001,3000.75,3000.75,2999.999999736702,2999.903083953273,0.7500002632978067,0.846916046727074,28.53132970038731,28.531940290213246,29.281329966968393,29.414091621380525,13.339237096544641,13.310554565572266,13.339237096544641,13.310554565572266,0.31123523617864635,0.3068661307773777,5602040.799465612,5591403.745947547
83,0.8300000000000001,3000.75,3000.75,2999.9999997365985,2999.90132107953,0.7500002634014891,0.8486789204698653,28.53132970043999,28.53196002599734,29.281329965915127,29.41589642132303,13.339237096680405,13.310248334191394,13.339237096680405,13.310248334191394,0.3112352361842916,0.30681465021678456,5602040.799521426,5591290.920333212
84,0.84,3000.75,3000.75,2999.999999736555,2999.8995575151703,0.7500002634451448,0.8504424848297276,28.53132970049268,28.531980114494306,29.28132996481094,29.41769388652128,13.339237096819447,13.3099429253284,13.339237096819447,13.3099429253284,0.31123523619000615,0.30676319035303656,5602040.79957873,5591178.438697313
85,0.85,3000.75,3000.75,2999.999999736571,2999.897793652335,0.7500002634287739,0.8522063476648327,28.531329700545367,28.53200055576384,29.281329963646723,29.419484160130775,13.339237096955802,13.309638525172629,13.339237096955802,13.309638525172629,0.31123523619564963,0.3067117623809654,5602040.799635022,5591066.37703306
86,0.86,3000.75,3000.75,2999.999999736646,2999.89602990233,0.7500002633541953,0.8539700976698441,28.53132970059804,28.532021349783374,29.281329962460664,29.421266447553446,13.339237097092226,13.309334947656343,13.339237097092226,13.309334947656343,0.311235236201286,0.30666035509064216,5602040.799691456,5590954.660895064
87,0.87,3000.75,3000.75,2999.9999997367795,2999.8942666496428,0.7500002632204996,0.8557333503572409,28.531329700650684,28.532042496453446,29.28132996119727,29.42304090055862,13.339237097228548,13.309032378977019,13.339237097228548,13.309032378977019,0.3112352362069082,0.30660897967562484,5602040.799747959,5590843.366266061
88,0.88,3000.75,3000.75,2999.999999736971,2999.8925042978694,0.750000263029051,0.8574957021305636,28.53132970070329,28.532063995593873,29.281329959903367,29.42480673319089,13.33923709736382,13.308730669564472,13.33923709736382,13.308730669564472,0.3112352362124966,0.3065576292242014,5602040.799804134,5590732.432535353
89,0.89,3000.75,3000.75,2999.999999737219,2999.890743227948,0.7500002627812137,0.8592567720520492,28.531329700755844,28.532085846948284,29.28132995858031,29.426564017430046,13.339237097496614,13.308429894900586,13.339237097496614,13.308429894900586,0.31123523621802107,0.30650630546603885,5602040.799859375,5590621.892129787
90,0.9,3000.75,3000.75,2999.9999997375226,2999.8889838266,0.7500002624774424,0.861016173400003,28.53132970080834,28.532108050182963,29.281329957210357,29.428312250542042,13.339237097632306,13.308130017336106,13.339237097632306,13.308130017336106,0.3112352362236024,0.3064550075246739,5602040.799915942,5590511.729949314
