step,seconds,mode1_electrical_mwe,candidate_electrical_mwe,mode1_primary_pump_kg_s,candidate_primary_pump_kg_s,mode1_channel_kg_s,candidate_channel_kg_s,mode1_return_kg_s,candidate_return_kg_s,mode1_drum_level,candidate_drum_level,mode1_governor,candidate_governor,mode1_finite,candidate_finite,mode1_envelope,candidate_envelope
1,0.01,4.999999999572232,4.999998525473999,99.99999997024275,99.96959508257872,99.99999996903631,100.04445951637481,100.00000029567853,99.85405350030165,0.49999999999288647,0.49994225537365,29.281329836804137,29.28222490151453,true,true,true,true
2,0.02,4.999999999359853,4.999995676944587,99.99999996993384,99.9598928467923,99.99999996962268,100.05488531846628,100.00000029567853,99.78432156623101,0.4999999999938612,0.4999440730402398,29.281329841515934,29.28315319278752,true,true,true,true
3,0.03,4.999999999146792,4.999991413352529,99.99999996982532,99.95231631727647,99.99999996981808,100.06055531254414,100.00000029567853,99.71656429691929,0.49999999999482875,0.4999455903109193,29.28132984616121,29.284113154074994,true,true,true,true
4,0.04,4.999999998933158,4.999985730053088,99.99999996980847,99.94615311562916,99.99999996981808,100.0629128283082,100.00000029567853,99.65072133038892,0.4999999999957899,0.4999468175765731,29.281329850692654,29.285104140105837,true,true,true,true
5,0.05,4.999999998718953,4.999978622417728,99.99999996979638,99.94091392611004,99.99999996981808,100.06295332313972,100.00000029567853,99.58673322801042,0.499999999996745,0.4999477653175952,29.28132985517528,29.286125816803363,true,true,true,true
6,0.06,4.999999998504278,4.999970086438208,99.99999996978026,99.93626254152204,99.99999996981808,100.0613635834201,100.00000029567853,99.5245414888209,0.4999999999976943,0.49994844392179105,29.281329859524487,29.287177454513824,true,true,true,true
7,0.07,4.999999998289126,4.999960118421573,99.99999996976666,99.9319692396357,99.99999996981808,100.05861684115048,100.00000029567853,99.46408916188317,0.4999999999986383,0.4999488635751468,29.281329863823483,29.288258517828424,true,true,true,true
8,0.08,4.999999998073604,4.999948715115325,99.9999999697526,99.92787708517842,99.99999996981808,100.05503906213517,100.00000029567853,99.40532260738954,0.4999999999995775,0.4999490341229772,29.281329868044963,29.289368383717072,true,true,true,true
9,0.09,4.999999997857726,4.999935873439997,99.99999996978865,99.92387914982268,99.99999996972028,100.05085807448684,100.00000029567853,99.34818792016576,0.5000000000005119,0.49994896504132014,29.281329872160264,29.29050660253211,true,true,true,true
10,0.1,4.999999997641533,4.9999215906285945,99.9999999697283,99.91990259803342,99.99999996981808,100.04622946983555,100.00000029567853,99.29263282150015,0.500000000001442,0.49994866555211087,29.281329876206204,29.291672640461908,true,true,true,true
11,0.11,4.999999997425089,4.999905864516289,99.9999999697608,99.91589882805707,99.99999996972028,100.04126217598535,100.00000029567853,99.2386065706061,0.5000000000023678,0.4999481444641364,29.281329880164122,29.292865762613648,true,true,true,true
12,0.12,4.999999997208444,4.999888692939342,99.99999996974282,99.91183555399276,99.99999996972028,100.03603134092593,100.00000029567853,99.18606061107785,0.5000000000032896,0.4999474102334679,29.2813298840431,29.294085630681305,true,true,true,true
13,0.13,4.999999996991646,4.999870074338672,99.99999996972997,99.90769219342306,99.99999996972028,100.03059107756978,100.00000029567853,99.1349485163583,0.5000000000042074,0.499946470871779,29.28132988782402,29.295331511441223,true,true,true,true
14,0.14,4.9999999967747515,4.9998500074324275,99.99999996971498,99.90345446137601,99.99999996972028,100.02497766573599,100.00000029567853,99.08522376837598,0.5000000000051215,0.49994533422019377,29.2813298915346,29.296602879347354,true,true,true,true
15,0.15,4.999999996557803,4.999828491255703,99.99999996970492,99.89911446203611,99.99999996972028,100.0192181152071,100.00000029567853,99.03684258307442,0.500000000006032,0.49994400767269875,29.281329895156187,29.297899184975936,true,true,true,false
16,0.16,4.9999999963408435,4.99980552528413,99.99999996968955,99.89466733944333,99.99999996972028,100.01333042910784,100.00000029567853,98.98976283930655,0.5000000000069389,0.4999424983742853,29.281329898688305,29.29921979141526,true,true,true,false
17,0.17,4.999999996123911,4.999781109109957,99.99999996967622,99.8901111812813,99.99999996972028,100.00732907261788,100.00000029567853,98.94394341878761,0.5000000000078423,0.4999408131317867,29.281329902159136,29.300564273645502,true,true,true,false
18,0.18,4.999999995907052,4.999755242656666,99.99999996965843,99.88544548379025,99.99999996971805,100.00122333728936,100.00000029567853,98.89934488386073,0.5000000000087423,0.499938958527858,29.281329905521826,29.301932073315584,true,true,true,false
19,0.19,4.999999995690317,4.999727926392638,99.99999996969402,99.88067046979856,99.99999996962043,99.99502227517692,99.99999946896993,98.85592762843368,0.5000000000460272,0.49993694085580154,29.281329908822737,29.303322481397373,true,true,true,false
20,0.2,4.99999999547375,4.999699160783178,99.99999996969244,99.87578756477447,99.99999996971805,99.98873013508863,100.00000029567853,98.81365611725968,0.5000000000070037,0.49993476615504334,29.281329912043667,29.304735149240717,true,true,true,false
21,0.21,4.99999999525738,4.99966894672902,99.99999996967735,99.87079848650279,99.99999996971805,99.98235236902447,100.00000029567853,98.7724946624706,0.5000000000079003,0.49993244019928273,29.2813299151655,29.306169446860284,true,true,true,false
22,0.22,4.999999995041304,4.999637285559975,99.999999969811,99.86570533960517,99.99999996942002,99.97589306178855,100.00000029567853,98.73240808146771,0.500000000008821,0.49992996858328576,29.28132991820641,29.307624742113557,true,true,true,false
23,0.23,4.999999994825521,4.999604178861002,99.99999996964875,99.86051014577303,99.99999996971302,99.96935410273615,100.00000029567853,98.6933640809162,0.5000000000097354,0.49992735667706184,29.28132992116638,29.30910051423093,true,true,true,false
24,0.24,4.999999994610076,4.999569628521429,99.99999996968405,99.85521577698077,99.99999996961523,99.96274038750619,99.99999946896993,98.65532843797529,0.5000000000470322,0.4999246096355403,29.28132992404539,29.3105962067575,true,true,true,false
25,0.25,4.999999994395032,4.9995336365139265,99.99999996968023,99.84982416275172,99.99999996971302,99.95605222471737,100.00000029567853,98.61827341828864,0.5000000000080186,0.4999217323541975,29.28132992684343,29.312111415853824,true,true,true,false
26,0.26,4.999999994180396,4.99949620539881,99.9999999696645,99.84433764065466,99.99999996971302,99.94929264182477,100.00000029567853,98.58216645252976,0.5000000000089233,0.4999187296887767,29.281329929570028,29.313645403502406,true,true,true,false
27,0.27,4.99999999396625,4.999457337849172,99.9999999696984,99.83875919592373,99.99999996961523,99.94246452460732,100.00000029567853,98.54697959252339,0.5000000000098509,0.49991560614237346,29.281329932216074,29.315197741048983,true,true,true,false
28,0.28,4.999999993752605,4.999417036950775,99.9999999696334,99.83309007493234,99.99999996971655,99.9355683975721,99.99999946896993,98.5126854794543,0.5000000000471589,0.4999123661636863,29.281329934772007,29.316767803950118,true,true,true,false
29,0.29,4.999999993539521,4.999375306023519,99.99999996972727,99.82733375409732,99.99999996961895,99.92860672253339,100.00000029567853,98.47925605287007,0.5000000000081555,0.4999090140228599,29.2813299372469,29.318355079551903,true,true,true,false
30,0.3,4.999999993327023,4.999332148514432,99.99999996981248,99.82149158789495,99.99999996941705,99.92158098094448,100.00000029567853,98.4466655759178,0.500000000009069,0.49990555381077995,29.281329939640734,29.319959133577445,true,true,true,false
31,0.31,4.999999993115153,4.9992875684210425,99.9999999696997,99.81556609648047,99.99999996961262,99.914493224585,100.00000029567853,98.41488823866419,0.500000000010004,0.4999019894766243,29.2813299419726,29.321579247188062,true,true,true,false
32,0.32,4.999999992903956,4.999241569689479,99.9999999696373,99.80955975158425,99.99999996971023,99.90734441132398,100.00000029567853,98.3839005637573,0.5000000000109309,0.49989832480580054,29.28132994421474,29.323215100101862,true,true,true,false
33,0.33,4.99999999269347,4.99919415681387,99.99999996967279,99.80347400351445,99.99999996961262,99.90013700534104,99.99999946896993,98.35367781412728,0.5000000000482385,0.4998945634761537,29.28132994636668,29.324865978290713,true,true,true,false
34,0.34,4.999999992483739,4.999145334358582,99.99999996966906,99.79731127233443,99.99999996971023,99.89287147359805,100.00000029567853,98.32419819756407,0.5000000000092344,0.4998907090092081,29.28132994844705,29.32653147819829,true,true,true,false
35,0.35000000000000003,4.999999992274789,4.9990951071726775,99.99999996970045,99.79107319926379,99.99999996961112,99.88554928438695,100.00000029567853,98.29543868419073,0.5000000000101473,0.49988676485449846,29.281329950475385,29.328211064081724,true,true,true,false
36,0.36,4.9999999920666625,4.999043480603355,99.99999996968964,99.78476198413472,99.99999996961112,99.87817313478799,100.00000029567853,98.26737793310642,0.500000000011082,0.49988273423617385,29.28132995236709,29.329904050617895,true,true,true,false
37,0.37,4.9999999918594025,4.998990459947295,99.99999996967847,99.77837959026085,99.99999996960554,99.87074204296063,100.00000029567853,98.23999643336485,0.5000000000120084,0.4998786203648945,29.281329954243567,29.331610114443986,true,true,true,false
38,0.38,4.999999991653018,4.99893605088109,99.99999996966552,99.77192767555918,99.99999996960554,99.86325921488974,99.99999946896993,98.21327276783077,0.5000000000493156,0.49987442628662426,29.281329956022034,29.333328651817535,true,true,true,false
39,0.39,4.9999999914475834,4.9988802591586055,99.99999996965761,99.76540777038021,99.99999996970315,99.85572515178309,100.00000029567853,98.18718790810105,0.500000000010311,0.49987015496300125,29.281329957711115,29.335059259965476,true,true,true,false
40,0.4,4.999999991243081,4.998823090919003,99.99999996969244,99.75882187499367,99.99999996960554,99.84814176130747,100.00000029567853,98.16172275855614,0.5000000000112237,0.4998658092223679,29.281329959348536,29.3368013408835,true,true,true,false
41,0.41000000000000003,4.999999991039593,4.998764552804386,99.99999996963078,99.75217082693464,99.99999996970315,99.84050918208675,100.00000029567853,98.13686060144333,0.5000000000121579,0.4998613917900493,29.2813299608879,29.3385542073512,true,true,true,false
42,0.42,4.999999990837137,4.998704651383664,99.99999996976368,99.74545769806211,99.99999996940848,99.83282889071232,99.99999946896993,98.11258170790146,0.5000000000494722,0.49985690539823197,29.281329962366478,29.34031754640999,true,true,true,false
