mode_id,pass_index,calls,calls_over_100us,calls_over_max_ceiling,max_us
TIERING-OFF,34,1800,1442,5,1337.9
TIERING-OFF,35,1800,1442,1,575
TIERING-OFF,36,1800,1441,0,406.9
TIERING-OFF,37,1800,1440,0,389.9
TIERING-OFF,38,1800,1441,3,573.7
TIERING-OFF,39,1800,1440,1,419.4
TIERING-OFF,40,1800,1440,1,444.7
TIERING-OFF,41,1800,1436,4,953.4
TIERING-OFF,42,1800,1441,0,383.5
TIERING-OFF,43,1800,1440,1,528.5
TIERING-OFF,44,1800,1441,0,327.8
TIERING-OFF,45,1800,1440,1,414.4
TIERING-OFF,46,1800,1442,0,378.1
TIERING-OFF,47,1800,1443,0,285.1
TIERING-OFF,48,1800,1441,0,300.6
TIERING-OFF,49,1800,1440,2,1392.5
TIERING-OFF,50,1800,1204,0,333.6
TIERING-OFF,51,1800,878,1,11088.3
TIERING-OFF,52,1800,1437,2,528
TIERING-OFF,53,1800,1441,0,350.9
TIERING-OFF,54,1800,1439,0,264.1
TIERING-OFF,55,1800,1441,0,304.1
TIERING-OFF,56,1800,1442,1,410.4
TIERING-OFF,57,1800,1442,1,447.9
TIERING-OFF,58,1800,1439,0,357.5
TIERING-OFF,59,1800,1442,0,336.5
TIERING-OFF,60,1800,1440,0,346.5
TIERING-OFF,61,1800,1435,2,884.8
TIERING-OFF,62,1800,1440,1,626.9
TIERING-OFF,63,1800,1441,2,636.9
TIERING-ON-PGO-OFF,0,1800,1,0,138.2
TIERING-ON-PGO-OFF,1,1800,0,0,7.7
TIERING-ON-PGO-OFF,2,1800,0,0,39.9
TIERING-ON-PGO-OFF,3,1800,0,0,78.9
TIERING-ON-PGO-OFF,4,1800,0,0,29.9
TIERING-ON-PGO-OFF,5,1800,0,0,38.6
TIERING-ON-PGO-OFF,6,1800,0,0,30.6
TIERING-ON-PGO-OFF,7,1800,3,0,273.9
TIERING-ON-PGO-OFF,8,1800,0,0,22.8
TIERING-ON-PGO-OFF,9,1800,0,0,47.9
TIERING-ON-PGO-OFF,10,1800,1,0,103.7
TIERING-ON-PGO-OFF,11,1800,0,0,33.6
TIERING-ON-PGO-OFF,12,1800,0,0,24.1
TIERING-ON-PGO-OFF,13,1800,0,0,28.4
TIERING-ON-PGO-OFF,14,1800,0,0,22.2
TIERING-ON-PGO-OFF,15,1800,0,0,29.1
TIERING-ON-PGO-OFF,16,1800,0,0,7.6
TIERING-ON-PGO-OFF,17,1800,0,0,38
TIERING-ON-PGO-OFF,18,1800,0,0,13.6
TIERING-ON-PGO-OFF,19,1800,0,0,17.5
TIERING-ON-PGO-OFF,20,1800,0,0,34.7
TIERING-ON-PGO-OFF,21,1800,2,0,148.5
TIERING-ON-PGO-OFF,22,1800,0,0,30.6
TIERING-ON-PGO-OFF,23,1800,0,0,10.7
TIERING-ON-PGO-OFF,24,1800,0,0,24.1
TIERING-ON-PGO-OFF,25,1800,1,0,125.7
TIERING-ON-PGO-OFF,26,1800,0,0,15.7
TIERING-ON-PGO-OFF,27,1800,0,0,20.7
TIERING-ON-PGO-OFF,28,1800,1,0,118.1
TIERING-ON-PGO-OFF,29,1800,0,0,45.8
TIERING-ON-PGO-OFF,30,1800,0,0,8.8
TIERING-ON-PGO-OFF,31,1800,1,0,101.4
TIERING-ON-PGO-OFF,32,1800,0,0,69.5
TIERING-ON-PGO-OFF,33,1800,0,0,9.3
TIERING-ON-PGO-OFF,34,1800,0,0,55.1
TIERING-ON-PGO-OFF,35,1800,0,0,70.6
TIERING-ON-PGO-OFF,36,1800,1,0,101.3
TIERING-ON-PGO-OFF,37,1800,0,0,51.5
TIERING-ON-PGO-OFF,38,1800,0,0,31.8
TIERING-ON-PGO-OFF,39,1800,0,0,30.7
TIERING-ON-PGO-OFF,40,1800,0,0,22
TIERING-ON-PGO-OFF,41,1800,0,0,66.8
TIERING-ON-PGO-OFF,42,1800,0,0,11.7
TIERING-ON-PGO-OFF,43,1800,0,0,24.8
TIERING-ON-PGO-OFF,44,1800,1,0,148.8
TIERING-ON-PGO-OFF,45,1800,0,0,89.7
TIERING-ON-PGO-OFF,46,1800,1,0,226.8
TIERING-ON-PGO-OFF,47,1800,0,0,84.6
TIERING-ON-PGO-OFF,48,1800,0,0,58.5
TIERING-ON-PGO-OFF,49,1800,0,0,10.5
TIERING-ON-PGO-OFF,50,1800,0,0,10.2
TIERING-ON-PGO-OFF,51,1800,0,0,58.9
TIERING-ON-PGO-OFF,52,1800,1,0,151.3
TIERING-ON-PGO-OFF,53,1800,0,0,51.9
TIERING-ON-PGO-OFF,54,1800,0,0,59.1
TIERING-ON-PGO-OFF,55,1800,0,0,10.1
TIERING-ON-PGO-OFF,56,1800,0,0,31
TIERING-ON-PGO-OFF,57,1800,0,0,74.2
TIERING-ON-PGO-OFF,58,1800,2,0,142.2
TIERING-ON-PGO-OFF,59,1800,1,0,107.5
TIERING-ON-PGO-OFF,60,1800,0,0,95
TIERING-ON-PGO-OFF,61,1800,0,0,76.6
TIERING-ON-PGO-OFF,62,1800,0,0,74.1
TIERING-ON-PGO-OFF,63,1800,1,0,160.4
TIERING-ON-PGO-ON,0,1800,0,0,53.8
TIERING-ON-PGO-ON,1,1800,0,0,99.9
TIERING-ON-PGO-ON,2,1800,1,0,111.4
TIERING-ON-PGO-ON,3,1800,0,0,23.4
TIERING-ON-PGO-ON,4,1800,1,0,139
TIERING-ON-PGO-ON,5,1800,1,0,113.4
TIERING-ON-PGO-ON,6,1800,0,0,34.8
TIERING-ON-PGO-ON,7,1800,0,0,35.6
TIERING-ON-PGO-ON,8,1800,0,0,7.5
TIERING-ON-PGO-ON,9,1800,0,0,17.8
TIERING-ON-PGO-ON,10,1800,0,0,67.5
TIERING-ON-PGO-ON,11,1800,0,0,56.8
TIERING-ON-PGO-ON,12,1800,1,0,219.8
TIERING-ON-PGO-ON,13,1800,2,0,330.4
TIERING-ON-PGO-ON,14,1800,0,0,43.6
TIERING-ON-PGO-ON,15,1800,1,0,125.6
TIERING-ON-PGO-ON,16,1800,1,0,131.3
TIERING-ON-PGO-ON,17,1800,1,0,202
TIERING-ON-PGO-ON,18,1800,2,0,144.2
TIERING-ON-PGO-ON,19,1800,0,0,51.8
TIERING-ON-PGO-ON,20,1800,0,0,34.1
TIERING-ON-PGO-ON,21,1800,0,0,88.4
TIERING-ON-PGO-ON,22,1800,0,0,29.7
TIERING-ON-PGO-ON,23,1800,0,0,36.8
TIERING-ON-PGO-ON,24,1800,2,0,121.6
TIERING-ON-PGO-ON,25,1800,0,0,28.9
TIERING-ON-PGO-ON,26,1800,0,0,21.8
TIERING-ON-PGO-ON,27,1800,1,0,103.5
TIERING-ON-PGO-ON,28,1800,0,0,61
TIERING-ON-PGO-ON,29,1800,0,0,68
TIERING-ON-PGO-ON,30,1800,0,0,80.5
TIERING-ON-PGO-ON,31,1800,0,0,7.3
TIERING-ON-PGO-ON,32,1800,0,0,40.3
TIERING-ON-PGO-ON,33,1800,2,0,278.4
TIERING-ON-PGO-ON,34,1800,0,0,16.5
TIERING-ON-PGO-ON,35,1800,2,0,139.9
TIERING-ON-PGO-ON,36,1800,0,0,93.6
TIERING-ON-PGO-ON,37,1800,0,0,26.8
TIERING-ON-PGO-ON,38,1800,3,0,226.6
TIERING-ON-PGO-ON,39,1800,0,0,18.2
TIERING-ON-PGO-ON,40,1800,0,0,89.3
TIERING-ON-PGO-ON,41,1800,0,0,95.4
TIERING-ON-PGO-ON,42,1800,1,0,135.2
TIERING-ON-PGO-ON,43,1800,0,0,32.4
TIERING-ON-PGO-ON,44,1800,0,0,46.5
TIERING-ON-PGO-ON,45,1800,0,0,18.5
TIERING-ON-PGO-ON,46,1800,0,0,42.8
TIERING-ON-PGO-ON,47,1800,0,0,77.7
TIERING-ON-PGO-ON,48,1800,0,0,37.8
TIERING-ON-PGO-ON,49,1800,0,0,66.4
TIERING-ON-PGO-ON,50,1800,1,0,106.7
TIERING-ON-PGO-ON,51,1800,0,0,88.5
TIERING-ON-PGO-ON,52,1800,0,0,31.1
TIERING-ON-PGO-ON,53,1800,0,0,30.8
TIERING-ON-PGO-ON,54,1800,1,0,238.4
TIERING-ON-PGO-ON,55,1800,0,0,68.6
TIERING-ON-PGO-ON,56,1800,1,0,201.3
TIERING-ON-PGO-ON,57,1800,0,0,94.5
TIERING-ON-PGO-ON,58,1800,2,0,208.4
TIERING-ON-PGO-ON,59,1800,0,0,12.3
TIERING-ON-PGO-ON,60,1800,1,0,107.4
TIERING-ON-PGO-ON,61,1800,0,0,69.2
TIERING-ON-PGO-ON,62,1800,0,0,11.4
TIERING-ON-PGO-ON,63,1800,0,0,40.5
