profile_id,processes,measured_calls,median_of_process_medians_us,median_of_process_p95_us,max_us,unresolved_calls,calls_over_100us,calls_over_max_ceiling,processes_with_over_max,reproducible_strict_owner_groups,candidate_allocated_bytes,harness_allocated_bytes,gc_gen0,gc_gen1,gc_gen2
AMBIENT-UNSET,5,115200,2.1,2.5,280.6,0,10,0,0,0,0,0,0,0,0
EXPLICIT-REFERENCE-ALL-ON,5,115200,2,2.3,416.2,0,5,1,1,0,0,0,0,0,0
