step,seconds,electrical_mwe,primary_pump_kg_s,drum_level,governor_output_percent,moisture_drain_kg_s,transfer_mismatch_kg_s,stage_energy_ownership_residual_w,mass_closure_kg,full_energy_closure_j,balance_mass_rate_kg_s,balance_power_w,trip_active,breaker_closed,rollbacks,fallback_commit_violations,unsafe_commit_violations,untargeted_branch_disagreements,finite,in_envelope
2700,27,4.6004418315450275,71.91253193880988,0.5206285674297848,32.10785493449383,0.8083254883802145,0,9.313225746154785E-10,0,9.810861229198053E-06,3.552713678800501E-15,2.7939677238464355E-09,false,true,1661,0,0,0,true,false
2800,28,4.595871193348345,85.25815700610269,0.52099668601317,32.027517278189585,0.8045058936031566,0,2.7939677238464355E-09,1.4551915228366852E-11,1.4749202819075435E-06,5.329070518200751E-15,1.7695128917694092E-08,false,true,1720,0,0,0,true,false
2900,29,4.5940982794249825,122.38094847232496,0.5213203208884777,31.964454635914972,0.8005529208315032,0,3.725290298461914E-09,0,4.4792614062316716E-06,3.552713678800501E-15,5.122274160385132E-09,false,true,1781,0,0,0,true,false
3000,30,4.592036731324734,121.83216705275198,0.5216776421209773,31.95554855798323,0.7965876145793995,0,2.7939677238464355E-09,0,5.52319033886306E-06,1.0658141036401503E-14,1.1175870895385742E-08,false,true,1839,0,0,0,true,false
3100,31,4.58899931725467,69.33008173720332,0.5219847227494521,31.971943303134985,0.7927011122204828,0,3.725290298461914E-09,0,9.82852725428529E-06,0,2.7939677238464355E-09,false,true,1897,0,0,0,true,false
3200,32,4.585573341035046,72.90305932525469,0.5223109768135512,31.985080831890308,0.7889096749102382,0,3.725290298461914E-09,0,1.6415178833995014E-05,3.552713678800501E-15,1.955777406692505E-08,false,true,1957,0,0,0,true,false
3300,33,4.582344999520283,123.3589345091869,0.5227172721322308,31.987180232946212,0.785196412568693,0,9.313225746154785E-10,1.4551915228366852E-11,3.428467607591301E-05,7.105427357601002E-15,2.7939677238464355E-08,false,true,2015,0,0,0,true,false
3400,34,4.579484303218659,86.0082474855072,0.523073718312989,31.983006202931385,0.7815447112412883,0,0,7.275957614183426E-12,2.3510299797635525E-05,7.105427357601002E-15,1.1641532182693481E-08,false,true,2072,0,0,0,true,false
3500,35,4.576912578015221,81.68609082670636,0.5234207437266378,31.9779574109919,0.7779514683222075,0,3.725290298461914E-09,0,8.237417205236852E-06,3.552713678800501E-15,5.587935447692871E-09,false,true,2129,0,0,0,true,false
3600,36,4.5745394327317905,70.29512826850596,0.5237561892352536,31.973834951524346,0.7744196642723775,0,1.862645149230957E-09,7.275957614183426E-12,1.2068940122844651E-05,1.7763568394002505E-15,1.909211277961731E-08,false,true,2187,0,0,0,true,false
3700,37,4.572341792772211,123.63703875485142,0.5241516551991244,31.970029638008544,0.7709527345053075,0,3.725290298461914E-09,7.275957614183426E-12,1.3289351045386866E-05,2.842170943040401E-14,1.30385160446167E-08,false,true,2245,0,0,0,true,false
3800,38,4.570338031779678,125.26149631881955,0.5245078895154004,31.96568861824722,0.7675507898329119,0,2.7939677238464355E-09,1.4551915228366852E-11,2.0590225176420063E-05,1.9539925233402755E-14,1.3969838619232178E-08,false,true,2301,0,0,0,true,false
3900,39,4.5685047477323355,51.722781096557256,0.5241787365753863,31.962362228560636,0.7641887785227013,0,9.313225746154785E-10,7.275957614183426E-12,1.3744305761065334E-05,1.7763568394002505E-15,1.816079020500183E-08,false,true,2355,0,0,0,true,false
4000,40,4.566653124915699,79.81007379533058,0.5234159850167587,31.963324577399316,0.7608493823126175,0,3.725290298461914E-09,7.275957614183426E-12,6.686241249553859E-07,8.881784197001252E-15,2.8870999813079834E-08,false,true,2400,0,0,0,true,false
4100,41,4.564662489320599,70.56856566831559,0.5241818478599519,31.96895065163599,0.7575162850837032,0,5.587935447692871E-09,7.275957614183426E-12,6.6677275754045695E-06,5.329070518200751E-15,2.1420419216156006E-08,false,true,2457,0,0,0,true,false
4200,42,4.562496053490724,87.23316137670619,0.5247246870279116,31.97645180329333,0.7542084081228477,0,2.7939677238464355E-09,7.275957614183426E-12,6.925627531018108E-06,0,1.6763806343078613E-08,false,true,2512,0,0,0,true,false
4300,43,4.560334876793802,124.7274449551727,0.5252150951239696,31.980451454729632,0.7509506290857839,0,0,0,1.248649277840741E-05,1.9539925233402755E-14,4.6566128730773926E-09,false,true,2567,0,0,0,true,false
4400,44,4.558374458250565,124.43000223403718,0.5256913629032739,31.978909055970895,0.747751818590503,0,9.313225746154785E-10,7.275957614183426E-12,1.544373662909493E-05,1.7763568394002505E-15,2.7939677238464355E-09,false,true,2621,0,0,0,true,false
4500,45,4.556712239592618,124.81626928495807,0.5261546350979458,31.972845445943275,0.7446148708907234,0,1.862645149230957E-09,1.4551915228366852E-11,1.3450295227812603E-05,1.2434497875801753E-14,1.5832483768463135E-08,false,true,2675,0,0,0,true,false
4600,46,4.555369932325508,74.93537991954999,0.5265917307641989,31.96398384897533,0.7415423154969254,0,0,7.275957614183426E-12,5.013269401388243E-06,5.329070518200751E-15,1.3969838619232178E-08,false,true,2727,0,0,0,true,false
4700,47,4.5543420037657345,124.38293695269203,0.5270755887041044,31.953508302795683,0.7385364640273568,0,5.587935447692871E-09,7.275957614183426E-12,7.184808055171743E-06,8.881784197001252E-15,3.259629011154175E-09,false,true,2781,0,0,0,true,false
4800,48,4.553620881800063,81.46069961280952,0.5275056081262892,31.941998654884642,0.7355985328913235,0,9.313225746154785E-10,7.275957614183426E-12,1.0312509402865544E-05,1.509903313490213E-14,3.306195139884949E-08,false,true,2833,0,0,0,true,false
4900,49,4.5532082690515585,120.71512258609674,0.5282686042111864,31.92942692622123,0.7327323311879894,0,5.587935447692871E-09,0,1.0425130312796682E-05,8.881784197001252E-15,1.6763806343078613E-08,false,true,2887,0,0,0,true,false
5000,50,4.553140727733784,115.7263541048861,0.5264564200463513,31.915371914233138,0.7299369722532258,0,9.313225746154785E-10,0,3.0697265174239874E-06,7.105427357601002E-15,1.3504177331924438E-08,false,true,2908,0,0,0,true,false
5100,51,4.553241254921469,110.64892631957399,0.5248321525093601,31.90615719816823,0.727155726000726,0,0,7.275957614183426E-12,1.4325640222523361E-05,5.329070518200751E-15,7.916241884231567E-09,false,true,2908,0,0,0,true,false
5200,52,4.5531998945592385,105.89858839547828,0.524149260580342,31.905796070839425,0.724373146177637,0,9.313225746154785E-10,0,2.9240687581477687E-05,7.105427357601002E-15,1.3969838619232178E-08,false,true,2908,0,0,0,true,false
5300,53,4.552897129312217,101.37281675665447,0.5242283031462575,31.911572383716333,0.721598049083811,0,9.313225746154785E-10,7.275957614183426E-12,3.184111847076565E-06,1.7763568394002505E-15,3.725290298461914E-09,false,true,2908,0,0,0,true,false
5400,54,4.552431157944238,97.0258099398482,0.5249363984539138,31.91734777313579,0.7188535027142926,0,1.862645149230957E-09,7.275957614183426E-12,3.175733581883833E-06,1.7763568394002505E-15,1.5832483768463135E-08,false,true,2908,0,0,0,true,false
5500,55,4.552063650572891,92.83469899597706,0.5261632685639991,31.9165540843703,0.7161729672355257,0,0,0,1.1899137462023646E-06,1.7763568394002505E-15,7.450580596923828E-09,false,true,2908,0,0,0,true,false
5600,56,4.552141538177246,88.7873525560158,0.5278116492403045,31.904053896820095,0.713595738324571,0,1.862645149230957E-09,2.1827872842550278E-11,5.530862836167216E-06,5.329070518200751E-15,1.3504177331924438E-08,false,true,2908,0,0,0,true,false
5700,57,4.553026273124885,84.87649437812578,0.529792750782103,31.877033406039544,0.7111641795678043,0,0,7.275957614183426E-12,3.1995950848795474E-06,1.7763568394002505E-15,5.587935447692871E-09,false,true,2908,0,0,0,true,false
5800,58,4.554446931202625,81.13510301685223,0.5320233496590949,31.86101391668152,0.7086022901779856,0,6.51925802230835E-09,0,1.5952660760376602E-05,1.7763568394002505E-15,4.190951585769653E-09,false,true,2908,0,0,0,true,false
5900,59,4.55445385728131,79.44044804615169,0.5342715277712304,31.885699973337847,0.7059191151624447,0,0,0,3.4794065868481994E-06,5.329070518200751E-15,8.381903171539307E-09,false,true,2908,0,0,0,true,false
6000,60,4.5537801940765625,77.7963742717966,0.5363893669777627,31.90867006275246,0.7033102969213605,0,9.313225746154785E-10,1.4551915228366852E-11,1.1052328773075715E-05,0,8.847564458847046E-09,false,true,2908,0,0,0,true,false
6100,61,4.55314950712392,76.07480420572263,0.538372417330417,31.917516514621923,0.7007534423530295,0,4.6566128730773926E-09,7.275957614183426E-12,2.4955588742159307E-06,3.552713678800501E-15,9.778887033462524E-09,false,true,2908,0,0,0,true,false
6200,62,4.552795859185076,74.27283743430309,0.5402155092715282,31.91600747113862,0.6982237725834484,0,9.313225746154785E-10,0,8.784518286120147E-07,7.105427357601002E-15,6.51925802230835E-09,false,true,2908,0,0,0,true,false
6300,63,4.552646433147299,72.38345834601539,0.5419124842591152,31.911534766500157,0.6957104108230112,0,1.862645149230957E-09,7.275957614183426E-12,2.7685178793035448E-05,5.329070518200751E-15,6.05359673500061E-09,false,true,2908,0,0,0,true,false
6400,64,4.552568014258748,70.39668707879255,0.5434554917617069,31.90824521372432,0.6932140510524842,0,1.862645149230957E-09,0,7.732141966698691E-06,5.329070518200751E-15,7.450580596923828E-09,false,true,2908,0,0,0,true,false
6500,65,4.552492004155312,68.30617261641325,0.5448344701672669,31.906650360848403,0.6907391898635744,0,2.7939677238464355E-09,0,4.986944986740127E-06,3.552713678800501E-15,1.1641532182693481E-08,false,true,2908,0,0,0,true,false
6600,66,4.552417149605197,66.08377045206633,0.5460354016758919,31.905705302361046,0.6882892747179188,0,9.313225746154785E-10,7.275957614183426E-12,1.7614838725421578E-05,3.552713678800501E-15,1.5832483768463135E-08,false,true,2908,0,0,0,true,false
6700,67,4.552369933011757,63.68146921676232,0.5470364126293812,31.904450137651832,0.6858657507796213,0,3.725290298461914E-09,0,6.084748747525737E-06,0,1.0710209608078003E-08,false,true,2908,0,0,0,true,false
6800,68,4.552374815314492,60.965431883427776,0.54779541928037,31.902512756603393,0.6834689873988111,0,0,0,2.0105970179429278E-05,0,2.7939677238464355E-09,false,true,2908,0,0,0,true,false
6900,69,4.552445623866117,59.262043919725066,0.5480982269890832,31.89993546767246,0.6810992996837246,0,2.7939677238464355E-09,0,1.040645656757988E-05,3.552713678800501E-15,1.30385160446167E-08,false,true,2908,0,0,0,true,false
7000,70,4.552587343373532,61.635100822680954,0.5477004617232807,31.896894187145975,0.6787574319523593,0,0,0,1.6326084733009338E-06,3.552713678800501E-15,8.381903171539307E-09,false,true,2908,0,0,0,true,false
7100,71,4.552790214448833,64.4269782776728,0.5468315475050154,31.89423163063706,0.676433696787079,0,9.313225746154785E-10,7.275957614183426E-12,2.2625499696005136E-06,3.552713678800501E-15,6.05359673500061E-09,false,true,2908,0,0,0,true,false
7200,72,4.552984459511397,55.55892987198555,0.5461699204488866,31.892793142071294,0.6741323692328685,0,1.862645149230957E-09,0,7.093098247423768E-06,0,1.30385160446167E-08,false,true,2908,0,0,0,true,false
7300,73,4.553253032723773,53.99277322401643,0.5458860300818276,31.889759980057626,0.6718673776103188,0,2.7939677238464355E-09,0,2.3910615709610283E-06,7.105427357601002E-15,0,false,true,2908,0,0,0,true,false
7400,74,4.553656765061978,58.62148783798833,0.5454207551776145,31.8847969146455,0.6696368819612744,0,9.313225746154785E-10,7.275957614183426E-12,3.3286305551882833E-06,3.552713678800501E-15,1.0244548320770264E-08,false,true,2910,0,0,0,true,false
7500,75,4.554209778260232,77.98911564794447,0.542458006027373,31.878639506802365,0.66743972462959,0,1.862645149230957E-09,0,9.792038326850161E-06,3.552713678800501E-15,1.0244548320770264E-08,false,true,2914,0,0,0,true,false
7600,76,4.554920322761357,99.10434984384925,0.5378672928443248,31.871278269487856,0.6652846943119641,0,0,0,2.6126443117391318E-05,3.552713678800501E-15,1.3969838619232178E-08,false,true,2923,0,0,0,true,false
7700,77,4.5558647872026095,119.35158353214538,0.5317530341773156,31.86190699155852,0.6631719937030418,0,3.725290298461914E-09,7.275957614183426E-12,4.21922595705837E-06,7.105427357601002E-15,3.259629011154175E-08,false,true,2934,0,0,0,true,false
7800,78,4.556979782114036,139.1561753676266,0.5241153331015955,31.853331637224635,0.6610886156596809,0,9.313225746154785E-10,0,4.686815373133868E-06,5.329070518200751E-15,2.7939677238464355E-09,false,true,2947,0,0,0,true,false
7900,79,4.558215591876536,139.45236102928826,0.5166475386652186,31.846031872803465,0.6590368421555688,0,2.7939677238464355E-09,0,2.2150106815388426E-05,7.105427357601002E-15,2.421438694000244E-08,false,true,2949,0,0,0,true,false
8000,80,4.559563903006077,137.04525023602906,0.5106329368383522,31.839477968550472,0.6570175472596826,0,2.7939677238464355E-09,7.275957614183426E-12,7.103346433723345E-06,8.881784197001252E-15,1.5366822481155396E-08,false,true,2949,0,0,0,true,false
8100,81,4.56102946572045,134.6027483852697,0.5058213979386238,31.833249846221143,0.6550297458957477,0,9.313225746154785E-10,0,3.1347844924312085E-06,1.7763568394002505E-15,1.3969838619232178E-08,false,true,2949,0,0,0,true,false
8200,82,4.562610946347005,132.10910095180117,0.5020738327880127,31.827326286878886,0.653071314495012,0,2.7939677238464355E-09,0,1.281200093217194E-05,3.552713678800501E-15,1.5366822481155396E-08,false,true,2949,0,0,0,true,false
8300,83,4.5642965553118,129.5599781384746,0.4992797618733095,31.82191971286924,0.6511397612873537,0,9.313225746154785E-10,0,7.361173629760742E-06,1.0658141036401503E-14,9.313225746154785E-10,false,true,2949,0,0,0,true,false
8400,84,4.566068467017425,126.95320584519666,0.49734460020351384,31.817229436404187,0.6492328012653665,0,9.313225746154785E-10,0,1.2772954505635425E-05,0,2.3283064365386963E-09,false,true,2949,0,0,0,true,false
8500,85,4.567906683027248,124.29096471260281,0.49618245301670294,31.81339041078665,0.6473478098943524,0,1.862645149230957E-09,7.275957614183426E-12,5.50989352632314E-06,4.440892098500626E-15,7.916241884231567E-09,false,true,2949,0,0,0,true,false
8600,86,4.569789283306781,121.57887636887214,0.4957195285929286,31.810486353924027,0.64548202940545,0,9.313225746154785E-10,7.275957614183426E-12,1.8451206415193155E-05,1.0658141036401503E-14,1.0710209608078003E-08,false,true,2949,0,0,0,true,false
8700,87,4.571694080089774,123.57766218960818,0.49574607552258787,31.808537048763412,0.6436327186223281,0,1.862645149230957E-09,0,1.0230913176201284E-05,9.769962616701378E-15,3.259629011154175E-09,false,true,2960,0,0,0,true,false
8800,88,4.573599431430675,130.2343107987233,0.4955456765691186,31.807517144264995,0.6417971487675196,0,2.7939677238464355E-09,7.275957614183426E-12,1.4071338227950037E-07,3.552713678800501E-15,1.955777406692505E-08,false,true,2979,0,0,0,true,false
8900,89,4.575484481695971,126.18638305883442,0.49519373579486425,31.80737714642652,0.6399726717947676,0,2.7939677238464355E-09,0,7.268590707099065E-06,1.2434497875801753E-14,6.984919309616089E-09,false,true,2981,0,0,0,true,false
9000,90,4.577329211222639,123.06706761633005,0.4954792735062597,31.808058156870622,0.6381567339208996,0,3.725290298461914E-09,7.275957614183426E-12,1.96617838810198E-05,4.440892098500626E-15,8.847564458847046E-09,false,true,2981,0,0,0,true,false
9100,91,4.579114547559241,119.93985009589345,0.4963555505476321,31.809496897401253,0.6363469344279711,0,0,7.275957614183426E-12,5.662262992700562E-06,6.217248937900877E-15,3.3527612686157227E-08,false,true,2981,0,0,0,true,false
9200,92,4.580822583837976,116.81340943484645,0.4977578406530762,31.8116265880769,0.634541077820737,0,9.313225746154785E-10,0,1.7894530174089596E-05,3.552713678800501E-15,1.0710209608078003E-08,false,true,2981,0,0,0,true,false
9300,93,4.5824370423773955,113.69673499569367,0.49962339631447084,31.814372000024076,0.6327372020428665,0,9.313225746154785E-10,7.275957614183426E-12,2.804782343446277E-05,4.440892098500626E-15,9.778887033462524E-09,false,true,2981,0,0,0,true,false
9400,94,4.581657566033826,110.59876644359913,0.5018915073021187,31.955284749440725,0.629136855528408,0,9.313225746154785E-10,0,7.13611370883882E-07,5.329070518200751E-15,4.190951585769653E-09,false,true,2981,0,0,0,true,false
9500,95,4.554149945851023,107.52826098376106,0.5045040829419702,32.631102218603665,0.6227047194930382,0,1.862645149230957E-09,1.4551915228366852E-11,6.890291842864826E-06,5.329070518200751E-15,1.257285475730896E-08,false,true,2981,0,0,0,true,false
9600,96,4.5169035755613995,104.49394687368074,0.507402015856653,33.081600256146835,0.6175269123482074,0,3.725290298461914E-09,0,4.893081495538354E-08,5.329070518200751E-15,1.1175870895385742E-08,false,true,2981,0,0,0,true,false
9700,97,4.489251917844685,101.50434667794897,0.5105303163098754,33.22552201603044,0.6130892371636474,0,1.862645149230957E-09,1.4551915228366852E-11,4.74959597340785E-06,5.329070518200751E-15,6.51925802230835E-09,false,true,2981,0,0,0,true,false
9800,98,4.472867852238346,99.6242558819562,0.5137772560663688,33.2856079897837,0.6091032543405426,0,4.6566128730773926E-09,0,2.27688105951529E-05,1.7763568394002505E-15,8.847564458847046E-09,false,true,2981,0,0,0,true,false
9900,99,4.4640259804185485,98.55527526170822,0.5169257084184169,33.41403872027362,0.6056150374518197,0,1.862645149230957E-09,7.275957614183426E-12,1.280383366975002E-05,5.329070518200751E-15,1.7229467630386353E-08,false,true,2981,0,0,0,true,false
10000,100,4.462360317062703,97.40638038671638,0.5199586255073358,33.66715943715549,0.6028352877978964,0,9.313225746154785E-10,7.275957614183426E-12,3.906534402631223E-06,3.552713678800501E-15,8.847564458847046E-09,false,true,2981,0,0,0,true,false
10100,101,4.471116959657533,96.18393952615071,0.5228739840217906,34.12327119255396,0.6009682134245384,0,3.725290298461914E-09,0,6.18128979112953E-08,3.552713678800501E-15,2.2351741790771484E-08,false,true,2981,0,0,0,true,false
10200,102,4.498338170152868,94.89404307587766,0.5256696981001646,34.98909551801061,0.600355222017761,0,4.6566128730773926E-09,7.275957614183426E-12,7.541810191469267E-06,5.329070518200751E-15,9.778887033462524E-09,false,true,2981,0,0,0,true,false
10300,103,4.564563845715102,93.5401570713132,0.5283435656256577,36.82106926673248,0.6017587548179435,0,0,7.275957614183426E-12,1.3478937034960836E-05,3.552713678800501E-15,6.05359673500061E-09,false,true,2981,0,0,0,true,false
10400,104,4.72092000418555,132.1198232777239,0.5305526503316009,41.099589026887685,0.6070971869046922,0,9.313225746154785E-10,7.275957614183426E-12,1.0812491382239386E-05,1.2434497875801753E-14,5.448237061500549E-08,false,true,2985,0,0,0,true,false
10500,105,4.942957574063203,119.35130036892392,0.5301616192858561,49.47123202919342,0.6203691249972536,0,2.7939677238464355E-09,7.275957614183426E-12,5.572728696279228E-06,1.4210854715202004E-14,1.7695128917694092E-08,false,true,2995,0,0,0,true,false
10600,106,4.530922438295473,133.56075556335324,0.527553979215868,48.083902822048145,0.6354260827398424,0,4.6566128730773926E-09,7.275957614183426E-12,7.48095044400543E-06,8.881784197001252E-15,1.3504177331924438E-08,false,true,3005,0,0,0,true,false
10700,107,4.452152685221226,130.16593385486996,0.5251727197767883,35.12135739740087,0.63321513890169,0,3.725290298461914E-09,0,5.443263944471255E-06,1.7763568394002505E-15,5.122274160385132E-09,false,true,3005,0,0,0,true,false
10800,108,4.597813253124834,126.8732773903802,0.5235686788376583,32.12988514239271,0.6049494105600637,0,7.450580596923828E-09,7.275957614183426E-12,7.943603122839704E-06,7.105427357601002E-15,1.4435499906539917E-08,false,true,3005,0,0,0,true,false
10900,109,4.6293547115887215,123.67359042734623,0.5226539737104178,31.924620310040368,0.5993353886082051,0,1.862645149230957E-09,0,3.086701690335758E-05,1.7763568394002505E-15,2.7939677238464355E-09,false,true,3005,0,0,0,true,false
11000,110,4.65313627021975,120.560285710868,0.5223466540788748,32.00186995833534,0.5990297909429199,0,4.6566128730773926E-09,0,1.2538170267362148E-05,7.105427357601002E-15,1.0244548320770264E-08,false,true,3005,0,0,0,true,false
11100,111,4.674976566163501,117.52806226257871,0.5225704084701747,32.1166138119001,0.5994088691644404,0,2.7939677238464355E-09,0,8.136579708661884E-06,3.552713678800501E-15,3.725290298461914E-09,false,true,3005,0,0,0,true,false
11200,112,4.693385976841579,114.57352747495872,0.5232540304213411,32.54421628262329,0.6032475746848043,0,2.7939677238464355E-09,7.275957614183426E-12,3.212386218365282E-05,3.552713678800501E-15,8.614733815193176E-09,false,true,3005,0,0,0,true,false
11300,113,4.6818378398275335,111.69506160548757,0.5243307866902158,33.25769437846763,0.5985930798050454,0,1.862645149230957E-09,7.275957614183426E-12,1.1310476111248136E-07,0,3.026798367500305E-09,false,true,3005,0,0,0,true,false
11400,114,4.651993358778564,108.89251243456786,0.5257378196705889,33.629170583877865,0.5950958117740122,0,0,0,2.213647894677706E-05,1.7763568394002505E-15,1.1641532182693481E-09,false,true,3005,0,0,0,true,false
11500,115,4.6309974722144895,106.16684947517062,0.5274156697219775,33.54756243818787,0.5920257940170153,0,3.725290298461914E-09,1.4551915228366852E-11,5.487563612405211E-07,5.329070518200751E-15,1.0710209608078003E-08,false,true,3005,0,0,0,true,false
11600,116,4.621661742417381,103.51982709422786,0.5293079367228983,33.358283580862114,0.5890236310567136,0,1.862645149230957E-09,0,1.1136940884171054E-05,1.7763568394002505E-15,7.916241884231567E-09,false,true,3005,0,0,0,true,false
11700,117,4.616728436441189,100.95368518050785,0.5313609815792686,33.25060705223745,0.586164616802689,0,9.313225746154785E-10,7.275957614183426E-12,1.0429670510347933E-05,3.552713678800501E-15,7.450580596923828E-09,false,true,3005,0,0,0,true,false
