probe_id,logical_step,elapsed_s,node_id,reference_region,reference_phase,sample_count,median_us,p95_us,max_us,max_pass_index,max_row_index,calls_over_max_ceiling,exceedance_fraction,tail_classification
exact-v9-5-to-6mwe,230784,2280,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.3,2.4,3.4,52,247,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,236784,2340,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.4,3.4,53,252,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,62784,600,drum,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.4,3.2,15,108,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,128784,1260,drum,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.4,3.2,15,163,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,338784,3360,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.3,2.4,3,25,337,0,0,WITHIN-CEILING
background-reference,6000,60,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.1,2.4,2.9,61,5,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,356784,3540,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.3,2.4,2.8,61,352,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,74784,720,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.4,2.7,10,117,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,122784,1200,pressure,REGION-4-MIXTURE,SaturatedMixture,64,2.1,2.4,2.7,20,156,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,134784,1320,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.4,2.7,15,165,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,134784,1320,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.4,2.7,0,167,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,146784,1440,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.1,2.4,2.7,0,175,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,152784,1500,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.4,2.7,0,182,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,224784,2220,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.3,2.4,2.7,53,242,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,38784,360,suction,REGION-4-MIXTURE,SaturatedMixture,64,2.1,2.4,2.6,25,85,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,38784,360,drum,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.4,2.6,10,88,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,44784,420,pressure,REGION-4-MIXTURE,SaturatedMixture,64,2.1,2.4,2.6,25,91,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,44784,420,drum,REGION-4-MIXTURE,SaturatedMixture,64,2.1,2.4,2.6,25,93,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,56784,540,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.4,2.6,56,102,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,68784,660,pressure,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.4,2.6,10,111,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,68784,660,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.4,2.6,10,112,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,104784,1020,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.4,2.6,10,142,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,122784,1200,outlet,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.4,2.6,10,157,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,134784,1320,pressure,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.4,2.6,0,166,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,140784,1380,pressure,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.4,2.6,0,171,0,0,WITHIN-CEILING
exact-v9-5-to-6mwe,140784,1380,drum,REGION-4-MIXTURE,SaturatedMixture,64,2.2,2.4,2.6,0,173,0,0,WITHIN-CEILING
