candidate_id,family_id,initialization_reference_point_count,max_iterative_solve_iterations,direct_if97_at_resolve_time,algorithm_shape,production_code_dependency
C3-VAPOR-SEAM-COMPLETE-SURROGATE,C-BOUNDED-IF97-DERIVED-TABLE-SURROGATE,33087,48,false,immutable-c2-core-plus-dense-saturation-vapor-boundary-energy-discriminator-and-near-vapor-mixture-fallback,NONE-TEST-ONLY
D3-VAPOR-SEAM-COMPLETE-IF97-COMPARATOR,D-BOUNDED-PRODUCTION-IF97-SUBSET-COMPARATOR,33087,1700,true,immutable-d2-primary-path-plus-c3-phase-aware-seed-and-bounded-near-vapor-region4-if97-refinement,NONE-TEST-ONLY
