candidate_id,family_id,vr2_rows,vr2_inverse_applicable_rows,vr2_unresolved,vr2_phase_mismatch,max_vr2_pressure_relative_error,exact_v9_rows,exact_v9_unresolved,exact_v9_phase_mismatch,max_exact_v9_pressure_relative_error,exact_v9_phase_agreement_percent,seam_rows,seam_unresolved,seam_phase_mismatch,max_liquid_seam_pressure_jump_mpa,max_liquid_seam_temperature_jump_c,max_vapor_seam_pressure_jump_mpa,max_vapor_seam_temperature_jump_c,hydraulic_resolved_rows,mean_abs_candidate_minus_if97_flow_kg_s,mean_abs_candidate_minus_canonical_flow_kg_s,max_core_pressure_relative_error,max_core_temperature_relative_kelvin_error,max_hot_core_pressure_relative_error,all_frozen_points_resolved,no_core_wrong_phase,vr2_blocking_ceiling_met,planning_target_met,deterministic_repeat,performance_ceiling_met,vapor_seam_completion_met,rp1c_selection_eligible
C3-VAPOR-SEAM-COMPLETE-SURROGATE,C-BOUNDED-IF97-DERIVED-TABLE-SURROGATE,40,39,0,0,0,360,0,0,0.031463842982651896,100,1280,0,0,0.0005137228525280754,3.5596193356468575E-05,0.00026625516826150886,0.001903154074568647,288,0.004347650350234334,100.25043701569903,0.031463842982651896,1.6902624021998925E-05,0.031463842982651896,true,true,true,true,true,false,true,false
D3-VAPOR-SEAM-COMPLETE-IF97-COMPARATOR,D-BOUNDED-PRODUCTION-IF97-SUBSET-COMPARATOR,40,39,0,0,0,360,0,0,4.009454547104896E-07,100,1280,0,0,0.00014601026724747612,1.7962520360015333E-11,0.0001588748563516873,0.0016946641828212705,288,1.0951906892486818E-07,100.25157567510053,4.009454547104896E-07,4.3707884839920587E-11,4.009454547104896E-07,true,true,true,true,true,true,true,true
