domain,observation_index,source_identity,c3_resolved,c4_resolved,c3_region,c4_region,c3_phase,c4_phase,c3_temperature_bits,c4_temperature_bits,c3_pressure_bits,c4_pressure_bits,c3_quality_has_value,c4_quality_has_value,c3_quality_bits,c4_quality_bits,c4_repeat_count,c4_repeat_deterministic,bit_equivalent
VR2,21,VR2-SAT-280C-LIQ,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643633428284047360,4643633428284047360,4618910309334891324,4618910309334891324,true,true,0,0,2,true,true
VR2,22,VR2-SAT-280C-Q0.5,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643633428284047360,4643633428284047360,4618910309334891324,4618910309334891324,true,true,4602678819172646911,4602678819172646911,2,true,true
VR2,23,VR2-SAT-280C-VAP,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643633428284047360,4643633428284047360,4618910309334891324,4618910309334891324,true,true,4607182418800017408,4607182418800017408,2,true,true
VR2,24,VR2-SAT-300C-LIQ,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643985272004935680,4643985272004935680,4621024068058878475,4621024068058878475,true,true,0,0,2,true,true
VR2,25,VR2-SAT-300C-Q0.5,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643985272004935680,4643985272004935680,4621024068058878475,4621024068058878475,true,true,4602678819172646912,4602678819172646912,2,true,true
VR2,26,VR2-SAT-300C-VAP,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4643985272004935680,4643985272004935680,4621024068058878475,4621024068058878475,true,true,4607182418800017408,4607182418800017408,2,true,true
VR2,27,VR2-SAT-340C-LIQ,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4644688959446712320,4644688959446712320,4624408789300629642,4624408789300629642,true,true,0,0,2,true,true
VR2,28,VR2-SAT-340C-Q0.5,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4644688959446712320,4644688959446712320,4624408789300629642,4624408789300629642,true,true,4602678819172646912,4602678819172646912,2,true,true
VR2,29,VR2-SAT-340C-VAP,true,true,REGION-4-MIXTURE-TABLE-C2,REGION-4-MIXTURE-TABLE-C2,SaturatedMixture,SaturatedMixture,4644688959446712320,4644688959446712320,4624408789300629642,4624408789300629642,true,true,4607182418800017408,4607182418800017408,2,true,true
VR2,30,VR2-L100-P0.5,true,true,REGION-1-TABLE-C2,REGION-1-TABLE-C2,SubcooledLiquid,SubcooledLiquid,4636737291354636288,4636737291354636288,4602678819172646912,4602678819172646912,false,false,0,0,2,true,true
VR2,31,VR2-L150-P1,true,true,REGION-1-TABLE-C2,REGION-1-TABLE-C2,SubcooledLiquid,SubcooledLiquid,4639481672377565184,4639481672377565184,4607182418800017408,4607182418800017408,false,false,0,0,2,true,true
VR2,32,VR2-L200-P2,true,true,REGION-1-TABLE-C2,REGION-1-TABLE-C2,SubcooledLiquid,SubcooledLiquid,4641240890982006784,4641240890982006784,4611686018427387904,4611686018427387904,false,false,0,0,2,true,true
VR2,33,VR2-L250-P7,true,true,REGION-1-TABLE-C2,REGION-1-TABLE-C2,SubcooledLiquid,SubcooledLiquid,4643000109586448384,4643000109586448384,4619567317775286272,4619567317775286272,false,false,0,0,2,true,true
VR2,34,VR2-L280-P10,true,true,REGION-1-TABLE-C2,REGION-1-TABLE-C2,SubcooledLiquid,SubcooledLiquid,4643633428284047360,4643633428284047360,4621819117588971520,4621819117588971520,false,false,0,0,2,true,true
VR2,35,VR2-V200-P0.2,true,true,REGION-2-TABLE-C2,REGION-2-TABLE-C2,SuperheatedVapor,SuperheatedVapor,4641240890982006784,4641240890982006784,4596373779694328218,4596373779694328218,false,false,0,0,2,true,true
VR2,36,VR2-V250-P0.5,true,true,REGION-2-TABLE-C2,REGION-2-TABLE-C2,SuperheatedVapor,SuperheatedVapor,4643000109586448384,4643000109586448384,4602678819172646912,4602678819172646912,false,false,0,0,2,true,true
