boundary_index,boundary_temperature_c,lane_run_count,total_calls,median_of_lane_run_medians_us,max_lane_run_p95_us,max_us,total_calls_over_max_ceiling,total_calls_with_gc_activity,total_exceedances_with_gc_activity,total_nonzero_allocation_calls,total_fallback_calls
88,268.43533953428278,10,640,5.25,18.4,20.6,0,0,0,0,0
89,268.43746053576467,10,640,5.25,18.6,27.4,0,0,0,0,0
90,268.495750629902,10,640,5.25,18.4,18.8,0,0,0,0,0
91,268.54864115118983,10,640,5.25,18.5,20,0,0,0,0,0
92,268.59354792833335,10,640,5.25,18.5,19,0,0,0,0,0
93,268.64694446921374,10,640,5.25,18.4,19.8,0,0,0,0,0
94,268.65780544877077,10,640,5.25,18.5,20.2,0,0,0,0,0
95,268.70778965353986,10,640,5.25,18.6,30.4,0,0,0,0,0
96,268.75488118529313,10,640,5.25,18.5,19.8,0,0,0,0,0
97,268.81338369250318,10,640,5.25,18.8,19.8,0,0,0,0,0
98,268.86403914093978,10,640,5.25,18.5,20.1,0,0,0,0,0
99,268.91260992884634,10,640,5.25,18.5,19.9,0,0,0,0,0
100,268.99040447473533,10,640,5.25,18.5,19.3,0,0,0,0,0
101,269.01729093790061,10,640,5.25,18.4,21.5,0,0,0,0,0
102,269.06662793159478,10,640,5.25,18.4,18.8,0,0,0,0,0
103,269.16647517681133,10,640,5.25,18.5,28.5,0,0,0,0,0
104,269.1776982307432,10,640,5.25,18.3,18.7,0,0,0,0,0
105,269.21482374668119,10,640,5.275,18.5,18.5,0,0,0,0,0
106,269.22452811598748,10,640,5.25,18.4,18.5,0,0,0,0,0
107,269.286198878288,10,640,5.3,18.5,19.6,0,0,0,0,0
108,269.31152697801588,10,640,5.25,18.4,23.6,0,0,0,0,0
109,269.34476251006106,10,640,5.25,18.4,18.6,0,0,0,0,0
110,269.35565841197956,10,640,5.25,18.4,18.5,0,0,0,0,0
111,269.35622538924224,10,640,5.25,18.3,18.6,0,0,0,0,0
112,269.37101949453358,10,640,5.25,18.4,18.6,0,0,0,0,0
113,269.37584082484238,10,640,5.25,18.4,19.7,0,0,0,0,0
114,269.38479275703435,10,640,5.25,18.4,18.5,0,0,0,0,0
115,269.40271410346065,10,640,5.25,18.5,20.3,0,0,0,0,0
116,269.42034188508978,10,640,5.2,18.4,18.5,0,0,0,0,0
117,269.42653261423118,10,640,5.25,18.4,18.5,0,0,0,0,0
118,269.43838264346107,10,640,5.25,18.4,18.5,0,0,0,0,0
119,269.45672143101694,10,640,5.25,18.4,29.2,0,0,0,0,0
120,269.475270628929,10,640,5.25,18.4,25.7,0,0,0,0,0
121,269.47992172837269,10,640,5.25,18.5,30.7,0,0,0,0,0
122,269.48453523516662,10,640,5.25,18.6,23.2,0,0,0,0,0
123,269.49213687777512,10,640,5.25,18.5,22.9,0,0,0,0,0
124,269.49399043321625,10,640,5.25,18.5,22.8,0,0,0,0,0
125,269.5075922548773,10,640,5.25,18.4,29.6,0,0,0,0,0
126,269.512844836712,10,640,5.25,18.4,22.8,0,0,0,0,0
127,269.52988974452012,10,640,5.25,18.5,22.8,0,0,0,0,0
128,269.53180425763105,10,640,5.225,18.4,22.7,0,0,0,0,0
129,269.53814047574997,10,640,5.25,18.5,22.7,0,0,0,0,0
130,269.55084462165814,10,640,5.25,18.4,30.9,0,0,0,0,0
131,269.5699443995951,10,640,5.25,18.5,22.8,0,0,0,0,0
132,269.57597937583932,10,640,5.25,19.7,22.8,0,0,0,0,0
133,269.58908331394184,10,640,5.25,18.4,22.8,0,0,0,0,0
134,269.60824417471883,10,640,5.25,18.4,22.7,0,0,0,0,0
135,269.6106666266918,10,640,5.25,18.4,22.8,0,0,0,0,0
136,269.627409541607,10,640,5.25,18.6,24.7,0,0,0,0,0
137,269.644376009703,10,640,5.25,19.7,22.7,0,0,0,0,0
138,269.64656401872639,10,640,5.25,18.5,22.9,0,0,0,0,0
139,269.665693461895,10,640,5.25,18.4,22.8,0,0,0,0,0
140,269.67791057229067,10,640,5.25,19.6,27,0,0,0,0,0
141,269.6847838103771,10,640,5.25,18.5,25.4,0,0,0,0,0
142,269.69983050823214,10,640,5.25,18.4,24.6,0,0,0,0,0
143,269.70382338166257,10,640,5.25,18.5,23.5,0,0,0,0,0
144,269.71154005527512,10,640,5.25,18.6,22.7,0,0,0,0,0
145,269.72280070185673,10,640,5.25,18.4,22.8,0,0,0,0,0
146,269.74170529842388,10,640,5.25,18.4,22.8,0,0,0,0,0
147,269.74532633423803,10,640,5.25,18.4,22.7,0,0,0,0,0
148,269.76052865982058,10,640,5.25,18.5,22.8,0,0,0,0,0
149,269.77926023006455,10,640,5.25,18.7,22.8,0,0,0,0,0
150,269.77926177382471,10,640,5.25,18.6,43.7,0,0,0,0,0
151,269.79789783954618,10,640,5.25,19.6,24.7,0,0,0,0,0
152,269.81331082582483,10,640,5.25,18.7,29.7,0,0,0,0,0
