domain,observation_index,probe_id,logical_step,path_id,from_node,to_node,c3_resolved,c4_resolved,c3_driving_pressure_bits,c4_driving_pressure_bits,c3_flow_bits,c4_flow_bits,c3_sign_changed_from_production,c4_sign_changed_from_production,c4_repeat_count,c4_repeat_deterministic,bit_equivalent
HYDRAULIC,32,background-reference,48000,MCP,suction,pressure,true,true,4696738070034335361,4696738070034335361,4639151059295380118,4639151059295380118,false,false,2,true,true
HYDRAULIC,33,background-reference,48000,CHANNEL,pressure,outlet,true,true,-4530953312661427223,-4530953312661427223,-4584167589592556495,-4584167589592556495,true,true,2,true,true
HYDRAULIC,34,background-reference,48000,RETURN,outlet,drum,true,true,4691043061081921217,4691043061081921217,4638790870410248843,4638790870410248843,false,false,2,true,true
HYDRAULIC,35,background-reference,48000,FEEDWATER-PUMP,feedwater-inventory,drum,true,true,4697718949917507252,4697718949917507252,4629983412494262476,4629983412494262476,false,false,2,true,true
HYDRAULIC,36,background-reference,54000,MCP,suction,pressure,true,true,4696738070034335361,4696738070034335361,4639151059295380118,4639151059295380118,false,false,2,true,true
HYDRAULIC,37,background-reference,54000,CHANNEL,pressure,outlet,true,true,-4530953312661427223,-4530953312661427223,-4584167589592556495,-4584167589592556495,true,true,2,true,true
HYDRAULIC,38,background-reference,54000,RETURN,outlet,drum,true,true,4691043061081921217,4691043061081921217,4638790870410248843,4638790870410248843,false,false,2,true,true
HYDRAULIC,39,background-reference,54000,FEEDWATER-PUMP,feedwater-inventory,drum,true,true,4697718949921116452,4697718949921116452,4629983412496001134,4629983412496001134,false,false,2,true,true
HYDRAULIC,40,background-reference,60000,MCP,suction,pressure,true,true,4696738070034335361,4696738070034335361,4639151059295380118,4639151059295380118,false,false,2,true,true
HYDRAULIC,41,background-reference,60000,CHANNEL,pressure,outlet,true,true,-4530953312614531181,-4530953312614531181,-4584167589579040795,-4584167589579040795,true,true,2,true,true
HYDRAULIC,42,background-reference,60000,RETURN,outlet,drum,true,true,4691043061128817259,4691043061128817259,4638790870424983195,4638790870424983195,false,false,2,true,true
HYDRAULIC,43,background-reference,60000,FEEDWATER-PUMP,feedwater-inventory,drum,true,true,4697718949923098804,4697718949923098804,4629983412496956091,4629983412496956091,false,false,2,true,true
HYDRAULIC,44,exact-v9-5-to-6mwe,2784,MCP,suction,pressure,true,true,4696757466974534358,4696757466974534358,4639156706707730078,4639156706707730078,false,false,2,true,true
HYDRAULIC,45,exact-v9-5-to-6mwe,2784,CHANNEL,pressure,outlet,true,true,-4530266351425373949,-4530266351425373949,-4583875838136896762,-4583875838136896762,true,true,2,true,true
HYDRAULIC,46,exact-v9-5-to-6mwe,2784,RETURN,outlet,drum,true,true,4691625568357233961,4691625568357233961,4638970376927807915,4638970376927807915,false,false,2,true,true
HYDRAULIC,47,exact-v9-5-to-6mwe,2784,FEEDWATER-PUMP,feedwater-inventory,drum,true,true,4697763179692006108,4697763179692006108,4630004672059328230,4630004672059328230,false,false,2,true,true
HYDRAULIC,48,exact-v9-5-to-6mwe,8784,MCP,suction,pressure,true,true,4696674834122252368,4696674834122252368,4639132603245679871,4639132603245679871,false,false,2,true,true
HYDRAULIC,49,exact-v9-5-to-6mwe,8784,CHANNEL,pressure,outlet,true,true,-4530874831836543403,-4530874831836543403,-4584145021908885312,-4584145021908885312,true,true,2,true,true
HYDRAULIC,50,exact-v9-5-to-6mwe,8784,RETURN,outlet,drum,true,true,4691863359029207930,4691863359029207930,4639041740829188921,4639041740829188921,false,false,2,true,true
HYDRAULIC,51,exact-v9-5-to-6mwe,8784,FEEDWATER-PUMP,feedwater-inventory,drum,true,true,4697418956591098716,4697418956591098716,4629836646878974695,4629836646878974695,false,false,2,true,true
HYDRAULIC,52,exact-v9-5-to-6mwe,14784,MCP,suction,pressure,true,true,4696263138893941638,4696263138893941638,4639010713556074177,4639010713556074177,false,false,2,true,true
HYDRAULIC,53,exact-v9-5-to-6mwe,14784,CHANNEL,pressure,outlet,true,true,-4532675651944049842,-4532675651944049842,-4584718407718392681,-4584718407718392681,true,true,2,true,true
HYDRAULIC,54,exact-v9-5-to-6mwe,14784,RETURN,outlet,drum,true,true,4691847408413233488,4691847408413233488,4639036986825192774,4639036986825192774,false,false,2,true,true
HYDRAULIC,55,exact-v9-5-to-6mwe,14784,FEEDWATER-PUMP,feedwater-inventory,drum,true,true,4697607834959118852,4697607834959118852,4629929582480386198,4629929582480386198,false,false,2,true,true
HYDRAULIC,56,exact-v9-5-to-6mwe,20784,MCP,suction,pressure,true,true,4696205791081144740,4696205791081144740,4638993488576348269,4638993488576348269,false,false,2,true,true
HYDRAULIC,57,exact-v9-5-to-6mwe,20784,CHANNEL,pressure,outlet,true,true,-4532186409620953010,-4532186409620953010,-4584536589932586214,-4584536589932586214,true,true,2,true,true
HYDRAULIC,58,exact-v9-5-to-6mwe,20784,RETURN,outlet,drum,true,true,4691674117916389616,4691674117916389616,4638985033787840603,4638985033787840603,false,false,2,true,true
HYDRAULIC,59,exact-v9-5-to-6mwe,20784,FEEDWATER-PUMP,feedwater-inventory,drum,true,true,4697459079208043220,4697459079208043220,4629856543840677275,4629856543840677275,false,false,2,true,true
HYDRAULIC,60,exact-v9-5-to-6mwe,26784,MCP,suction,pressure,true,true,4696353254412547801,4696353254412547801,4639037656628369450,4639037656628369450,false,false,2,true,true
HYDRAULIC,61,exact-v9-5-to-6mwe,26784,CHANNEL,pressure,outlet,true,true,-4531524735971484458,-4531524735971484458,-4584335082094231491,-4584335082094231491,true,true,2,true,true
HYDRAULIC,62,exact-v9-5-to-6mwe,26784,RETURN,outlet,drum,true,true,4691573923433525999,4691573923433525999,4638954735957923922,4638954735957923922,false,false,2,true,true
HYDRAULIC,63,exact-v9-5-to-6mwe,26784,FEEDWATER-PUMP,feedwater-inventory,drum,true,true,4697436117302915828,4697436117302915828,4629845167366081901,4629845167366081901,false,false,2,true,true
HYDRAULIC,64,exact-v9-5-to-6mwe,32784,MCP,suction,pressure,true,true,4696513951384264286,4696513951384264286,4639085333369734213,4639085333369734213,false,false,2,true,true
HYDRAULIC,65,exact-v9-5-to-6mwe,32784,CHANNEL,pressure,outlet,true,true,-4530989971029607658,-4530989971029607658,-4584178165922641257,-4584178165922641257,true,true,2,true,true
HYDRAULIC,66,exact-v9-5-to-6mwe,32784,RETURN,outlet,drum,true,true,4691524374514152739,4691524374514152739,4638939681218840858,4638939681218840858,false,false,2,true,true
HYDRAULIC,67,exact-v9-5-to-6mwe,32784,FEEDWATER-PUMP,feedwater-inventory,drum,true,true,4697426640189114552,4697426640189114552,4629840463805015413,4629840463805015413,false,false,2,true,true
HYDRAULIC,68,exact-v9-5-to-6mwe,38784,MCP,suction,pressure,true,true,4696639508040624797,4696639508040624797,4639122262814532035,4639122262814532035,false,false,2,true,true
HYDRAULIC,69,exact-v9-5-to-6mwe,38784,CHANNEL,pressure,outlet,true,true,-4530616676628408610,-4530616676628408610,-4584070206578131896,-4584070206578131896,true,true,2,true,true
HYDRAULIC,70,exact-v9-5-to-6mwe,38784,RETURN,outlet,drum,true,true,4691500984882651198,4691500984882651198,4638932557956464294,4638932557956464294,false,false,2,true,true
HYDRAULIC,71,exact-v9-5-to-6mwe,38784,FEEDWATER-PUMP,feedwater-inventory,drum,true,true,4697426743498051024,4697426743498051024,4629840515103681969,4629840515103681969,false,false,2,true,true
HYDRAULIC,72,exact-v9-5-to-6mwe,44784,MCP,suction,pressure,true,true,4696726807439424182,4696726807439424182,4639147777234423108,4639147777234423108,false,false,2,true,true
HYDRAULIC,73,exact-v9-5-to-6mwe,44784,CHANNEL,pressure,outlet,true,true,-4530490576170679972,-4530490576170679972,-4583999401104171429,-4583999401104171429,true,true,2,true,true
HYDRAULIC,74,exact-v9-5-to-6mwe,44784,RETURN,outlet,drum,true,true,4691493360311876631,4691493360311876631,4638930233589404521,4638930233589404521,false,false,2,true,true
HYDRAULIC,75,exact-v9-5-to-6mwe,44784,FEEDWATER-PUMP,feedwater-inventory,drum,true,true,4697433434432596824,4697433434432596824,4629843836320972361,4629843836320972361,false,false,2,true,true
HYDRAULIC,76,exact-v9-5-to-6mwe,50784,MCP,suction,pressure,true,true,4696783866637564617,4696783866637564617,4639164382629912843,4639164382629912843,false,false,2,true,true
HYDRAULIC,77,exact-v9-5-to-6mwe,50784,CHANNEL,pressure,outlet,true,true,-4530404869928831965,-4530404869928831965,-4583951825591314734,-4583951825591314734,true,true,2,true,true
HYDRAULIC,78,exact-v9-5-to-6mwe,50784,RETURN,outlet,drum,true,true,4691496338176178908,4691496338176178908,4638931141533863156,4638931141533863156,false,false,2,true,true
HYDRAULIC,79,exact-v9-5-to-6mwe,50784,FEEDWATER-PUMP,feedwater-inventory,drum,true,true,4697443252311032128,4697443252311032128,4629848705384862117,4629848705384862117,false,false,2,true,true
HYDRAULIC,80,exact-v9-5-to-6mwe,56784,MCP,suction,pressure,true,true,4696822987389462367,4696822987389462367,4639175735522088175,4639175735522088175,false,false,2,true,true
HYDRAULIC,81,exact-v9-5-to-6mwe,56784,CHANNEL,pressure,outlet,true,true,-4530342944648070818,-4530342944648070818,-4583917719148741771,-4583917719148741771,true,true,2,true,true
HYDRAULIC,82,exact-v9-5-to-6mwe,56784,RETURN,outlet,drum,true,true,4691503347096812956,4691503347096812956,4638933277850819799,4638933277850819799,false,false,2,true,true
HYDRAULIC,83,exact-v9-5-to-6mwe,56784,FEEDWATER-PUMP,feedwater-inventory,drum,true,true,4697458051062685416,4697458051062685416,4629856035040169592,4629856035040169592,false,false,2,true,true
HYDRAULIC,84,exact-v9-5-to-6mwe,62784,MCP,suction,pressure,true,true,4696846197464478519,4696846197464478519,4639182458879096234,4639182458879096234,false,false,2,true,true
HYDRAULIC,85,exact-v9-5-to-6mwe,62784,CHANNEL,pressure,outlet,true,true,-4530307749847694498,-4530307749847694498,-4583898433372138427,-4583898433372138427,true,true,2,true,true
HYDRAULIC,86,exact-v9-5-to-6mwe,62784,RETURN,outlet,drum,true,true,4691513059190955000,4691513059190955000,4638936236500191861,4638936236500191861,false,false,2,true,true
HYDRAULIC,87,exact-v9-5-to-6mwe,62784,FEEDWATER-PUMP,feedwater-inventory,drum,true,true,4697474206717268384,4697474206717268384,4629864023611790987,4629864023611790987,false,false,2,true,true
HYDRAULIC,88,exact-v9-5-to-6mwe,68784,MCP,suction,pressure,true,true,4696859108141999401,4696859108141999401,4639186194840529727,4639186194840529727,false,false,2,true,true
HYDRAULIC,89,exact-v9-5-to-6mwe,68784,CHANNEL,pressure,outlet,true,true,-4530284165437880884,-4530284165437880884,-4583885549168344727,-4583885549168344727,true,true,2,true,true
HYDRAULIC,90,exact-v9-5-to-6mwe,68784,RETURN,outlet,drum,true,true,4691526538920153486,4691526538920153486,4638940339842521717,4638940339842521717,false,false,2,true,true
HYDRAULIC,91,exact-v9-5-to-6mwe,68784,FEEDWATER-PUMP,feedwater-inventory,drum,true,true,4697490488513158056,4697490488513158056,4629872060746862806,4629872060746862806,false,false,2,true,true
HYDRAULIC,92,exact-v9-5-to-6mwe,74784,MCP,suction,pressure,true,true,4696866097665539516,4696866097665539516,4639188216229855751,4639188216229855751,false,false,2,true,true
HYDRAULIC,93,exact-v9-5-to-6mwe,74784,CHANNEL,pressure,outlet,true,true,-4530267754254115763,-4530267754254115763,-4583876602220662948,-4583876602220662948,true,true,2,true,true
HYDRAULIC,94,exact-v9-5-to-6mwe,74784,RETURN,outlet,drum,true,true,4691539572349338087,4691539572349338087,4638944303949869432,4638944303949869432,false,false,2,true,true
HYDRAULIC,95,exact-v9-5-to-6mwe,74784,FEEDWATER-PUMP,feedwater-inventory,drum,true,true,4697506847737966176,4697506847737966176,4629880122211695019,4629880122211695019,false,false,2,true,true
HYDRAULIC,96,exact-v9-5-to-6mwe,80784,MCP,suction,pressure,true,true,4696869846939082561,4696869846939082561,4639189300192275645,4639189300192275645,false,false,2,true,true
HYDRAULIC,97,exact-v9-5-to-6mwe,80784,CHANNEL,pressure,outlet,true,true,-4530256500672888834,-4530256500672888834,-4583870475796227255,-4583870475796227255,true,true,2,true,true
HYDRAULIC,98,exact-v9-5-to-6mwe,80784,RETURN,outlet,drum,true,true,4691551780162613417,4691551780162613417,4638948013942451849,4638948013942451849,false,false,2,true,true
HYDRAULIC,99,exact-v9-5-to-6mwe,80784,FEEDWATER-PUMP,feedwater-inventory,drum,true,true,4697523395852493868,4697523395852493868,4629888262664113286,4629888262664113286,false,false,2,true,true
HYDRAULIC,100,exact-v9-5-to-6mwe,86784,MCP,suction,pressure,true,true,4696871448444195949,4696871448444195949,4639189763135835135,4639189763135835135,false,false,2,true,true
HYDRAULIC,101,exact-v9-5-to-6mwe,86784,CHANNEL,pressure,outlet,true,true,-4530247566983118494,-4530247566983118494,-4583865617355597968,-4583865617355597968,true,true,2,true,true
HYDRAULIC,102,exact-v9-5-to-6mwe,86784,RETURN,outlet,drum,true,true,4691565338360798903,4691565338360798903,4638952130923657886,4638952130923657886,false,false,2,true,true
HYDRAULIC,103,exact-v9-5-to-6mwe,86784,FEEDWATER-PUMP,feedwater-inventory,drum,true,true,4697539755063670300,4697539755063670300,4629896296329644405,4629896296329644405,false,false,2,true,true
HYDRAULIC,104,exact-v9-5-to-6mwe,92784,MCP,suction,pressure,true,true,4696872536469934406,4696872536469934406,4639190077624521074,4639190077624521074,false,false,2,true,true
HYDRAULIC,105,exact-v9-5-to-6mwe,92784,CHANNEL,pressure,outlet,true,true,-4530237357500648348,-4530237357500648348,-4583860070540972319,-4583860070540972319,true,true,2,true,true
HYDRAULIC,106,exact-v9-5-to-6mwe,92784,RETURN,outlet,drum,true,true,4691577550435570814,4691577550435570814,4638955836097762010,4638955836097762010,false,false,2,true,true
HYDRAULIC,107,exact-v9-5-to-6mwe,92784,FEEDWATER-PUMP,feedwater-inventory,drum,true,true,4697555145798988280,4697555145798988280,4629903841879189079,4629903841879189079,false,false,2,true,true
HYDRAULIC,108,exact-v9-5-to-6mwe,98784,MCP,suction,pressure,true,true,4696873286776154224,4696873286776154224,4639190294485424388,4639190294485424388,false,false,2,true,true
HYDRAULIC,109,exact-v9-5-to-6mwe,98784,CHANNEL,pressure,outlet,true,true,-4530230955021919756,-4530230955021919756,-4583856595027865155,-4583856595027865155,true,true,2,true,true
HYDRAULIC,110,exact-v9-5-to-6mwe,98784,RETURN,outlet,drum,true,true,4691588912377750380,4691588912377750380,4638959280747000369,4638959280747000369,false,false,2,true,true
HYDRAULIC,111,exact-v9-5-to-6mwe,98784,FEEDWATER-PUMP,feedwater-inventory,drum,true,true,4697571280754302428,4697571280754302428,4629911739328737100,4629911739328737100,false,false,2,true,true
HYDRAULIC,112,exact-v9-5-to-6mwe,104784,MCP,suction,pressure,true,true,4696872572890901912,4696872572890901912,4639190088151486103,4639190088151486103,false,false,2,true,true
HYDRAULIC,113,exact-v9-5-to-6mwe,104784,CHANNEL,pressure,outlet,true,true,-4530226082206905726,-4530226082206905726,-4583853951398714377,-4583853951398714377,true,true,2,true,true
HYDRAULIC,114,exact-v9-5-to-6mwe,104784,RETURN,outlet,drum,true,true,4691602316883600035,4691602316883600035,4638963341443408828,4638963341443408828,false,false,2,true,true
HYDRAULIC,115,exact-v9-5-to-6mwe,104784,FEEDWATER-PUMP,feedwater-inventory,drum,true,true,4697586651562391752,4697586651562391752,4629919250473478534,4629919250473478534,false,false,2,true,true
HYDRAULIC,116,exact-v9-5-to-6mwe,110784,MCP,suction,pressure,true,true,4696869907308713191,4696869907308713191,4639189317643971663,4639189317643971663,false,false,2,true,true
HYDRAULIC,117,exact-v9-5-to-6mwe,110784,CHANNEL,pressure,outlet,true,true,-4530217952666280665,-4530217952666280665,-4583849543835941852,-4583849543835941852,true,true,2,true,true
HYDRAULIC,118,exact-v9-5-to-6mwe,110784,RETURN,outlet,drum,true,true,4691650792749271956,4691650792749271956,4638977997657148137,4638977997657148137,false,false,2,true,true
HYDRAULIC,119,exact-v9-5-to-6mwe,110784,FEEDWATER-PUMP,feedwater-inventory,drum,true,true,4697676015579416088,4697676015579416088,4629962684888032360,4629962684888032360,false,false,2,true,true
HYDRAULIC,120,exact-v9-5-to-6mwe,116784,MCP,suction,pressure,true,true,4696796454613802875,4696796454613802875,4639168038509874416,4639168038509874416,false,false,2,true,true
HYDRAULIC,121,exact-v9-5-to-6mwe,116784,CHANNEL,pressure,outlet,true,true,-4530258546545279253,-4530258546545279253,-4583871589037531019,-4583871589037531019,true,true,2,true,true
HYDRAULIC,122,exact-v9-5-to-6mwe,116784,RETURN,outlet,drum,true,true,4691881746698283491,4691881746698283491,4639047215394705006,4639047215394705006,false,false,2,true,true
HYDRAULIC,123,exact-v9-5-to-6mwe,116784,FEEDWATER-PUMP,feedwater-inventory,drum,true,true,4697731863156840700,4697731863156840700,4629989629142659945,4629989629142659945,false,false,2,true,true
HYDRAULIC,124,exact-v9-5-to-6mwe,122784,MCP,suction,pressure,true,true,4696758455577193325,4696758455577193325,4639156994366591466,4639156994366591466,false,false,2,true,true
