case,energy_transport_mode,raw_mass_kg,frozen_step1_mass_kg,runtime_step1_mass_kg,checkpoint_mass_delta_kg,observed_mass_rate_kg_s,pump_flow_kg_s,requested_recirculation_flow_kg_s,recirculation_flow_kg_s,recirculation_inventory_limited,predicted_mass_rate_kg_s,predicted_mass_residual_kg_s,raw_energy_j,frozen_step1_energy_j,runtime_step1_energy_j,checkpoint_energy_delta_j,observed_energy_rate_w,raw_suction_advected_specific_energy_j_kg,recirculation_advected_specific_energy_j_kg,suction_minus_recirculation_specific_energy_j_kg,recirculation_energy_rate_w,predicted_energy_rate_w,predicted_energy_residual_w,step1_phase,step1_quality
mode1,SpecificEnthalpy,7504.377202844439,7504.377202844439,7504.377202844439,0,0,99.99999999997206,99.99999999997206,99.99999999997206,false,0,0,8824832406.702536,8824832406.70249,8824832406.70249,0,-0.00457763671875,1184508.288862409,1184508.2888162953,4.611373879015446E-05,118450828.88159645,-0.004611372947692871,-3.3736228942871094E-05,SubcooledLiquid,null
candidate-mode2,SpecificEnthalpy,7502.7459746337245,7502.7459746337245,7502.7459746337245,0,0,100.00001123018062,100.00001123018062,100.00001123018062,false,0,0,9214263779.64126,9214211616.923414,9214263779.641113,52162.7176990509,-0.01468658447265625,1236671.000850998,1236671.000703454,0.00014754408039152622,123667113.95838411,-0.01475439965724945,-6.781518459320068E-05,SubcooledLiquid,null
